,Date,Open,High,Low,Close
0,2011-02-03,100.0,100.0,100.0,100.0
1,2011-02-04,99.66,99.66,99.66,99.66
2,2011-02-07,99.72,99.72,99.72,99.72
3,2011-02-08,99.55,99.55,99.55,99.55
4,2011-02-09,98.91,98.91,98.91,98.91
5,2011-02-10,99.31,99.31,99.31,99.31
6,2011-02-11,99.93,99.93,99.93,99.93
7,2011-02-14,100.46,100.46,100.46,100.46
8,2011-02-15,100.13,100.13,100.13,100.13
9,2011-02-16,100.11,100.11,100.11,100.11
10,2011-02-17,100.84,100.84,100.84,100.84
11,2011-02-18,100.65,100.65,100.65,100.65
12,2011-02-21,101.73,101.73,101.73,101.73
13,2011-02-22,102.38,102.38,102.38,102.38
14,2011-02-23,102.48,102.48,102.48,102.48
15,2011-02-24,102.51,102.51,102.51,102.51
16,2011-02-25,102.28,102.28,102.28,102.28
17,2011-02-28,102.6,102.6,102.6,102.6
18,2011-03-01,102.44,102.44,102.44,102.44
19,2011-03-02,102.07,102.07,102.07,102.07
20,2011-03-03,101.55,101.55,101.55,101.55
21,2011-03-04,102.43,102.43,102.43,102.43
22,2011-03-07,102.42,102.42,102.42,102.42
23,2011-03-08,101.94,101.94,101.94,101.94
24,2011-03-09,102.13,102.13,102.13,102.13
25,2011-03-10,103.14,103.14,103.14,103.14
26,2011-03-11,103.35,103.35,103.35,103.35
27,2011-03-14,103.7,103.7,103.7,103.7
28,2011-03-15,103.94,103.94,103.94,103.94
29,2011-03-16,105.08,105.08,105.08,105.08
30,2011-03-17,104.08,104.08,104.08,104.08
31,2011-03-18,104.53,104.53,104.53,104.53
32,2011-03-21,104.13,104.13,104.13,104.13
33,2011-03-22,103.31,103.31,103.31,103.31
34,2011-03-23,103.93,103.93,103.93,103.93
35,2011-03-24,103.52,103.52,103.52,103.52
36,2011-03-25,103.43,103.43,103.43,103.43
37,2011-03-28,103.44,103.44,103.44,103.44
38,2011-03-29,103.41,103.41,103.41,103.41
39,2011-03-30,103.14,103.14,103.14,103.14
40,2011-03-31,103.18,103.18,103.18,103.18
41,2011-04-01,103.17,103.17,103.17,103.17
42,2011-04-04,103.41,103.41,103.41,103.41
43,2011-04-05,102.82,102.82,102.82,102.82
