,Date,Open,High,Low,Close
0,2010-01-04,1.35,1.35,1.35,1.35
1,2010-01-05,1.4,1.4,1.4,1.4
2,2010-01-06,1.41,1.41,1.41,1.41
3,2010-01-07,1.41,1.41,1.41,1.41
4,2010-01-08,1.4,1.4,1.4,1.4
5,2010-01-11,1.4,1.4,1.4,1.4
6,2010-01-12,1.39,1.39,1.39,1.39
7,2010-01-13,1.37,1.37,1.37,1.37
8,2010-01-14,1.37,1.37,1.37,1.37
9,2010-01-15,1.37,1.37,1.37,1.37
10,2010-01-18,1.36,1.36,1.36,1.36
11,2010-01-19,1.36,1.36,1.36,1.36
12,2010-01-20,1.37,1.37,1.37,1.37
13,2010-01-21,1.35,1.35,1.35,1.35
14,2010-01-22,1.32,1.32,1.32,1.32
15,2010-01-25,1.31,1.31,1.31,1.31
16,2010-01-26,1.29,1.29,1.29,1.29
17,2010-01-27,1.27,1.27,1.27,1.27
18,2010-01-28,1.27,1.27,1.27,1.27
19,2010-01-29,1.28,1.28,1.28,1.28
20,2010-02-01,1.29,1.29,1.29,1.29
21,2010-02-02,1.31,1.31,1.31,1.31
22,2010-02-03,1.33,1.33,1.33,1.33
23,2010-02-04,1.32,1.32,1.32,1.32
24,2010-02-05,1.28,1.28,1.28,1.28
25,2010-02-08,1.28,1.28,1.28,1.28
26,2010-02-09,1.29,1.29,1.29,1.29
27,2010-02-10,1.3,1.3,1.3,1.3
28,2010-02-11,1.31,1.31,1.31,1.31
29,2010-02-12,1.31,1.31,1.31,1.31
30,2010-02-15,1.31,1.31,1.31,1.31
31,2010-02-16,1.31,1.31,1.31,1.31
32,2010-02-17,1.33,1.33,1.33,1.33
33,2010-02-18,1.34,1.34,1.34,1.34
34,2010-02-19,1.35,1.35,1.35,1.35
35,2010-02-22,1.36,1.36,1.36,1.36
36,2010-02-23,1.36,1.36,1.36,1.36
37,2010-02-24,1.34,1.34,1.34,1.34
38,2010-02-25,1.34,1.34,1.34,1.34
39,2010-02-26,1.36,1.36,1.36,1.36
40,2010-03-01,1.41,1.41,1.41,1.41
41,2010-03-02,1.42,1.42,1.42,1.42
42,2010-03-03,1.43,1.43,1.43,1.43
43,2010-03-04,1.42,1.42,1.42,1.42
44,2010-03-05,1.44,1.44,1.44,1.44
45,2010-03-08,1.46,1.46,1.46,1.46
46,2010-03-09,1.47,1.47,1.47,1.47
47,2010-03-10,1.49,1.49,1.49,1.49
48,2010-03-11,1.48,1.48,1.48,1.48
49,2010-03-12,1.47,1.47,1.47,1.47
50,2010-03-15,1.47,1.47,1.47,1.47
51,2010-03-16,1.46,1.46,1.46,1.46
52,2010-03-17,1.47,1.47,1.47,1.47
53,2010-03-18,1.47,1.47,1.47,1.47
54,2010-03-19,1.48,1.48,1.48,1.48
55,2010-03-22,1.48,1.48,1.48,1.48
56,2010-03-23,1.49,1.49,1.49,1.49
57,2010-03-24,1.5,1.5,1.5,1.5
58,2010-03-25,1.49,1.49,1.49,1.49
59,2010-03-26,1.5,1.5,1.5,1.5
60,2010-03-29,1.5,1.5,1.5,1.5
61,2010-03-30,1.5,1.5,1.5,1.5
62,2010-03-31,1.49,1.49,1.49,1.49
63,2010-04-01,1.5,1.5,1.5,1.5
64,2010-04-06,1.54,1.54,1.54,1.54
65,2010-04-07,1.55,1.55,1.55,1.55
66,2010-04-08,1.53,1.53,1.53,1.53
67,2010-04-09,1.53,1.53,1.53,1.53
68,2010-04-12,1.52,1.52,1.52,1.52
69,2010-04-13,1.51,1.51,1.51,1.51
70,2010-04-14,1.52,1.52,1.52,1.52
71,2010-04-15,1.52,1.52,1.52,1.52
72,2010-04-16,1.5,1.5,1.5,1.5
73,2010-04-19,1.49,1.49,1.49,1.49
74,2010-04-20,1.49,1.49,1.49,1.49
75,2010-04-21,1.5,1.5,1.5,1.5
76,2010-04-22,1.49,1.49,1.49,1.49
77,2010-04-23,1.49,1.49,1.49,1.49
78,2010-04-26,1.5,1.5,1.5,1.5
79,2010-04-27,1.5,1.5,1.5,1.5
80,2010-04-28,1.48,1.48,1.48,1.48
81,2010-04-29,1.48,1.48,1.48,1.48
82,2010-04-30,1.5,1.5,1.5,1.5
83,2010-05-04,1.48,1.48,1.48,1.48
84,2010-05-05,1.44,1.44,1.44,1.44
85,2010-05-06,1.42,1.42,1.42,1.42
86,2010-05-07,1.41,1.41,1.41,1.41
87,2010-05-10,1.44,1.44,1.44,1.44
88,2010-05-11,1.46,1.46,1.46,1.46
89,2010-05-12,1.45,1.45,1.45,1.45
90,2010-05-13,1.48,1.48,1.48,1.48
91,2010-05-14,1.48,1.48,1.48,1.48
92,2010-05-17,1.46,1.46,1.46,1.46
93,2010-05-18,1.46,1.46,1.46,1.46
94,2010-05-19,1.43,1.43,1.43,1.43
95,2010-05-20,1.41,1.41,1.41,1.41
96,2010-05-21,1.35,1.35,1.35,1.35
97,2010-05-24,1.39,1.39,1.39,1.39
98,2010-05-25,1.34,1.34,1.34,1.34
99,2010-05-26,1.37,1.37,1.37,1.37
100,2010-05-27,1.39,1.39,1.39,1.39
101,2010-05-28,1.43,1.43,1.43,1.43
102,2010-06-01,1.4,1.4,1.4,1.4
103,2010-06-02,1.38,1.38,1.38,1.38
104,2010-06-03,1.42,1.42,1.42,1.42
105,2010-06-04,1.41,1.41,1.41,1.41
106,2010-06-07,1.38,1.38,1.38,1.38
107,2010-06-08,1.38,1.38,1.38,1.38
108,2010-06-09,1.38,1.38,1.38,1.38
109,2010-06-10,1.38,1.38,1.38,1.38
110,2010-06-11,1.41,1.41,1.41,1.41
111,2010-06-14,1.42,1.42,1.42,1.42
112,2010-06-15,1.42,1.42,1.42,1.42
113,2010-06-16,1.44,1.44,1.44,1.44
114,2010-06-17,1.45,1.45,1.45,1.45
115,2010-06-18,1.45,1.45,1.45,1.45
116,2010-06-21,1.47,1.47,1.47,1.47
117,2010-06-22,1.48,1.48,1.48,1.48
118,2010-06-23,1.45,1.45,1.45,1.45
119,2010-06-24,1.44,1.44,1.44,1.44
120,2010-06-25,1.43,1.43,1.43,1.43
121,2010-06-28,1.42,1.42,1.42,1.42
122,2010-06-29,1.4,1.4,1.4,1.4
123,2010-06-30,1.38,1.38,1.38,1.38
124,2010-07-01,1.37,1.37,1.37,1.37
125,2010-07-02,1.34,1.34,1.34,1.34
126,2010-07-05,1.35,1.35,1.35,1.35
127,2010-07-06,1.36,1.36,1.36,1.36
128,2010-07-07,1.37,1.37,1.37,1.37
129,2010-07-08,1.39,1.39,1.39,1.39
130,2010-07-09,1.41,1.41,1.41,1.41
131,2010-07-12,1.43,1.43,1.43,1.43
132,2010-07-13,1.43,1.43,1.43,1.43
133,2010-07-14,1.42,1.42,1.42,1.42
134,2010-07-15,1.41,1.41,1.41,1.41
135,2010-07-16,1.4,1.4,1.4,1.4
136,2010-07-19,1.39,1.39,1.39,1.39
137,2010-07-20,1.41,1.41,1.41,1.41
138,2010-07-21,1.42,1.42,1.42,1.42
139,2010-07-22,1.42,1.42,1.42,1.42
140,2010-07-23,1.43,1.43,1.43,1.43
141,2010-07-26,1.43,1.43,1.43,1.43
142,2010-07-27,1.44,1.44,1.44,1.44
143,2010-07-28,1.43,1.43,1.43,1.43
144,2010-07-29,1.44,1.44,1.44,1.44
145,2010-07-30,1.43,1.43,1.43,1.43
146,2010-08-02,1.43,1.43,1.43,1.43
147,2010-08-03,1.43,1.43,1.43,1.43
148,2010-08-04,1.43,1.43,1.43,1.43
149,2010-08-05,1.43,1.43,1.43,1.43
150,2010-08-06,1.44,1.44,1.44,1.44
151,2010-08-09,1.43,1.43,1.43,1.43
152,2010-08-10,1.43,1.43,1.43,1.43
153,2010-08-11,1.42,1.42,1.42,1.42
154,2010-08-12,1.4,1.4,1.4,1.4
155,2010-08-13,1.41,1.41,1.41,1.41
156,2010-08-16,1.41,1.41,1.41,1.41
157,2010-08-17,1.42,1.42,1.42,1.42
158,2010-08-18,1.42,1.42,1.42,1.42
159,2010-08-19,1.44,1.44,1.44,1.44
160,2010-08-20,1.43,1.43,1.43,1.43
161,2010-08-23,1.42,1.42,1.42,1.42
162,2010-08-24,1.42,1.42,1.42,1.42
163,2010-08-25,1.41,1.41,1.41,1.41
164,2010-08-26,1.4,1.4,1.4,1.4
165,2010-08-27,1.39,1.39,1.39,1.39
166,2010-08-31,1.4,1.4,1.4,1.4
167,2010-09-01,1.43,1.43,1.43,1.43
168,2010-09-02,1.46,1.46,1.46,1.46
169,2010-09-03,1.47,1.47,1.47,1.47
170,2010-09-06,1.48,1.48,1.48,1.48
171,2010-09-07,1.48,1.48,1.48,1.48
172,2010-09-08,1.46,1.46,1.46,1.46
173,2010-09-09,1.48,1.48,1.48,1.48
174,2010-09-10,1.48,1.48,1.48,1.48
175,2010-09-13,1.51,1.51,1.51,1.51
176,2010-09-14,1.53,1.53,1.53,1.53
177,2010-09-15,1.52,1.52,1.52,1.52
178,2010-09-16,1.51,1.51,1.51,1.51
179,2010-09-17,1.51,1.51,1.51,1.51
180,2010-09-20,1.52,1.52,1.52,1.52
181,2010-09-21,1.54,1.54,1.54,1.54
182,2010-09-22,1.53,1.53,1.53,1.53
183,2010-09-23,1.52,1.52,1.52,1.52
184,2010-09-24,1.53,1.53,1.53,1.53
185,2010-09-27,1.53,1.53,1.53,1.53
186,2010-09-28,1.52,1.52,1.52,1.52
187,2010-09-29,1.54,1.54,1.54,1.54
188,2010-09-30,1.54,1.54,1.54,1.54
189,2010-10-01,1.56,1.56,1.56,1.56
190,2010-10-04,1.58,1.58,1.58,1.58
191,2010-10-05,1.56,1.56,1.56,1.56
192,2010-10-06,1.58,1.58,1.58,1.58
193,2010-10-07,1.57,1.57,1.57,1.57
194,2010-10-08,1.56,1.56,1.56,1.56
195,2010-10-11,1.58,1.58,1.58,1.58
196,2010-10-12,1.58,1.58,1.58,1.58
197,2010-10-13,1.6,1.6,1.6,1.6
198,2010-10-14,1.6,1.6,1.6,1.6
199,2010-10-15,1.59,1.59,1.59,1.59
200,2010-10-18,1.58,1.58,1.58,1.58
201,2010-10-19,1.59,1.59,1.59,1.59
202,2010-10-20,1.58,1.58,1.58,1.58
203,2010-10-21,1.59,1.59,1.59,1.59
204,2010-10-22,1.6,1.6,1.6,1.6
205,2010-10-25,1.62,1.62,1.62,1.62
206,2010-10-26,1.6,1.6,1.6,1.6
207,2010-10-27,1.58,1.58,1.58,1.58
208,2010-10-28,1.57,1.57,1.57,1.57
209,2010-10-29,1.57,1.57,1.57,1.57
210,2010-11-01,1.59,1.59,1.59,1.59
211,2010-11-02,1.59,1.59,1.59,1.59
212,2010-11-03,1.59,1.59,1.59,1.59
213,2010-11-04,1.6,1.6,1.6,1.6
214,2010-11-05,1.61,1.61,1.61,1.61
215,2010-11-08,1.61,1.61,1.61,1.61
216,2010-11-09,1.61,1.61,1.61,1.61
217,2010-11-10,1.61,1.61,1.61,1.61
218,2010-11-11,1.6,1.6,1.6,1.6
219,2010-11-12,1.58,1.58,1.58,1.58
220,2010-11-15,1.56,1.56,1.56,1.56
221,2010-11-16,1.57,1.57,1.57,1.57
222,2010-11-17,1.55,1.55,1.55,1.55
223,2010-11-18,1.57,1.57,1.57,1.57
224,2010-11-19,1.56,1.56,1.56,1.56
225,2010-11-22,1.58,1.58,1.58,1.58
226,2010-11-23,1.55,1.55,1.55,1.55
227,2010-11-24,1.56,1.56,1.56,1.56
228,2010-11-25,1.58,1.58,1.58,1.58
229,2010-11-26,1.56,1.56,1.56,1.56
230,2010-11-29,1.58,1.58,1.58,1.58
231,2010-11-30,1.58,1.58,1.58,1.58
232,2010-12-01,1.59,1.59,1.59,1.59
233,2010-12-02,1.61,1.61,1.61,1.61
234,2010-12-03,1.62,1.62,1.62,1.62
235,2010-12-06,1.63,1.63,1.63,1.63
236,2010-12-07,1.63,1.63,1.63,1.63
237,2010-12-08,1.61,1.61,1.61,1.61
238,2010-12-09,1.61,1.61,1.61,1.61
