,Date,Open,High,Low,Close
0,2010-01-04,69.07,69.07,69.07,69.07
1,2010-01-05,70.51,70.51,70.51,70.51
2,2010-01-06,70.81,70.81,70.81,70.81
3,2010-01-07,71.13,71.13,71.13,71.13
4,2010-01-08,71.0,71.0,71.0,71.0
5,2010-01-11,71.29,71.29,71.29,71.29
6,2010-01-12,70.91,70.91,70.91,70.91
7,2010-01-13,70.39,70.39,70.39,70.39
8,2010-01-14,70.75,70.75,70.75,70.75
9,2010-01-15,70.81,70.81,70.81,70.81
10,2010-01-18,70.31,70.31,70.31,70.31
11,2010-01-19,70.21,70.21,70.21,70.21
12,2010-01-20,70.35,70.35,70.35,70.35
13,2010-01-21,70.03,70.03,70.03,70.03
14,2010-01-22,68.94,68.94,68.94,68.94
15,2010-01-25,68.45,68.45,68.45,68.45
16,2010-01-26,67.92,67.92,67.92,67.92
17,2010-01-27,67.47,67.47,67.47,67.47
18,2010-01-28,67.66,67.66,67.66,67.66
19,2010-01-29,67.55,67.55,67.55,67.55
20,2010-02-01,67.64,67.64,67.64,67.64
21,2010-02-02,68.43,68.43,68.43,68.43
22,2010-02-03,69.28,69.28,69.28,69.28
23,2010-02-04,69.01,69.01,69.01,69.01
24,2010-02-05,67.12,67.12,67.12,67.12
25,2010-02-08,67.42,67.42,67.42,67.42
26,2010-02-09,67.46,67.46,67.46,67.46
27,2010-02-10,68.46,68.46,68.46,68.46
28,2010-02-11,68.85,68.85,68.85,68.85
29,2010-02-12,69.14,69.14,69.14,69.14
30,2010-02-15,68.95,68.95,68.95,68.95
31,2010-02-16,69.19,69.19,69.19,69.19
32,2010-02-17,69.92,69.92,69.92,69.92
33,2010-02-18,70.15,70.15,70.15,70.15
34,2010-02-19,70.83,70.83,70.83,70.83
35,2010-02-22,71.2,71.2,71.2,71.2
36,2010-02-23,71.24,71.24,71.24,71.24
37,2010-02-24,70.66,70.66,70.66,70.66
38,2010-02-25,71.05,71.05,71.05,71.05
39,2010-02-26,71.48,71.48,71.48,71.48
40,2010-03-01,73.04,73.04,73.04,73.04
