,Date,Open,High,Low,Close
0,2011-03-16,0.7044,0.7044,0.7044,0.7044
1,2011-03-18,0.7082,0.7082,0.7082,0.7082
2,2011-03-21,0.7091,0.7091,0.7091,0.7091
3,2011-03-22,0.7128,0.7128,0.7128,0.7128
4,2011-03-23,0.7105,0.7105,0.7105,0.7105
5,2011-03-25,0.7165,0.7165,0.7165,0.7165
6,2011-03-28,0.7184,0.7184,0.7184,0.7184
7,2011-03-29,0.7163,0.7163,0.7163,0.7163
8,2011-03-30,0.718,0.718,0.718,0.718
9,2011-03-31,0.7207,0.7207,0.7207,0.7207
10,2011-04-01,0.7192,0.7192,0.7192,0.7192
11,2011-04-04,0.7207,0.7207,0.7207,0.7207
12,2011-04-05,0.7159,0.7159,0.7159,0.7159
13,2011-04-06,0.7128,0.7128,0.7128,0.7128
14,2011-04-07,0.7107,0.7107,0.7107,0.7107
15,2011-04-08,0.7115,0.7115,0.7115,0.7115
16,2011-04-11,0.712,0.712,0.712,0.712
17,2011-04-12,0.7121,0.7121,0.7121,0.7121
18,2011-04-13,0.7136,0.7136,0.7136,0.7136
19,2011-04-14,0.7145,0.7145,0.7145,0.7145
20,2011-04-15,0.7157,0.7157,0.7157,0.7157
21,2011-04-18,0.7154,0.7154,0.7154,0.7154
22,2011-04-19,0.7146,0.7146,0.7146,0.7146
23,2011-04-20,0.7173,0.7173,0.7173,0.7173
24,2011-04-21,0.7175,0.7175,0.7175,0.7175
25,2011-04-26,0.7161,0.7161,0.7161,0.7161
26,2011-04-27,0.7168,0.7168,0.7168,0.7168
27,2011-04-28,0.7168,0.7168,0.7168,0.7168
28,2011-05-03,0.7258,0.7258,0.7258,0.7258
29,2011-05-04,0.7249,0.7249,0.7249,0.7249
30,2011-05-05,0.7259,0.7259,0.7259,0.7259
31,2011-05-06,0.7239,0.7239,0.7239,0.7239
32,2011-05-09,0.7246,0.7246,0.7246,0.7246
33,2011-05-10,0.7263,0.7263,0.7263,0.7263
34,2011-05-11,0.7268,0.7268,0.7268,0.7268
35,2011-05-12,0.7254,0.7254,0.7254,0.7254
36,2011-05-13,0.7329,0.7329,0.7329,0.7329
37,2011-05-16,0.7287,0.7287,0.7287,0.7287
38,2011-05-17,0.7241,0.7241,0.7241,0.7241
39,2011-05-18,0.7289,0.7289,0.7289,0.7289
40,2011-05-19,0.7279,0.7279,0.7279,0.7279
41,2011-05-20,0.7287,0.7287,0.7287,0.7287
42,2011-05-23,0.7235,0.7235,0.7235,0.7235
43,2011-05-24,0.7191,0.7191,0.7191,0.7191
44,2011-05-25,0.7151,0.7151,0.7151,0.7151
45,2011-05-26,0.7172,0.7172,0.7172,0.7172
46,2011-05-27,0.7193,0.7193,0.7193,0.7193
47,2011-05-31,0.7206,0.7206,0.7206,0.7206
48,2011-06-01,0.7259,0.7259,0.7259,0.7259
49,2011-06-02,0.7235,0.7235,0.7235,0.7235
50,2011-06-03,0.7237,0.7237,0.7237,0.7237
51,2011-06-07,0.7153,0.7153,0.7153,0.7153
52,2011-06-08,0.7128,0.7128,0.7128,0.7128
53,2011-06-09,0.7084,0.7084,0.7084,0.7084
54,2011-06-10,0.7146,0.7146,0.7146,0.7146
55,2011-06-13,0.7073,0.7073,0.7073,0.7073
56,2011-06-14,0.7063,0.7063,0.7063,0.7063
57,2011-06-15,0.7107,0.7107,0.7107,0.7107
58,2011-06-16,0.7036,0.7036,0.7036,0.7036
59,2011-06-17,0.7036,0.7036,0.7036,0.7036
60,2011-06-20,0.7055,0.7055,0.7055,0.7055
61,2011-06-21,0.7096,0.7096,0.7096,0.7096
62,2011-06-22,0.7146,0.7146,0.7146,0.7146
63,2011-06-23,0.7139,0.7139,0.7139,0.7139
64,2011-06-24,0.713,0.713,0.713,0.713
65,2011-06-27,0.7106,0.7106,0.7106,0.7106
66,2011-06-28,0.7137,0.7137,0.7137,0.7137
67,2011-06-29,0.7164,0.7164,0.7164,0.7164
68,2011-06-30,0.726,0.726,0.726,0.726
69,2011-07-01,0.7313,0.7313,0.7313,0.7313
70,2011-07-04,0.7363,0.7363,0.7363,0.7363
71,2011-07-05,0.7413,0.7413,0.7413,0.7413
72,2011-07-06,0.7448,0.7448,0.7448,0.7448
73,2011-07-07,0.747,0.747,0.747,0.747
74,2011-07-08,0.7506,0.7506,0.7506,0.7506
75,2011-07-11,0.745,0.745,0.745,0.745
76,2011-07-12,0.7406,0.7406,0.7406,0.7406
77,2011-07-13,0.7383,0.7383,0.7383,0.7383
78,2011-07-14,0.7325,0.7325,0.7325,0.7325
79,2011-07-15,0.7296,0.7296,0.7296,0.7296
80,2011-07-18,0.726,0.726,0.726,0.726
81,2011-07-19,0.7209,0.7209,0.7209,0.7209
82,2011-07-20,0.7287,0.7287,0.7287,0.7287
83,2011-07-21,0.7278,0.7278,0.7278,0.7278
84,2011-07-22,0.7319,0.7319,0.7319,0.7319
85,2011-07-25,0.7322,0.7322,0.7322,0.7322
86,2011-07-26,0.7297,0.7297,0.7297,0.7297
87,2011-07-27,0.7291,0.7291,0.7291,0.7291
88,2011-07-28,0.7217,0.7217,0.7217,0.7217
89,2011-07-29,0.7162,0.7162,0.7162,0.7162
90,2011-08-02,0.7122,0.7122,0.7122,0.7122
91,2011-08-03,0.7012,0.7012,0.7012,0.7012
92,2011-08-04,0.6974,0.6974,0.6974,0.6974
93,2011-08-05,0.6819,0.6819,0.6819,0.6819
94,2011-08-08,0.6731,0.6731,0.6731,0.6731
95,2011-08-09,0.655,0.655,0.655,0.655
96,2011-08-10,0.678,0.678,0.678,0.678
97,2011-08-11,0.6605,0.6605,0.6605,0.6605
98,2011-08-12,0.6715,0.6715,0.6715,0.6715
99,2011-08-15,0.6842,0.6842,0.6842,0.6842
100,2011-08-16,0.6799,0.6799,0.6799,0.6799
101,2011-08-17,0.6811,0.6811,0.6811,0.6811
102,2011-08-18,0.676,0.676,0.676,0.676
103,2011-08-19,0.6579,0.6579,0.6579,0.6579
104,2011-08-22,0.6646,0.6646,0.6646,0.6646
105,2011-08-23,0.6698,0.6698,0.6698,0.6698
106,2011-08-24,0.6649,0.6649,0.6649,0.6649
107,2011-08-25,0.677,0.677,0.677,0.677
108,2011-08-26,0.6727,0.6727,0.6727,0.6727
109,2011-08-30,0.6893,0.6893,0.6893,0.6893
110,2011-08-31,0.7003,0.7003,0.7003,0.7003
111,2011-09-01,0.7046,0.7046,0.7046,0.7046
112,2011-09-02,0.7004,0.7004,0.7004,0.7004
113,2011-09-05,0.6906,0.6906,0.6906,0.6906
114,2011-09-06,0.6878,0.6878,0.6878,0.6878
115,2011-09-07,0.6917,0.6917,0.6917,0.6917
116,2011-09-08,0.6989,0.6989,0.6989,0.6989
117,2011-09-09,0.6977,0.6977,0.6977,0.6977
118,2011-09-12,0.6814,0.6814,0.6814,0.6814
119,2011-09-13,0.6824,0.6824,0.6824,0.6824
120,2011-09-14,0.6879,0.6879,0.6879,0.6879
121,2011-09-15,0.6943,0.6943,0.6943,0.6943
122,2011-09-16,0.7035,0.7035,0.7035,0.7035
123,2011-09-19,0.7056,0.7056,0.7056,0.7056
124,2011-09-20,0.7046,0.7046,0.7046,0.7046
125,2011-09-21,0.7086,0.7086,0.7086,0.7086
126,2011-09-22,0.7005,0.7005,0.7005,0.7005
127,2011-09-23,0.6958,0.6958,0.6958,0.6958
128,2011-09-26,0.6993,0.6993,0.6993,0.6993
129,2011-09-27,0.7067,0.7067,0.7067,0.7067
130,2011-09-28,0.7098,0.7098,0.7098,0.7098
131,2011-09-29,0.7028,0.7028,0.7028,0.7028
132,2011-09-30,0.7019,0.7019,0.7019,0.7019
133,2011-10-03,0.6976,0.6976,0.6976,0.6976
134,2011-10-04,0.6926,0.6926,0.6926,0.6926
135,2011-10-05,0.7004,0.7004,0.7004,0.7004
136,2011-10-06,0.7099,0.7099,0.7099,0.7099
137,2011-10-07,0.7111,0.7111,0.7111,0.7111
138,2011-10-10,0.7073,0.7073,0.7073,0.7073
139,2011-10-11,0.718,0.718,0.718,0.718
140,2011-10-12,0.7168,0.7168,0.7168,0.7168
141,2011-10-13,0.7238,0.7238,0.7238,0.7238
142,2011-10-14,0.7227,0.7227,0.7227,0.7227
143,2011-10-17,0.7267,0.7267,0.7267,0.7267
144,2011-10-18,0.7187,0.7187,0.7187,0.7187
145,2011-10-19,0.7273,0.7273,0.7273,0.7273
146,2011-10-20,0.7209,0.7209,0.7209,0.7209
147,2011-10-21,0.7188,0.7188,0.7188,0.7188
148,2011-10-24,0.7274,0.7274,0.7274,0.7274
149,2011-10-25,0.7258,0.7258,0.7258,0.7258
150,2011-10-26,0.7172,0.7172,0.7172,0.7172
151,2011-10-27,0.7199,0.7199,0.7199,0.7199
152,2011-10-28,0.7266,0.7266,0.7266,0.7266
153,2011-11-01,0.7071,0.7071,0.7071,0.7071
154,2011-11-02,0.697,0.697,0.697,0.697
155,2011-11-03,0.7018,0.7018,0.7018,0.7018
156,2011-11-04,0.7125,0.7125,0.7125,0.7125
157,2011-11-07,0.7091,0.7091,0.7091,0.7091
158,2011-11-08,0.7143,0.7143,0.7143,0.7143
159,2011-11-09,0.7177,0.7177,0.7177,0.7177
160,2011-11-10,0.7098,0.7098,0.7098,0.7098
161,2011-11-11,0.711,0.711,0.711,0.711
162,2011-11-14,0.7172,0.7172,0.7172,0.7172
163,2011-11-15,0.7121,0.7121,0.7121,0.7121
164,2011-11-16,0.7153,0.7153,0.7153,0.7153
165,2011-11-17,0.7102,0.7102,0.7102,0.7102
166,2011-11-18,0.7046,0.7046,0.7046,0.7046
167,2011-11-21,0.7085,0.7085,0.7085,0.7085
168,2011-11-22,0.706,0.706,0.706,0.706
169,2011-11-23,0.703,0.703,0.703,0.703
170,2011-11-24,0.6968,0.6968,0.6968,0.6968
171,2011-11-25,0.6962,0.6962,0.6962,0.6962
172,2011-11-28,0.7,0.7,0.7,0.7
173,2011-11-29,0.7096,0.7096,0.7096,0.7096
174,2011-11-30,0.7106,0.7106,0.7106,0.7106
175,2011-12-01,0.7196,0.7196,0.7196,0.7196
176,2011-12-02,0.7192,0.7192,0.7192,0.7192
177,2011-12-05,0.7223,0.7223,0.7223,0.7223
178,2011-12-06,0.728,0.728,0.728,0.728
179,2011-12-07,0.7288,0.7288,0.7288,0.7288
180,2011-12-08,0.727,0.727,0.727,0.727
181,2011-12-09,0.7206,0.7206,0.7206,0.7206
182,2011-12-12,0.7263,0.7263,0.7263,0.7263
183,2011-12-13,0.7215,0.7215,0.7215,0.7215
184,2011-12-14,0.7208,0.7208,0.7208,0.7208
185,2011-12-15,0.7157,0.7157,0.7157,0.7157
186,2011-12-16,0.7162,0.7162,0.7162,0.7162
187,2011-12-19,0.7198,0.7198,0.7198,0.7198
188,2011-12-20,0.7116,0.7116,0.7116,0.7116
189,2011-12-21,0.7224,0.7224,0.7224,0.7224
190,2011-12-22,0.7219,0.7219,0.7219,0.7219
191,2011-12-23,0.7255,0.7255,0.7255,0.7255
192,2011-12-28,0.7327,0.7327,0.7327,0.7327
193,2011-12-29,0.7371,0.7371,0.7371,0.7371
194,2011-12-30,0.7396,0.7396,0.7396,0.7396
195,2012-01-03,0.7309,0.7309,0.7309,0.7309
196,2012-01-04,0.7335,0.7335,0.7335,0.7335
197,2012-01-05,0.7292,0.7292,0.7292,0.7292
198,2012-01-06,0.7285,0.7285,0.7285,0.7285
199,2012-01-09,0.7313,0.7313,0.7313,0.7313
200,2012-01-10,0.7325,0.7325,0.7325,0.7325
201,2012-01-11,0.7343,0.7343,0.7343,0.7343
202,2012-01-12,0.7349,0.7349,0.7349,0.7349
203,2012-01-13,0.7375,0.7375,0.7375,0.7375
204,2012-01-16,0.7329,0.7329,0.7329,0.7329
205,2012-01-17,0.7347,0.7347,0.7347,0.7347
206,2012-01-18,0.7338,0.7338,0.7338,0.7338
207,2012-01-19,0.732,0.732,0.732,0.732
208,2012-01-20,0.737,0.737,0.737,0.737
209,2012-01-23,0.7346,0.7346,0.7346,0.7346
210,2012-01-24,0.7358,0.7358,0.7358,0.7358
211,2012-01-25,0.7326,0.7326,0.7326,0.7326
212,2012-01-26,0.7334,0.7334,0.7334,0.7334
213,2012-01-27,0.7323,0.7323,0.7323,0.7323
214,2012-01-30,0.7303,0.7303,0.7303,0.7303
215,2012-01-31,0.723,0.723,0.723,0.723
216,2012-02-01,0.7273,0.7273,0.7273,0.7273
217,2012-02-02,0.7295,0.7295,0.7295,0.7295
218,2012-02-03,0.7335,0.7335,0.7335,0.7335
219,2012-02-06,0.739,0.739,0.739,0.739
220,2012-02-07,0.7374,0.7374,0.7374,0.7374
221,2012-02-08,0.7368,0.7368,0.7368,0.7368
222,2012-02-09,0.7385,0.7385,0.7385,0.7385
223,2012-02-10,0.737,0.737,0.737,0.737
224,2012-02-13,0.7386,0.7386,0.7386,0.7386
225,2012-02-14,0.743,0.743,0.743,0.743
226,2012-02-15,0.7479,0.7479,0.7479,0.7479
227,2012-02-16,0.7468,0.7468,0.7468,0.7468
228,2012-02-17,0.7477,0.7477,0.7477,0.7477
229,2012-02-20,0.7476,0.7476,0.7476,0.7476
230,2012-02-21,0.7487,0.7487,0.7487,0.7487
231,2012-02-22,0.7517,0.7517,0.7517,0.7517
232,2012-02-23,0.754,0.754,0.754,0.754
233,2012-02-24,0.7518,0.7518,0.7518,0.7518
234,2012-02-27,0.7477,0.7477,0.7477,0.7477
235,2012-02-28,0.7486,0.7486,0.7486,0.7486
236,2012-02-29,0.7455,0.7455,0.7455,0.7455
237,2012-03-01,0.7436,0.7436,0.7436,0.7436
238,2012-03-02,0.7437,0.7437,0.7437,0.7437
239,2012-03-05,0.7446,0.7446,0.7446,0.7446
240,2012-03-06,0.7434,0.7434,0.7434,0.7434
241,2012-03-07,0.742,0.742,0.742,0.742
242,2012-03-08,0.7418,0.7418,0.7418,0.7418
243,2012-03-09,0.7485,0.7485,0.7485,0.7485
244,2012-03-12,0.7528,0.7528,0.7528,0.7528
245,2012-03-13,0.7547,0.7547,0.7547,0.7547
246,2012-03-14,0.7602,0.7602,0.7602,0.7602
247,2012-03-15,0.7611,0.7611,0.7611,0.7611
248,2012-03-16,0.7599,0.7599,0.7599,0.7599
249,2012-03-20,0.7544,0.7544,0.7544,0.7544
250,2012-03-21,0.7541,0.7541,0.7541,0.7541
251,2012-03-22,0.7619,0.7619,0.7619,0.7619
252,2012-03-23,0.7594,0.7594,0.7594,0.7594
253,2012-03-26,0.7598,0.7598,0.7598,0.7598
254,2012-03-27,0.7652,0.7652,0.7652,0.7652
255,2012-03-28,0.7668,0.7668,0.7668,0.7668
256,2012-03-29,0.7647,0.7647,0.7647,0.7647
257,2012-03-30,0.7604,0.7604,0.7604,0.7604
258,2012-04-02,0.7613,0.7613,0.7613,0.7613
259,2012-04-03,0.7671,0.7671,0.7671,0.7671
260,2012-04-04,0.7633,0.7633,0.7633,0.7633
261,2012-04-05,0.7587,0.7587,0.7587,0.7587
262,2012-04-10,0.7568,0.7568,0.7568,0.7568
263,2012-04-11,0.7483,0.7483,0.7483,0.7483
264,2012-04-12,0.7514,0.7514,0.7514,0.7514
265,2012-04-13,0.7542,0.7542,0.7542,0.7542
266,2012-04-16,0.7544,0.7544,0.7544,0.7544
267,2012-04-17,0.7539,0.7539,0.7539,0.7539
268,2012-04-18,0.7586,0.7586,0.7586,0.7586
269,2012-04-19,0.7551,0.7551,0.7551,0.7551
270,2012-04-20,0.7559,0.7559,0.7559,0.7559
271,2012-04-23,0.7555,0.7555,0.7555,0.7555
