,Date,Open,High,Low,Close
0,2010-01-04,314.1,314.1,314.1,314.1
1,2010-01-05,324.7,324.7,324.7,324.7
2,2010-01-06,323.8,323.8,323.8,323.8
3,2010-01-07,326.2,326.2,326.2,326.2
4,2010-01-08,321.5,321.5,321.5,321.5
5,2010-01-11,331.4,331.4,331.4,331.4
6,2010-01-12,324.6,324.6,324.6,324.6
7,2010-01-13,326.7,326.7,326.7,326.7
8,2010-01-14,329.2,329.2,329.2,329.2
9,2010-01-15,324.2,324.2,324.2,324.2
10,2010-01-18,328.1,328.1,328.1,328.1
11,2010-01-19,321.4,321.4,321.4,321.4
12,2010-01-20,321.9,321.9,321.9,321.9
13,2010-01-21,320.8,320.8,320.8,320.8
14,2010-01-22,318.6,318.6,318.6,318.6
15,2010-01-25,322.0,322.0,322.0,322.0
16,2010-01-26,320.9,320.9,320.9,320.9
17,2010-01-27,314.4,314.4,314.4,314.4
18,2010-01-28,319.4,319.4,319.4,319.4
19,2010-01-29,318.3,318.3,318.3,318.3
20,2010-02-01,317.7,317.7,317.7,317.7
21,2010-02-02,320.5,320.5,320.5,320.5
22,2010-02-03,326.6,326.6,326.6,326.6
23,2010-02-04,324.0,324.0,324.0,324.0
24,2010-02-05,316.5,316.5,316.5,316.5
25,2010-02-08,318.7,318.7,318.7,318.7
26,2010-02-09,313.2,313.2,313.2,313.2
27,2010-02-10,319.5,319.5,319.5,319.5
28,2010-02-11,316.4,316.4,316.4,316.4
29,2010-02-12,314.5,314.5,314.5,314.5
30,2010-02-15,308.6,308.6,308.6,308.6
31,2010-02-16,309.0,309.0,309.0,309.0
32,2010-02-17,310.9,310.9,310.9,310.9
33,2010-02-18,312.7,312.7,312.7,312.7
34,2010-02-19,316.3,316.3,316.3,316.3
35,2010-02-22,319.0,319.0,319.0,319.0
36,2010-02-23,321.3,321.3,321.3,321.3
37,2010-02-24,321.5,321.5,321.5,321.5
38,2010-02-25,317.5,317.5,317.5,317.5
39,2010-02-26,326.6,326.6,326.6,326.6
40,2010-03-01,325.7,325.7,325.7,325.7
41,2010-03-02,328.7,328.7,328.7,328.7
42,2010-03-03,331.4,331.4,331.4,331.4
43,2010-03-04,332.3,332.3,332.3,332.3
44,2010-03-05,333.0,333.0,333.0,333.0
45,2010-03-08,333.0,333.0,333.0,333.0
46,2010-03-09,335.3,335.3,335.3,335.3
47,2010-03-10,344.0,344.0,344.0,344.0
48,2010-03-11,337.9,337.9,337.9,337.9
49,2010-03-12,339.4,339.4,339.4,339.4
50,2010-03-15,340.9,340.9,340.9,340.9
51,2010-03-16,341.3,341.3,341.3,341.3
52,2010-03-17,341.7,341.7,341.7,341.7
53,2010-03-18,342.8,342.8,342.8,342.8
54,2010-03-19,343.6,343.6,343.6,343.6
55,2010-03-22,341.9,341.9,341.9,341.9
56,2010-03-23,347.9,347.9,347.9,347.9
57,2010-03-24,342.2,342.2,342.2,342.2
58,2010-03-25,346.4,346.4,346.4,346.4
59,2010-03-26,347.1,347.1,347.1,347.1
60,2010-03-29,347.8,347.8,347.8,347.8
61,2010-03-30,345.6,345.6,345.6,345.6
62,2010-03-31,344.1,344.1,344.1,344.1
63,2010-04-01,348.6,348.6,348.6,348.6
64,2010-04-06,350.1,350.1,350.1,350.1
65,2010-04-07,349.1,349.1,349.1,349.1
66,2010-04-08,346.5,346.5,346.5,346.5
67,2010-04-09,348.1,348.1,348.1,348.1
68,2010-04-12,352.9,352.9,352.9,352.9
69,2010-04-13,354.5,354.5,354.5,354.5
70,2010-04-14,354.9,354.9,354.9,354.9
71,2010-04-15,354.6,354.6,354.6,354.6
72,2010-04-16,355.7,355.7,355.7,355.7
73,2010-04-19,354.9,354.9,354.9,354.9
74,2010-04-20,351.0,351.0,351.0,351.0
75,2010-04-21,354.7,354.7,354.7,354.7
76,2010-04-22,348.9,348.9,348.9,348.9
77,2010-04-23,346.5,346.5,346.5,346.5
78,2010-04-26,351.9,351.9,351.9,351.9
79,2010-04-27,349.4,349.4,349.4,349.4
80,2010-04-28,340.9,340.9,340.9,340.9
81,2010-04-29,338.6,338.6,338.6,338.6
82,2010-04-30,344.3,344.3,344.3,344.3
83,2010-05-04,346.4,346.4,346.4,346.4
84,2010-05-05,332.2,332.2,332.2,332.2
85,2010-05-06,327.8,327.8,327.8,327.8
86,2010-05-07,328.0,328.0,328.0,328.0
87,2010-05-10,335.1,335.1,335.1,335.1
88,2010-05-11,331.3,331.3,331.3,331.3
89,2010-05-12,326.6,326.6,326.6,326.6
90,2010-05-13,336.5,336.5,336.5,336.5
91,2010-05-14,336.5,336.5,336.5,336.5
92,2010-05-17,328.7,328.7,328.7,328.7
93,2010-05-18,332.0,332.0,332.0,332.0
94,2010-05-19,322.6,322.6,322.6,322.6
95,2010-05-20,326.3,326.3,326.3,326.3
96,2010-05-21,320.4,320.4,320.4,320.4
97,2010-05-24,321.7,321.7,321.7,321.7
98,2010-05-25,315.6,315.6,315.6,315.6
99,2010-05-26,315.2,315.2,315.2,315.2
100,2010-05-27,313.4,313.4,313.4,313.4
101,2010-05-28,321.2,321.2,321.2,321.2
102,2010-06-01,314.4,314.4,314.4,314.4
103,2010-06-02,312.9,312.9,312.9,312.9
104,2010-06-03,319.4,319.4,319.4,319.4
105,2010-06-04,319.5,319.5,319.5,319.5
106,2010-06-07,310.7,310.7,310.7,310.7
107,2010-06-08,310.1,310.1,310.1,310.1
108,2010-06-09,309.5,309.5,309.5,309.5
