,Date,Open,High,Low,Close
0,2010-01-04,114.21,114.21,114.21,114.21
1,2010-01-05,114.76,114.76,114.76,114.76
2,2010-01-06,113.85,113.85,113.85,113.85
3,2010-01-07,114.03,114.03,114.03,114.03
4,2010-01-08,114.85,114.85,114.85,114.85
5,2010-01-11,115.18,115.18,115.18,115.18
6,2010-01-12,114.28,114.28,114.28,114.28
7,2010-01-13,114.31,114.31,114.31,114.31
8,2010-01-14,114.82,114.82,114.82,114.82
9,2010-01-15,115.23,115.23,115.23,115.23
10,2010-01-18,115.01,115.01,115.01,115.01
11,2010-01-19,115.1,115.1,115.1,115.1
12,2010-01-20,116.28,116.28,116.28,116.28
13,2010-01-21,115.91,115.91,115.91,115.91
14,2010-01-22,115.07,115.07,115.07,115.07
15,2010-01-25,114.06,114.06,114.06,114.06
16,2010-01-26,113.1,113.1,113.1,113.1
17,2010-01-27,113.06,113.06,113.06,113.06
18,2010-01-28,113.76,113.76,113.76,113.76
19,2010-01-29,113.38,113.38,113.38,113.38
20,2010-02-01,113.66,113.66,113.66,113.66
21,2010-02-02,114.25,114.25,114.25,114.25
22,2010-02-03,115.19,115.19,115.19,115.19
23,2010-02-04,113.7,113.7,113.7,113.7
24,2010-02-05,110.93,110.93,110.93,110.93
25,2010-02-08,111.27,111.27,111.27,111.27
26,2010-02-09,111.22,111.22,111.22,111.22
27,2010-02-10,112.07,112.07,112.07,112.07
28,2010-02-11,112.89,112.89,112.89,112.89
29,2010-02-12,113.37,113.37,113.37,113.37
30,2010-02-15,113.52,113.52,113.52,113.52
31,2010-02-16,114.0,114.0,114.0,114.0
32,2010-02-17,115.37,115.37,115.37,115.37
33,2010-02-18,116.03,116.03,116.03,116.03
34,2010-02-19,116.54,116.54,116.54,116.54
35,2010-02-22,116.47,116.47,116.47,116.47
36,2010-02-23,116.63,116.63,116.63,116.63
37,2010-02-24,115.6,115.6,115.6,115.6
38,2010-02-25,117.15,117.15,117.15,117.15
39,2010-02-26,116.8,116.8,116.8,116.8
40,2010-03-01,118.03,118.03,118.03,118.03
41,2010-03-02,119.28,119.28,119.28,119.28
42,2010-03-03,119.78,119.78,119.78,119.78
43,2010-03-04,120.72,120.72,120.72,120.72
44,2010-03-05,122.16,122.16,122.16,122.16
45,2010-03-08,123.19,123.19,123.19,123.19
46,2010-03-09,123.44,123.44,123.44,123.44
47,2010-03-10,123.55,123.55,123.55,123.55
48,2010-03-11,123.94,123.94,123.94,123.94
49,2010-03-12,123.7,123.7,123.7,123.7
50,2010-03-15,124.29,124.29,124.29,124.29
51,2010-03-16,124.27,124.27,124.27,124.27
52,2010-03-17,124.32,124.32,124.32,124.32
53,2010-03-18,124.29,124.29,124.29,124.29
54,2010-03-19,124.83,124.83,124.83,124.83
55,2010-03-22,124.08,124.08,124.08,124.08
56,2010-03-23,124.94,124.94,124.94,124.94
57,2010-03-24,125.07,125.07,125.07,125.07
58,2010-03-25,125.7,125.7,125.7,125.7
59,2010-03-26,126.27,126.27,126.27,126.27
60,2010-03-29,126.39,126.39,126.39,126.39
61,2010-03-30,125.55,125.55,125.55,125.55
62,2010-03-31,126.06,126.06,126.06,126.06
63,2010-04-01,125.96,125.96,125.96,125.96
64,2010-04-06,127.16,127.16,127.16,127.16
65,2010-04-07,127.49,127.49,127.49,127.49
66,2010-04-08,126.64,126.64,126.64,126.64
67,2010-04-09,127.41,127.41,127.41,127.41
68,2010-04-12,127.72,127.72,127.72,127.72
69,2010-04-13,127.9,127.9,127.9,127.9
70,2010-04-14,128.28,128.28,128.28,128.28
71,2010-04-15,128.48,128.48,128.48,128.48
72,2010-04-16,129.3,129.3,129.3,129.3
73,2010-04-19,127.93,127.93,127.93,127.93
74,2010-04-20,127.97,127.97,127.97,127.97
75,2010-04-21,128.11,128.11,128.11,128.11
76,2010-04-22,128.91,128.91,128.91,128.91
77,2010-04-23,128.59,128.59,128.59,128.59
78,2010-04-26,129.25,129.25,129.25,129.25
79,2010-04-27,128.86,128.86,128.86,128.86
80,2010-04-28,125.76,125.76,125.76,125.76
