,Date,Open,High,Low,Close
0,2010-01-04,169.42,169.42,169.42,169.42
1,2010-01-05,170.42,170.42,170.42,170.42
2,2010-01-06,170.69,170.69,170.69,170.69
3,2010-01-07,171.22,171.22,171.22,171.22
4,2010-01-08,171.37,171.37,171.37,171.37
5,2010-01-11,172.25,172.25,172.25,172.25
6,2010-01-12,172.02,172.02,172.02,172.02
7,2010-01-13,171.82,171.82,171.82,171.82
8,2010-01-14,172.24,172.24,172.24,172.24
9,2010-01-15,173.62,173.62,173.62,173.62
10,2010-01-18,174.23,174.23,174.23,174.23
11,2010-01-19,174.22,174.22,174.22,174.22
12,2010-01-20,173.21,173.21,173.21,173.21
13,2010-01-21,173.1,173.1,173.1,173.1
14,2010-01-22,172.46,172.46,172.46,172.46
15,2010-01-25,172.07,172.07,172.07,172.07
16,2010-01-26,170.93,170.93,170.93,170.93
17,2010-01-27,170.94,170.94,170.94,170.94
18,2010-01-28,170.0,170.0,170.0,170.0
19,2010-01-29,169.47,169.47,169.47,169.47
20,2010-02-01,169.53,169.53,169.53,169.53
21,2010-02-02,169.61,169.61,169.61,169.61
22,2010-02-03,169.75,169.75,169.75,169.75
23,2010-02-04,168.75,168.75,168.75,168.75
24,2010-02-05,166.23,166.23,166.23,166.23
25,2010-02-08,167.14,167.14,167.14,167.14
26,2010-02-09,166.65,166.65,166.65,166.65
27,2010-02-10,166.75,166.75,166.75,166.75
28,2010-02-11,166.98,166.98,166.98,166.98
29,2010-02-12,166.76,166.76,166.76,166.76
30,2010-02-15,167.56,167.56,167.56,167.56
31,2010-02-16,167.92,167.92,167.92,167.92
32,2010-02-17,168.93,168.93,168.93,168.93
33,2010-02-18,169.48,169.48,169.48,169.48
34,2010-02-19,168.81,168.81,168.81,168.81
35,2010-02-22,169.39,169.39,169.39,169.39
36,2010-02-23,168.28,168.28,168.28,168.28
37,2010-02-24,166.89,166.89,166.89,166.89
38,2010-02-25,166.65,166.65,166.65,166.65
39,2010-02-26,166.54,166.54,166.54,166.54
40,2010-03-01,166.22,166.22,166.22,166.22
41,2010-03-02,166.67,166.67,166.67,166.67
42,2010-03-03,166.87,166.87,166.87,166.87
43,2010-03-04,167.49,167.49,167.49,167.49
44,2010-03-05,168.1,168.1,168.1,168.1
45,2010-03-08,168.13,168.13,168.13,168.13
46,2010-03-09,168.46,168.46,168.46,168.46
47,2010-03-10,167.71,167.71,167.71,167.71
48,2010-03-11,167.97,167.97,167.97,167.97
49,2010-03-12,167.4,167.4,167.4,167.4
50,2010-03-15,168.89,168.89,168.89,168.89
51,2010-03-16,169.5,169.5,169.5,169.5
52,2010-03-17,169.67,169.67,169.67,169.67
53,2010-03-18,169.58,169.58,169.58,169.58
54,2010-03-19,169.16,169.16,169.16,169.16
55,2010-03-22,170.66,170.66,170.66,170.66
56,2010-03-23,170.32,170.32,170.32,170.32
57,2010-03-24,170.44,170.44,170.44,170.44
58,2010-03-25,171.36,171.36,171.36,171.36
59,2010-03-26,171.54,171.54,171.54,171.54
60,2010-03-29,170.19,170.19,170.19,170.19
61,2010-03-30,170.04,170.04,170.04,170.04
62,2010-03-31,169.62,169.62,169.62,169.62
63,2010-04-01,170.15,170.15,170.15,170.15
64,2010-04-06,171.54,171.54,171.54,171.54
65,2010-04-07,172.13,172.13,172.13,172.13
66,2010-04-08,172.98,172.98,172.98,172.98
67,2010-04-09,173.36,173.36,173.36,173.36
68,2010-04-12,163.47,163.47,163.47,163.47
69,2010-04-13,175.68,175.68,175.68,175.68
70,2010-04-14,176.06,176.06,176.06,176.06
71,2010-04-15,177.75,177.75,177.75,177.75
72,2010-04-16,178.37,178.37,178.37,178.37
73,2010-04-19,177.28,177.28,177.28,177.28
74,2010-04-20,177.38,177.38,177.38,177.38
75,2010-04-21,178.11,178.11,178.11,178.11
76,2010-04-22,178.73,178.73,178.73,178.73
77,2010-04-23,179.47,179.47,179.47,179.47
78,2010-04-26,181.29,181.29,181.29,181.29
79,2010-04-27,179.98,179.98,179.98,179.98
80,2010-04-28,178.72,178.72,178.72,178.72
81,2010-04-29,178.11,178.11,178.11,178.11
82,2010-04-30,178.61,178.61,178.61,178.61
83,2010-05-04,178.18,178.18,178.18,178.18
84,2010-05-05,175.49,175.49,175.49,175.49
85,2010-05-06,174.06,174.06,174.06,174.06
86,2010-05-07,172.76,172.76,172.76,172.76
87,2010-05-10,175.06,175.06,175.06,175.06
88,2010-05-11,175.1,175.1,175.1,175.1
89,2010-05-12,175.38,175.38,175.38,175.38
90,2010-05-13,176.46,176.46,176.46,176.46
91,2010-05-14,176.32,176.32,176.32,176.32
92,2010-05-17,176.63,176.63,176.63,176.63
93,2010-05-18,176.02,176.02,176.02,176.02
94,2010-05-19,175.01,175.01,175.01,175.01
95,2010-05-20,174.06,174.06,174.06,174.06
96,2010-05-21,170.52,170.52,170.52,170.52
97,2010-05-24,170.78,170.78,170.78,170.78
98,2010-05-25,169.38,169.38,169.38,169.38
99,2010-05-26,168.98,168.98,168.98,168.98
100,2010-05-27,171.6,171.6,171.6,171.6
101,2010-05-28,172.27,172.27,172.27,172.27
102,2010-06-01,171.66,171.66,171.66,171.66
103,2010-06-02,170.8,170.8,170.8,170.8
104,2010-06-03,171.29,171.29,171.29,171.29
105,2010-06-04,172.63,172.63,172.63,172.63
106,2010-06-07,172.22,172.22,172.22,172.22
107,2010-06-08,171.3,171.3,171.3,171.3
108,2010-06-09,171.34,171.34,171.34,171.34
109,2010-06-10,171.05,171.05,171.05,171.05
110,2010-06-11,171.07,171.07,171.07,171.07
111,2010-06-14,171.4,171.4,171.4,171.4
112,2010-06-15,172.59,172.59,172.59,172.59
113,2010-06-16,160.3,160.3,160.3,160.3
114,2010-06-17,172.22,172.22,172.22,172.22
115,2010-06-18,172.72,172.72,172.72,172.72
116,2010-06-21,172.31,172.31,172.31,172.31
117,2010-06-22,170.72,170.72,170.72,170.72
118,2010-06-23,170.69,170.69,170.69,170.69
119,2010-06-24,170.76,170.76,170.76,170.76
120,2010-06-25,170.79,170.79,170.79,170.79
121,2010-06-28,159.31,159.31,159.31,159.31
122,2010-06-29,170.78,170.78,170.78,170.78
123,2010-06-30,168.68,168.68,168.68,168.68
124,2010-07-01,167.38,167.38,167.38,167.38
125,2010-07-02,167.77,167.77,167.77,167.77
126,2010-07-05,168.61,168.61,168.61,168.61
127,2010-07-06,169.49,169.49,169.49,169.49
128,2010-07-07,169.54,169.54,169.54,169.54
129,2010-07-08,170.36,170.36,170.36,170.36
130,2010-07-09,169.99,169.99,169.99,169.99
131,2010-07-12,171.05,171.05,171.05,171.05
132,2010-07-13,170.87,170.87,170.87,170.87
133,2010-07-14,172.58,172.58,172.58,172.58
134,2010-07-15,174.14,174.14,174.14,174.14
