,Date,Open,High,Low,Close
0,2011-05-06,100.5,100.5,100.5,100.5
1,2011-05-09,100.4,100.4,100.4,100.4
2,2011-05-10,100.6,100.6,100.6,100.6
3,2011-05-11,99.66,99.66,99.66,99.66
4,2011-05-12,100.7,100.7,100.7,100.7
5,2011-05-13,101.0,101.0,101.0,101.0
6,2011-05-16,101.2,101.2,101.2,101.2
7,2011-05-17,100.4,100.4,100.4,100.4
8,2011-05-18,101.3,101.3,101.3,101.3
9,2011-05-19,100.6,100.6,100.6,100.6
10,2011-05-20,100.7,100.7,100.7,100.7
11,2011-05-23,100.8,100.8,100.8,100.8
12,2011-05-24,100.8,100.8,100.8,100.8
13,2011-05-25,100.3,100.3,100.3,100.3
14,2011-05-26,100.1,100.1,100.1,100.1
15,2011-05-27,100.1,100.1,100.1,100.1
16,2011-05-30,100.1,100.1,100.1,100.1
17,2011-05-31,99.63,99.63,99.63,99.63
18,2011-06-01,100.3,100.3,100.3,100.3
19,2011-06-02,101.2,101.2,101.2,101.2
20,2011-06-03,101.8,101.8,101.8,101.8
21,2011-06-06,101.6,101.6,101.6,101.6
22,2011-06-07,101.4,101.4,101.4,101.4
23,2011-06-08,101.8,101.8,101.8,101.8
24,2011-06-09,101.5,101.5,101.5,101.5
25,2011-06-10,102.0,102.0,102.0,102.0
26,2011-06-13,101.7,101.7,101.7,101.7
27,2011-06-14,101.2,101.2,101.2,101.2
28,2011-06-15,101.3,101.3,101.3,101.3
29,2011-06-16,102.0,102.0,102.0,102.0
30,2011-06-17,102.3,102.3,102.3,102.3
31,2011-06-20,102.3,102.3,102.3,102.3
32,2011-06-21,102.4,102.4,102.4,102.4
33,2011-06-22,102.8,102.8,102.8,102.8
34,2011-06-23,103.3,103.3,103.3,103.3
35,2011-06-24,103.4,103.4,103.4,103.4
36,2011-06-27,103.3,103.3,103.3,103.3
37,2011-06-28,103.5,103.5,103.5,103.5
38,2011-06-29,103.0,103.0,103.0,103.0
39,2011-06-30,103.5,103.5,103.5,103.5
40,2011-07-01,103.2,103.2,103.2,103.2
41,2011-07-04,102.7,102.7,102.7,102.7
42,2011-07-05,102.4,102.4,102.4,102.4
43,2011-07-06,102.8,102.8,102.8,102.8
44,2011-07-07,102.8,102.8,102.8,102.8
45,2011-07-08,102.6,102.6,102.6,102.6
46,2011-07-11,103.2,103.2,103.2,103.2
47,2011-07-12,104.4,104.4,104.4,104.4
48,2011-07-13,103.9,103.9,103.9,103.9
49,2011-07-14,103.1,103.1,103.1,103.1
50,2011-07-15,103.0,103.0,103.0,103.0
51,2011-07-18,102.9,102.9,102.9,102.9
52,2011-07-19,103.0,103.0,103.0,103.0
53,2011-07-20,103.1,103.1,103.1,103.1
54,2011-07-21,102.7,102.7,102.7,102.7
55,2011-07-22,102.6,102.6,102.6,102.6
56,2011-07-25,102.8,102.8,102.8,102.8
57,2011-07-26,102.2,102.2,102.2,102.2
58,2011-07-27,102.6,102.6,102.6,102.6
59,2011-07-28,102.6,102.6,102.6,102.6
60,2011-07-29,103.0,103.0,103.0,103.0
61,2011-08-01,102.9,102.9,102.9,102.9
62,2011-08-02,103.3,103.3,103.3,103.3
63,2011-08-03,103.3,103.3,103.3,103.3
64,2011-08-04,102.3,102.3,102.3,102.3
65,2011-08-05,103.4,103.4,103.4,103.4
66,2011-08-08,103.4,103.4,103.4,103.4
67,2011-08-09,104.2,104.2,104.2,104.2
68,2011-08-10,105.7,105.7,105.7,105.7
69,2011-08-11,106.0,106.0,106.0,106.0
70,2011-08-12,105.2,105.2,105.2,105.2
71,2011-08-15,105.0,105.0,105.0,105.0
72,2011-08-16,104.8,104.8,104.8,104.8
73,2011-08-17,104.8,104.8,104.8,104.8
74,2011-08-18,104.8,104.8,104.8,104.8
75,2011-08-19,104.7,104.7,104.7,104.7
76,2011-08-22,104.9,104.9,104.9,104.9
77,2011-08-23,104.8,104.8,104.8,104.8
78,2011-08-24,104.8,104.8,104.8,104.8
79,2011-08-25,105.0,105.0,105.0,105.0
80,2011-08-26,105.6,105.6,105.6,105.6
81,2011-08-29,105.6,105.6,105.6,105.6
82,2011-08-30,105.6,105.6,105.6,105.6
83,2011-08-31,106.1,106.1,106.1,106.1
84,2011-09-01,105.9,105.9,105.9,105.9
85,2011-09-02,106.1,106.1,106.1,106.1
86,2011-09-05,106.7,106.7,106.7,106.7
87,2011-09-06,106.8,106.8,106.8,106.8
88,2011-09-07,107.3,107.3,107.3,107.3
89,2011-09-08,107.4,107.4,107.4,107.4
90,2011-09-09,107.0,107.0,107.0,107.0
91,2011-09-12,107.6,107.6,107.6,107.6
92,2011-09-13,107.7,107.7,107.7,107.7
93,2011-09-14,108.0,108.0,108.0,108.0
94,2011-09-15,107.9,107.9,107.9,107.9
95,2011-09-16,108.1,108.1,108.1,108.1
96,2011-09-19,108.6,108.6,108.6,108.6
97,2011-09-20,109.0,109.0,109.0,109.0
98,2011-09-21,109.3,109.3,109.3,109.3
99,2011-09-22,111.0,111.0,111.0,111.0
100,2011-09-23,111.2,111.2,111.2,111.2
101,2011-09-26,110.3,110.3,110.3,110.3
102,2011-09-27,109.5,109.5,109.5,109.5
103,2011-09-28,109.0,109.0,109.0,109.0
104,2011-09-29,109.0,109.0,109.0,109.0
105,2011-09-30,109.1,109.1,109.1,109.1
106,2011-10-03,109.5,109.5,109.5,109.5
107,2011-10-04,110.6,110.6,110.6,110.6
108,2011-10-05,110.0,110.0,110.0,110.0
109,2011-10-06,110.9,110.9,110.9,110.9
110,2011-10-07,109.5,109.5,109.5,109.5
111,2011-10-10,108.6,108.6,108.6,108.6
112,2011-10-11,108.7,108.7,108.7,108.7
113,2011-10-12,107.9,107.9,107.9,107.9
114,2011-10-13,108.0,108.0,108.0,108.0
115,2011-10-14,107.6,107.6,107.6,107.6
116,2011-10-17,107.7,107.7,107.7,107.7
117,2011-10-18,107.9,107.9,107.9,107.9
118,2011-10-19,107.6,107.6,107.6,107.6
119,2011-10-20,107.6,107.6,107.6,107.6
120,2011-10-21,107.2,107.2,107.2,107.2
121,2011-10-24,107.0,107.0,107.0,107.0
122,2011-10-25,106.5,106.5,106.5,106.5
123,2011-10-26,107.2,107.2,107.2,107.2
124,2011-10-27,107.2,107.2,107.2,107.2
125,2011-10-28,106.3,106.3,106.3,106.3
126,2011-10-31,105.8,105.8,105.8,105.8
127,2011-11-01,106.3,106.3,106.3,106.3
128,2011-11-02,106.0,106.0,106.0,106.0
129,2011-11-03,105.8,105.8,105.8,105.8
130,2011-11-04,105.9,105.9,105.9,105.9
131,2011-11-07,105.5,105.5,105.5,105.5
132,2011-11-08,105.5,105.5,105.5,105.5
133,2011-11-09,105.7,105.7,105.7,105.7
134,2011-11-10,106.0,106.0,106.0,106.0
135,2011-11-11,106.1,106.1,106.1,106.1
136,2011-11-14,106.4,106.4,106.4,106.4
137,2011-11-15,106.4,106.4,106.4,106.4
138,2011-11-16,106.8,106.8,106.8,106.8
139,2011-11-17,106.9,106.9,106.9,106.9
140,2011-11-18,106.5,106.5,106.5,106.5
141,2011-11-21,107.8,107.8,107.8,107.8
142,2011-11-22,107.9,107.9,107.9,107.9
143,2011-11-23,107.8,107.8,107.8,107.8
144,2011-11-24,108.0,108.0,108.0,108.0
145,2011-11-25,107.6,107.6,107.6,107.6
146,2011-11-28,107.0,107.0,107.0,107.0
147,2011-11-29,106.8,106.8,106.8,106.8
148,2011-11-30,106.8,106.8,106.8,106.8
149,2011-12-01,106.8,106.8,106.8,106.8
150,2011-12-02,107.1,107.1,107.1,107.1
151,2011-12-05,107.7,107.7,107.7,107.7
152,2011-12-06,107.8,107.8,107.8,107.8
153,2011-12-07,108.0,108.0,108.0,108.0
154,2011-12-08,107.5,107.5,107.5,107.5
155,2011-12-09,107.2,107.2,107.2,107.2
156,2011-12-12,107.4,107.4,107.4,107.4
157,2011-12-13,107.5,107.5,107.5,107.5
158,2011-12-14,107.9,107.9,107.9,107.9
159,2011-12-15,108.2,108.2,108.2,108.2
160,2011-12-16,108.3,108.3,108.3,108.3
161,2011-12-19,108.5,108.5,108.5,108.5
162,2011-12-20,107.8,107.8,107.8,107.8
163,2011-12-21,107.4,107.4,107.4,107.4
164,2011-12-22,107.1,107.1,107.1,107.1
165,2011-12-23,107.2,107.2,107.2,107.2
166,2011-12-26,107.2,107.2,107.2,107.2
167,2011-12-27,107.2,107.2,107.2,107.2
168,2011-12-28,107.5,107.5,107.5,107.5
169,2011-12-29,109.1,109.1,109.1,109.1
170,2011-12-30,109.0,109.0,109.0,109.0
171,2012-01-02,109.0,109.0,109.0,109.0
172,2012-01-03,108.4,108.4,108.4,108.4
173,2012-01-04,108.2,108.2,108.2,108.2
174,2012-01-05,108.3,108.3,108.3,108.3
175,2012-01-06,108.0,108.0,108.0,108.0
176,2012-01-09,108.6,108.6,108.6,108.6
177,2012-01-10,108.4,108.4,108.4,108.4
178,2012-01-11,109.0,109.0,109.0,109.0
179,2012-01-12,109.7,109.7,109.7,109.7
180,2012-01-13,110.1,110.1,110.1,110.1
181,2012-01-16,110.0,110.0,110.0,110.0
182,2012-01-17,109.8,109.8,109.8,109.8
183,2012-01-18,110.0,110.0,110.0,110.0
184,2012-01-19,109.5,109.5,109.5,109.5
185,2012-01-20,108.9,108.9,108.9,108.9
186,2012-01-23,108.5,108.5,108.5,108.5
187,2012-01-24,108.3,108.3,108.3,108.3
188,2012-01-25,107.7,107.7,107.7,107.7
189,2012-01-26,108.0,108.0,108.0,108.0
190,2012-01-27,108.4,108.4,108.4,108.4
191,2012-01-30,108.6,108.6,108.6,108.6
192,2012-01-31,108.3,108.3,108.3,108.3
193,2012-02-01,108.7,108.7,108.7,108.7
194,2012-02-02,108.4,108.4,108.4,108.4
195,2012-02-03,108.5,108.5,108.5,108.5
196,2012-02-06,108.3,108.3,108.3,108.3
197,2012-02-07,107.9,107.9,107.9,107.9
198,2012-02-08,107.6,107.6,107.6,107.6
199,2012-02-09,107.8,107.8,107.8,107.8
200,2012-02-10,107.5,107.5,107.5,107.5
201,2012-02-13,107.7,107.7,107.7,107.7
202,2012-02-14,107.9,107.9,107.9,107.9
203,2012-02-15,107.8,107.8,107.8,107.8
204,2012-02-16,107.6,107.6,107.6,107.6
205,2012-02-17,106.7,106.7,106.7,106.7
206,2012-02-20,106.5,106.5,106.5,106.5
207,2012-02-21,106.7,106.7,106.7,106.7
208,2012-02-22,107.1,107.1,107.1,107.1
209,2012-02-23,107.3,107.3,107.3,107.3
210,2012-02-24,106.9,106.9,106.9,106.9
211,2012-02-27,106.5,106.5,106.5,106.5
212,2012-02-28,106.9,106.9,106.9,106.9
213,2012-02-29,106.4,106.4,106.4,106.4
214,2012-03-01,105.9,105.9,105.9,105.9
215,2012-03-02,105.8,105.8,105.8,105.8
216,2012-03-05,106.4,106.4,106.4,106.4
217,2012-03-06,106.6,106.6,106.6,106.6
218,2012-03-07,107.0,107.0,107.0,107.0
219,2012-03-08,106.4,106.4,106.4,106.4
220,2012-03-09,106.3,106.3,106.3,106.3
221,2012-03-12,107.0,107.0,107.0,107.0
222,2012-03-13,106.6,106.6,106.6,106.6
223,2012-03-14,105.4,105.4,105.4,105.4
224,2012-03-15,105.1,105.1,105.1,105.1
225,2012-03-16,104.6,104.6,104.6,104.6
226,2012-03-19,104.3,104.3,104.3,104.3
227,2012-03-20,104.2,104.2,104.2,104.2
228,2012-03-21,104.1,104.1,104.1,104.1
229,2012-03-22,105.0,105.0,105.0,105.0
230,2012-03-23,105.0,105.0,105.0,105.0
231,2012-03-26,104.6,104.6,104.6,104.6
232,2012-03-27,104.4,104.4,104.4,104.4
233,2012-03-28,104.7,104.7,104.7,104.7
234,2012-03-29,105.1,105.1,105.1,105.1
235,2012-03-30,104.5,104.5,104.5,104.5
236,2012-04-02,104.0,104.0,104.0,104.0
237,2012-04-03,104.4,104.4,104.4,104.4
238,2012-04-04,104.6,104.6,104.6,104.6
239,2012-04-05,104.9,104.9,104.9,104.9
240,2012-04-06,104.9,104.9,104.9,104.9
241,2012-04-09,104.9,104.9,104.9,104.9
242,2012-04-10,105.6,105.6,105.6,105.6
243,2012-04-11,105.3,105.3,105.3,105.3
244,2012-04-12,105.1,105.1,105.1,105.1
245,2012-04-13,105.4,105.4,105.4,105.4
246,2012-04-16,105.8,105.8,105.8,105.8
247,2012-04-17,105.3,105.3,105.3,105.3
248,2012-04-18,104.8,104.8,104.8,104.8
249,2012-04-19,104.4,104.4,104.4,104.4
250,2012-04-20,103.9,103.9,103.9,103.9
251,2012-04-23,104.3,104.3,104.3,104.3
252,2012-04-24,103.9,103.9,103.9,103.9
253,2012-04-25,104.4,104.4,104.4,104.4
254,2012-04-26,104.0,104.0,104.0,104.0
255,2012-04-27,104.0,104.0,104.0,104.0
256,2012-04-30,104.0,104.0,104.0,104.0
257,2012-05-01,104.7,104.7,104.7,104.7
258,2012-05-02,104.4,104.4,104.4,104.4
259,2012-05-03,104.4,104.4,104.4,104.4
260,2012-05-04,104.5,104.5,104.5,104.5
261,2012-05-07,104.5,104.5,104.5,104.5
262,2012-05-08,105.1,105.1,105.1,105.1
263,2012-05-09,105.0,105.0,105.0,105.0
264,2012-05-10,104.8,104.8,104.8,104.8
265,2012-05-11,105.0,105.0,105.0,105.0
266,2012-05-14,105.2,105.2,105.2,105.2
267,2012-05-15,105.2,105.2,105.2,105.2
268,2012-05-16,105.6,105.6,105.6,105.6
269,2012-05-17,106.0,106.0,106.0,106.0
270,2012-05-18,107.0,107.0,107.0,107.0
271,2012-05-21,106.9,106.9,106.9,106.9
272,2012-05-22,107.1,107.1,107.1,107.1
273,2012-05-23,107.4,107.4,107.4,107.4
274,2012-05-24,107.6,107.6,107.6,107.6
275,2012-05-25,107.5,107.5,107.5,107.5
276,2012-05-28,107.4,107.4,107.4,107.4
277,2012-05-29,107.5,107.5,107.5,107.5
278,2012-05-30,108.0,108.0,108.0,108.0
279,2012-05-31,109.0,109.0,109.0,109.0
280,2012-06-01,110.7,110.7,110.7,110.7
281,2012-06-04,110.7,110.7,110.7,110.7
282,2012-06-05,110.7,110.7,110.7,110.7
283,2012-06-06,109.4,109.4,109.4,109.4
284,2012-06-07,109.0,109.0,109.0,109.0
285,2012-06-08,109.6,109.6,109.6,109.6
286,2012-06-11,108.6,108.6,108.6,108.6
287,2012-06-12,108.4,108.4,108.4,108.4
288,2012-06-13,107.8,107.8,107.8,107.8
289,2012-06-14,108.4,108.4,108.4,108.4
290,2012-06-15,108.9,108.9,108.9,108.9
291,2012-06-18,108.2,108.2,108.2,108.2
292,2012-06-19,108.1,108.1,108.1,108.1
293,2012-06-20,107.6,107.6,107.6,107.6
294,2012-06-21,107.4,107.4,107.4,107.4
295,2012-06-22,107.7,107.7,107.7,107.7
296,2012-06-25,108.2,108.2,108.2,108.2
297,2012-06-26,107.6,107.6,107.6,107.6
298,2012-06-27,107.6,107.6,107.6,107.6
299,2012-06-28,108.1,108.1,108.1,108.1
300,2012-06-29,108.0,108.0,108.0,108.0
301,2012-07-02,107.8,107.8,107.8,107.8
302,2012-07-03,107.8,107.8,107.8,107.8
303,2012-07-04,107.9,107.9,107.9,107.9
304,2012-07-05,108.2,108.2,108.2,108.2
305,2012-07-06,108.3,108.3,108.3,108.3
306,2012-07-09,108.7,108.7,108.7,108.7
307,2012-07-10,108.8,108.8,108.8,108.8
308,2012-07-11,108.7,108.7,108.7,108.7
309,2012-07-12,109.3,109.3,109.3,109.3
310,2012-07-13,109.5,109.5,109.5,109.5
311,2012-07-16,109.0,109.0,109.0,109.0
312,2012-07-17,108.5,108.5,108.5,108.5
313,2012-07-18,108.7,108.7,108.7,108.7
314,2012-07-19,108.5,108.5,108.5,108.5
315,2012-07-20,108.3,108.3,108.3,108.3
316,2012-07-23,109.3,109.3,109.3,109.3
317,2012-07-24,109.2,109.2,109.2,109.2
318,2012-07-25,109.3,109.3,109.3,109.3
319,2012-07-26,109.1,109.1,109.1,109.1
320,2012-07-27,108.3,108.3,108.3,108.3
321,2012-07-30,108.1,108.1,108.1,108.1
322,2012-07-31,108.5,108.5,108.5,108.5
323,2012-08-01,109.1,109.1,109.1,109.1
324,2012-08-02,109.4,109.4,109.4,109.4
325,2012-08-03,109.2,109.2,109.2,109.2
326,2012-08-06,109.6,109.6,109.6,109.6
327,2012-08-07,108.9,108.9,108.9,108.9
328,2012-08-08,108.6,108.6,108.6,108.6
329,2012-08-09,108.5,108.5,108.5,108.5
330,2012-08-10,108.8,108.8,108.8,108.8
331,2012-08-13,108.26,108.26,108.26,108.26
332,2012-08-14,108.21,108.21,108.21,108.21
333,2012-08-15,107.67,107.67,107.67,107.67
334,2012-08-16,107.19,107.19,107.19,107.19
335,2012-08-17,107.37,107.37,107.37,107.37
336,2012-08-20,107.21,107.21,107.21,107.21
337,2012-08-21,107.14,107.14,107.14,107.14
338,2012-08-22,107.26,107.26,107.26,107.26
339,2012-08-23,107.3,107.3,107.3,107.3
340,2012-08-24,107.7,107.7,107.7,107.7
341,2012-08-27,107.7,107.7,107.7,107.7
342,2012-08-28,108.1,108.1,108.1,108.1
343,2012-08-29,108.0,108.0,108.0,108.0
344,2012-08-30,107.7,107.7,107.7,107.7
345,2012-08-31,107.8,107.8,107.8,107.8
346,2012-09-03,107.7,107.7,107.7,107.7
347,2012-09-04,107.9,107.9,107.9,107.9
348,2012-09-05,107.7,107.7,107.7,107.7
349,2012-09-06,107.7,107.7,107.7,107.7
350,2012-09-07,107.3,107.3,107.3,107.3
351,2012-09-10,107.5,107.5,107.5,107.5
352,2012-09-11,107.5,107.5,107.5,107.5
353,2012-09-12,107.2,107.2,107.2,107.2
354,2012-09-13,107.2,107.2,107.2,107.2
355,2012-09-14,106.5,106.5,106.5,106.5
356,2012-09-17,106.2,106.2,106.2,106.2
357,2012-09-18,105.9,105.9,105.9,105.9
358,2012-09-19,106.0,106.0,106.0,106.0
