,Date,Open,High,Low,Close
0,2011-05-06,105.9,105.9,105.9,105.9
1,2011-05-09,106.35,106.35,106.35,106.35
2,2011-05-10,106.29,106.29,106.29,106.29
3,2011-05-11,105.78,105.78,105.78,105.78
4,2011-05-12,106.26,106.26,106.26,106.26
5,2011-05-13,106.2,106.2,106.2,106.2
6,2011-05-16,105.88,105.88,105.88,105.88
7,2011-05-17,106.14,106.14,106.14,106.14
8,2011-05-18,105.78,105.78,105.78,105.78
9,2011-05-19,105.75,105.75,105.75,105.75
10,2011-05-20,106.3,106.3,106.3,106.3
11,2011-05-23,106.81,106.81,106.81,106.81
12,2011-05-24,106.57,106.57,106.57,106.57
13,2011-05-25,107.0,107.0,107.0,107.0
14,2011-05-26,107.58,107.58,107.58,107.58
15,2011-05-27,107.66,107.66,107.66,107.66
16,2011-05-30,107.66,107.66,107.66,107.66
17,2011-05-31,107.71,107.71,107.71,107.71
18,2011-06-01,108.25,108.25,108.25,108.25
19,2011-06-02,107.87,107.87,107.87,107.87
20,2011-06-03,107.6,107.6,107.6,107.6
21,2011-06-06,107.42,107.42,107.42,107.42
22,2011-06-07,106.29,106.29,106.29,106.29
23,2011-06-08,107.07,107.07,107.07,107.07
24,2011-06-09,106.87,106.87,106.87,106.87
25,2011-06-10,107.51,107.51,107.51,107.51
26,2011-06-13,107.17,107.17,107.17,107.17
27,2011-06-14,106.76,106.76,106.76,106.76
28,2011-06-15,107.01,107.01,107.01,107.01
29,2011-06-16,107.86,107.86,107.86,107.86
30,2011-06-17,107.48,107.48,107.48,107.48
31,2011-06-20,107.18,107.18,107.18,107.18
32,2011-06-21,106.77,106.77,106.77,106.77
33,2011-06-22,106.83,106.83,106.83,106.83
34,2011-06-23,107.27,107.27,107.27,107.27
35,2011-06-24,107.64,107.64,107.64,107.64
36,2011-06-27,107.62,107.62,107.62,107.62
37,2011-06-28,106.21,106.21,106.21,106.21
38,2011-06-29,105.56,105.56,105.56,105.56
39,2011-06-30,105.31,105.31,105.31,105.31
40,2011-07-01,105.23,105.23,105.23,105.23
41,2011-07-04,105.53,105.53,105.53,105.53
42,2011-07-05,105.75,105.75,105.75,105.75
43,2011-07-06,106.43,106.43,106.43,106.43
44,2011-07-07,105.9,105.9,105.9,105.9
45,2011-07-08,107.11,107.11,107.11,107.11
46,2011-07-11,108.06,108.06,108.06,108.06
47,2011-07-12,108.19,108.19,108.19,108.19
48,2011-07-13,107.35,107.35,107.35,107.35
49,2011-07-14,107.61,107.61,107.61,107.61
50,2011-07-15,108.09,108.09,108.09,108.09
51,2011-07-18,108.66,108.66,108.66,108.66
52,2011-07-19,108.43,108.43,108.43,108.43
53,2011-07-20,108.25,108.25,108.25,108.25
54,2011-07-21,107.25,107.25,107.25,107.25
55,2011-07-22,108.27,108.27,108.27,108.27
56,2011-07-25,109.23,109.23,109.23,109.23
57,2011-07-26,108.73,108.73,108.73,108.73
58,2011-07-27,109.26,109.26,109.26,109.26
59,2011-07-28,109.06,109.06,109.06,109.06
60,2011-07-29,110.37,110.37,110.37,110.37
61,2011-08-01,110.64,110.64,110.64,110.64
62,2011-08-02,110.71,110.71,110.71,110.71
