,Date,Open,High,Low,Close
0,2011-05-06,1.56,1.56,1.56,1.56
1,2011-05-09,1.57,1.57,1.57,1.57
2,2011-05-10,1.58,1.58,1.58,1.58
3,2011-05-11,1.57,1.57,1.57,1.57
4,2011-05-12,1.55,1.55,1.55,1.55
5,2011-05-13,1.56,1.56,1.56,1.56
6,2011-05-16,1.54,1.54,1.54,1.54
7,2011-05-17,1.54,1.54,1.54,1.54
8,2011-05-18,1.56,1.56,1.56,1.56
9,2011-05-19,1.56,1.56,1.56,1.56
10,2011-05-20,1.56,1.56,1.56,1.56
11,2011-05-23,1.53,1.53,1.53,1.53
12,2011-05-24,1.53,1.53,1.53,1.53
13,2011-05-25,1.53,1.53,1.53,1.53
14,2011-05-26,1.54,1.54,1.54,1.54
15,2011-05-27,1.54,1.54,1.54,1.54
16,2011-05-30,1.54,1.54,1.54,1.54
17,2011-05-31,1.56,1.56,1.56,1.56
18,2011-06-01,1.59,1.59,1.59,1.59
19,2011-06-02,1.57,1.57,1.57,1.57
20,2011-06-03,1.57,1.57,1.57,1.57
21,2011-06-06,1.56,1.56,1.56,1.56
22,2011-06-07,1.55,1.55,1.55,1.55
23,2011-06-08,1.55,1.55,1.55,1.55
24,2011-06-09,1.54,1.54,1.54,1.54
25,2011-06-10,1.55,1.55,1.55,1.55
26,2011-06-13,1.54,1.54,1.54,1.54
27,2011-06-14,1.53,1.53,1.53,1.53
28,2011-06-15,1.54,1.54,1.54,1.54
29,2011-06-16,1.53,1.53,1.53,1.53
30,2011-06-17,1.51,1.51,1.51,1.51
31,2011-06-20,1.51,1.51,1.51,1.51
32,2011-06-21,1.52,1.52,1.52,1.52
33,2011-06-22,1.54,1.54,1.54,1.54
34,2011-06-23,1.54,1.54,1.54,1.54
35,2011-06-24,1.55,1.55,1.55,1.55
36,2011-06-27,1.55,1.55,1.55,1.55
37,2011-06-28,1.56,1.56,1.56,1.56
38,2011-06-29,1.58,1.58,1.58,1.58
39,2011-06-30,1.6,1.6,1.6,1.6
40,2011-07-01,1.61,1.61,1.61,1.61
41,2011-07-04,1.62,1.62,1.62,1.62
42,2011-07-05,1.62,1.62,1.62,1.62
43,2011-07-06,1.62,1.62,1.62,1.62
44,2011-07-07,1.64,1.64,1.64,1.64
45,2011-07-08,1.65,1.65,1.65,1.65
46,2011-07-11,1.61,1.61,1.61,1.61
47,2011-07-12,1.58,1.58,1.58,1.58
48,2011-07-13,1.58,1.58,1.58,1.58
49,2011-07-14,1.59,1.59,1.59,1.59
50,2011-07-15,1.58,1.58,1.58,1.58
51,2011-07-18,1.57,1.57,1.57,1.57
52,2011-07-19,1.57,1.57,1.57,1.57
53,2011-07-20,1.59,1.59,1.59,1.59
54,2011-07-21,1.57,1.57,1.57,1.57
55,2011-07-22,1.59,1.59,1.59,1.59
56,2011-07-25,1.58,1.58,1.58,1.58
57,2011-07-26,1.58,1.58,1.58,1.58
58,2011-07-27,1.58,1.58,1.58,1.58
59,2011-07-28,1.56,1.56,1.56,1.56
60,2011-07-29,1.56,1.56,1.56,1.56
61,2011-08-01,1.57,1.57,1.57,1.57
62,2011-08-02,1.55,1.55,1.55,1.55
63,2011-08-03,1.51,1.51,1.51,1.51
64,2011-08-04,1.5,1.5,1.5,1.5
65,2011-08-05,1.43,1.43,1.43,1.43
66,2011-08-08,1.39,1.39,1.39,1.39
67,2011-08-09,1.33,1.33,1.33,1.33
68,2011-08-10,1.39,1.39,1.39,1.39
69,2011-08-11,1.37,1.37,1.37,1.37
70,2011-08-12,1.37,1.37,1.37,1.37
71,2011-08-15,1.39,1.39,1.39,1.39
72,2011-08-16,1.41,1.41,1.41,1.41
73,2011-08-17,1.4,1.4,1.4,1.4
74,2011-08-18,1.38,1.38,1.38,1.38
75,2011-08-19,1.32,1.32,1.32,1.32
76,2011-08-22,1.32,1.32,1.32,1.32
77,2011-08-23,1.34,1.34,1.34,1.34
78,2011-08-24,1.34,1.34,1.34,1.34
79,2011-08-25,1.36,1.36,1.36,1.36
80,2011-08-26,1.34,1.34,1.34,1.34
81,2011-08-29,1.34,1.34,1.34,1.34
82,2011-08-30,1.39,1.39,1.39,1.39
83,2011-08-31,1.43,1.43,1.43,1.43
84,2011-09-01,1.45,1.45,1.45,1.45
85,2011-09-02,1.43,1.43,1.43,1.43
86,2011-09-05,1.4,1.4,1.4,1.4
87,2011-09-06,1.4,1.4,1.4,1.4
88,2011-09-07,1.43,1.43,1.43,1.43
89,2011-09-08,1.44,1.44,1.44,1.44
90,2011-09-09,1.42,1.42,1.42,1.42
91,2011-09-12,1.37,1.37,1.37,1.37
92,2011-09-13,1.37,1.37,1.37,1.37
93,2011-09-14,1.38,1.38,1.38,1.38
94,2011-09-15,1.39,1.39,1.39,1.39
95,2011-09-16,1.41,1.41,1.41,1.41
96,2011-09-19,1.39,1.39,1.39,1.39
97,2011-09-20,1.39,1.39,1.39,1.39
98,2011-09-21,1.38,1.38,1.38,1.38
99,2011-09-22,1.32,1.32,1.32,1.32
100,2011-09-23,1.28,1.28,1.28,1.28
101,2011-09-26,1.27,1.27,1.27,1.27
102,2011-09-27,1.32,1.32,1.32,1.32
103,2011-09-28,1.33,1.33,1.33,1.33
104,2011-09-29,1.32,1.32,1.32,1.32
105,2011-09-30,1.3,1.3,1.3,1.3
106,2011-10-03,1.27,1.27,1.27,1.27
107,2011-10-04,1.24,1.24,1.24,1.24
108,2011-10-05,1.24,1.24,1.24,1.24
109,2011-10-06,1.27,1.27,1.27,1.27
110,2011-10-07,1.31,1.31,1.31,1.31
111,2011-10-10,1.3,1.3,1.3,1.3
112,2011-10-11,1.33,1.33,1.33,1.33
113,2011-10-12,1.34,1.34,1.34,1.34
114,2011-10-13,1.36,1.36,1.36,1.36
115,2011-10-14,1.36,1.36,1.36,1.36
116,2011-10-17,1.38,1.38,1.38,1.38
117,2011-10-18,1.34,1.34,1.34,1.34
118,2011-10-19,1.35,1.35,1.35,1.35
119,2011-10-20,1.33,1.33,1.33,1.33
120,2011-10-21,1.32,1.32,1.32,1.32
121,2011-10-24,1.35,1.35,1.35,1.35
122,2011-10-25,1.38,1.38,1.38,1.38
123,2011-10-26,1.38,1.38,1.38,1.38
124,2011-10-27,1.41,1.41,1.41,1.41
125,2011-10-28,1.43,1.43,1.43,1.43
126,2011-10-31,1.44,1.44,1.44,1.44
127,2011-11-01,1.39,1.39,1.39,1.39
128,2011-11-02,1.39,1.39,1.39,1.39
129,2011-11-03,1.39,1.39,1.39,1.39
130,2011-11-04,1.42,1.42,1.42,1.42
131,2011-11-07,1.41,1.41,1.41,1.41
132,2011-11-08,1.41,1.41,1.41,1.41
133,2011-11-09,1.4,1.4,1.4,1.4
134,2011-11-10,1.38,1.38,1.38,1.38
135,2011-11-11,1.39,1.39,1.39,1.39
136,2011-11-14,1.41,1.41,1.41,1.41
137,2011-11-15,1.4,1.4,1.4,1.4
138,2011-11-16,1.4,1.4,1.4,1.4
139,2011-11-17,1.39,1.39,1.39,1.39
140,2011-11-18,1.35,1.35,1.35,1.35
141,2011-11-21,1.34,1.34,1.34,1.34
142,2011-11-22,1.34,1.34,1.34,1.34
143,2011-11-23,1.32,1.32,1.32,1.32
144,2011-11-24,1.32,1.32,1.32,1.32
145,2011-11-25,1.3,1.3,1.3,1.3
146,2011-11-28,1.34,1.34,1.34,1.34
147,2011-11-29,1.34,1.34,1.34,1.34
148,2011-11-30,1.34,1.34,1.34,1.34
149,2011-12-01,1.4,1.4,1.4,1.4
150,2011-12-02,1.4,1.4,1.4,1.4
151,2011-12-05,1.42,1.42,1.42,1.42
152,2011-12-06,1.42,1.42,1.42,1.42
153,2011-12-07,1.42,1.42,1.42,1.42
154,2011-12-08,1.4,1.4,1.4,1.4
155,2011-12-09,1.37,1.37,1.37,1.37
156,2011-12-12,1.39,1.39,1.39,1.39
157,2011-12-13,1.36,1.36,1.36,1.36
158,2011-12-14,1.36,1.36,1.36,1.36
159,2011-12-15,1.33,1.33,1.33,1.33
160,2011-12-16,1.34,1.34,1.34,1.34
161,2011-12-19,1.33,1.33,1.33,1.33
162,2011-12-20,1.31,1.31,1.31,1.31
163,2011-12-21,1.35,1.35,1.35,1.35
164,2011-12-22,1.34,1.34,1.34,1.34
165,2011-12-23,1.36,1.36,1.36,1.36
166,2011-12-26,1.36,1.36,1.36,1.36
167,2011-12-27,1.36,1.36,1.36,1.36
168,2011-12-28,1.36,1.36,1.36,1.36
169,2011-12-29,1.37,1.37,1.37,1.37
170,2011-12-30,1.37,1.37,1.37,1.37
171,2012-01-02,1.37,1.37,1.37,1.37
172,2012-01-03,1.38,1.38,1.38,1.38
173,2012-01-04,1.39,1.39,1.39,1.39
174,2012-01-05,1.39,1.39,1.39,1.39
175,2012-01-06,1.39,1.39,1.39,1.39
176,2012-01-09,1.39,1.39,1.39,1.39
177,2012-01-10,1.42,1.42,1.42,1.42
178,2012-01-11,1.42,1.42,1.42,1.42
179,2012-01-12,1.44,1.44,1.44,1.44
180,2012-01-13,1.45,1.45,1.45,1.45
181,2012-01-16,1.43,1.43,1.43,1.43
182,2012-01-17,1.46,1.46,1.46,1.46
183,2012-01-18,1.47,1.47,1.47,1.47
184,2012-01-19,1.49,1.49,1.49,1.49
185,2012-01-20,1.49,1.49,1.49,1.49
186,2012-01-23,1.49,1.49,1.49,1.49
187,2012-01-24,1.49,1.49,1.49,1.49
188,2012-01-25,1.49,1.49,1.49,1.49
189,2012-01-26,1.51,1.51,1.51,1.51
190,2012-01-27,1.51,1.51,1.51,1.51
191,2012-01-30,1.49,1.49,1.49,1.49
192,2012-01-31,1.49,1.49,1.49,1.49
193,2012-02-01,1.5,1.5,1.5,1.5
194,2012-02-02,1.52,1.52,1.52,1.52
195,2012-02-03,1.52,1.52,1.52,1.52
196,2012-02-06,1.52,1.52,1.52,1.52
197,2012-02-07,1.52,1.52,1.52,1.52
198,2012-02-08,1.53,1.53,1.53,1.53
199,2012-02-09,1.52,1.52,1.52,1.52
200,2012-02-10,1.51,1.51,1.51,1.51
201,2012-02-13,1.52,1.52,1.52,1.52
202,2012-02-14,1.53,1.53,1.53,1.53
203,2012-02-15,1.54,1.54,1.54,1.54
204,2012-02-16,1.52,1.52,1.52,1.52
205,2012-02-17,1.54,1.54,1.54,1.54
206,2012-02-20,1.55,1.55,1.55,1.55
207,2012-02-21,1.54,1.54,1.54,1.54
208,2012-02-22,1.55,1.55,1.55,1.55
209,2012-02-23,1.54,1.54,1.54,1.54
210,2012-02-24,1.54,1.54,1.54,1.54
211,2012-02-27,1.53,1.53,1.53,1.53
212,2012-02-28,1.54,1.54,1.54,1.54
213,2012-02-29,1.54,1.54,1.54,1.54
214,2012-03-01,1.53,1.53,1.53,1.53
215,2012-03-02,1.54,1.54,1.54,1.54
216,2012-03-05,1.54,1.54,1.54,1.54
217,2012-03-06,1.52,1.52,1.52,1.52
218,2012-03-07,1.51,1.51,1.51,1.51
219,2012-03-08,1.51,1.51,1.51,1.51
220,2012-03-09,1.53,1.53,1.53,1.53
221,2012-03-12,1.54,1.54,1.54,1.54
222,2012-03-13,1.55,1.55,1.55,1.55
223,2012-03-14,1.56,1.56,1.56,1.56
224,2012-03-15,1.56,1.56,1.56,1.56
225,2012-03-16,1.55,1.55,1.55,1.55
226,2012-03-19,1.54,1.54,1.54,1.54
227,2012-03-20,1.53,1.53,1.53,1.53
228,2012-03-21,1.52,1.52,1.52,1.52
229,2012-03-22,1.52,1.52,1.52,1.52
230,2012-03-23,1.51,1.51,1.51,1.51
231,2012-03-26,1.5,1.5,1.5,1.5
232,2012-03-27,1.53,1.53,1.53,1.53
233,2012-03-28,1.52,1.52,1.52,1.52
234,2012-03-29,1.51,1.51,1.51,1.51
235,2012-03-30,1.5,1.5,1.5,1.5
236,2012-04-02,1.51,1.51,1.51,1.51
237,2012-04-03,1.53,1.53,1.53,1.53
238,2012-04-04,1.51,1.51,1.51,1.51
239,2012-04-05,1.51,1.51,1.51,1.51
240,2012-04-06,1.51,1.51,1.51,1.51
241,2012-04-09,1.51,1.51,1.51,1.51
242,2012-04-10,1.5,1.5,1.5,1.5
243,2012-04-11,1.48,1.48,1.48,1.48
244,2012-04-12,1.48,1.48,1.48,1.48
245,2012-04-13,1.5,1.5,1.5,1.5
246,2012-04-16,1.5,1.5,1.5,1.5
247,2012-04-17,1.49,1.49,1.49,1.49
248,2012-04-18,1.49,1.49,1.49,1.49
249,2012-04-19,1.48,1.48,1.48,1.48
250,2012-04-20,1.47,1.47,1.47,1.47
251,2012-04-23,1.47,1.47,1.47,1.47
252,2012-04-24,1.45,1.45,1.45,1.45
253,2012-04-25,1.47,1.47,1.47,1.47
254,2012-04-26,1.46,1.46,1.46,1.46
255,2012-04-27,1.46,1.46,1.46,1.46
256,2012-04-30,1.47,1.47,1.47,1.47
257,2012-05-01,1.47,1.47,1.47,1.47
258,2012-05-02,1.48,1.48,1.48,1.48
259,2012-05-03,1.48,1.48,1.48,1.48
260,2012-05-04,1.46,1.46,1.46,1.46
261,2012-05-07,1.46,1.46,1.46,1.46
262,2012-05-08,1.44,1.44,1.44,1.44
263,2012-05-09,1.42,1.42,1.42,1.42
264,2012-05-10,1.41,1.41,1.41,1.41
265,2012-05-11,1.41,1.41,1.41,1.41
266,2012-05-14,1.4,1.4,1.4,1.4
267,2012-05-15,1.39,1.39,1.39,1.39
268,2012-05-16,1.36,1.36,1.36,1.36
269,2012-05-17,1.36,1.36,1.36,1.36
270,2012-05-18,1.35,1.35,1.35,1.35
271,2012-05-21,1.35,1.35,1.35,1.35
272,2012-05-22,1.37,1.37,1.37,1.37
273,2012-05-23,1.34,1.34,1.34,1.34
274,2012-05-24,1.35,1.35,1.35,1.35
275,2012-05-25,1.34,1.34,1.34,1.34
276,2012-05-28,1.35,1.35,1.35,1.35
277,2012-05-29,1.37,1.37,1.37,1.37
