,Date,Open,High,Low,Close
0,2011-05-06,89.14,89.14,89.14,89.14
1,2011-05-09,89.76,89.76,89.76,89.76
2,2011-05-10,90.61,90.61,90.61,90.61
3,2011-05-11,90.84,90.84,90.84,90.84
4,2011-05-12,90.13,90.13,90.13,90.13
5,2011-05-13,91.13,91.13,91.13,91.13
6,2011-05-16,89.99,89.99,89.99,89.99
7,2011-05-17,89.38,89.38,89.38,89.38
8,2011-05-18,89.66,89.66,89.66,89.66
9,2011-05-19,90.28,90.28,90.28,90.28
10,2011-05-20,90.66,90.66,90.66,90.66
11,2011-05-23,89.16,89.16,89.16,89.16
12,2011-05-24,89.01,89.01,89.01,89.01
13,2011-05-25,88.59,88.59,88.59,88.59
14,2011-05-26,88.97,88.97,88.97,88.97
15,2011-05-27,89.43,89.43,89.43,89.43
16,2011-05-30,89.43,89.43,89.43,89.43
17,2011-05-31,90.02,90.02,90.02,90.02
18,2011-06-01,90.72,90.72,90.72,90.72
19,2011-06-02,89.96,89.96,89.96,89.96
20,2011-06-03,89.96,89.96,89.96,89.96
21,2011-06-06,89.33,89.33,89.33,89.33
22,2011-06-07,89.21,89.21,89.21,89.21
23,2011-06-08,88.74,88.74,88.74,88.74
24,2011-06-09,88.28,88.28,88.28,88.28
25,2011-06-10,88.73,88.73,88.73,88.73
26,2011-06-13,87.45,87.45,87.45,87.45
27,2011-06-14,87.12,87.12,87.12,87.12
28,2011-06-15,88.15,88.15,88.15,88.15
29,2011-06-16,86.53,86.53,86.53,86.53
30,2011-06-17,86.56,86.56,86.56,86.56
31,2011-06-20,86.4,86.4,86.4,86.4
32,2011-06-21,87.26,87.26,87.26,87.26
33,2011-06-22,88.61,88.61,88.61,88.61
34,2011-06-23,88.61,88.61,88.61,88.61
35,2011-06-24,88.59,88.59,88.59,88.59
36,2011-06-27,88.3,88.3,88.3,88.3
37,2011-06-28,88.8,88.8,88.8,88.8
38,2011-06-29,90.06,90.06,90.06,90.06
39,2011-06-30,90.44,90.44,90.44,90.44
40,2011-07-01,91.17,91.17,91.17,91.17
41,2011-07-04,91.86,91.86,91.86,91.86
42,2011-07-05,91.84,91.84,91.84,91.84
43,2011-07-06,92.04,92.04,92.04,92.04
44,2011-07-07,92.51,92.51,92.51,92.51
45,2011-07-08,93.09,93.09,93.09,93.09
46,2011-07-11,92.11,92.11,92.11,92.11
47,2011-07-12,90.41,90.41,90.41,90.41
48,2011-07-13,90.38,90.38,90.38,90.38
49,2011-07-14,89.97,89.97,89.97,89.97
50,2011-07-15,89.16,89.16,89.16,89.16
51,2011-07-18,88.62,88.62,88.62,88.62
52,2011-07-19,88.48,88.48,88.48,88.48
53,2011-07-20,89.57,89.57,89.57,89.57
54,2011-07-21,89.27,89.27,89.27,89.27
55,2011-07-22,90.0,90.0,90.0,90.0
56,2011-07-25,90.62,90.62,90.62,90.62
57,2011-07-26,90.21,90.21,90.21,90.21
58,2011-07-27,90.06,90.06,90.06,90.06
59,2011-07-28,88.67,88.67,88.67,88.67
60,2011-07-29,88.54,88.54,88.54,88.54
61,2011-08-01,88.99,88.99,88.99,88.99
62,2011-08-02,87.8,87.8,87.8,87.8
63,2011-08-03,85.74,85.74,85.74,85.74
64,2011-08-04,84.95,84.95,84.95,84.95
65,2011-08-05,81.61,81.61,81.61,81.61
66,2011-08-08,79.97,79.97,79.97,79.97
67,2011-08-09,77.32,77.32,77.32,77.32
68,2011-08-10,80.7,80.7,80.7,80.7
69,2011-08-11,78.54,78.54,78.54,78.54
70,2011-08-12,80.56,80.56,80.56,80.56
71,2011-08-15,81.54,81.54,81.54,81.54
72,2011-08-16,81.13,81.13,81.13,81.13
73,2011-08-17,80.79,80.79,80.79,80.79
74,2011-08-18,79.92,79.92,79.92,79.92
75,2011-08-19,76.46,76.46,76.46,76.46
76,2011-08-22,76.87,76.87,76.87,76.87
77,2011-08-23,77.12,77.12,77.12,77.12
78,2011-08-24,78.39,78.39,78.39,78.39
79,2011-08-25,80.02,80.02,80.02,80.02
80,2011-08-26,79.23,79.23,79.23,79.23
81,2011-08-29,79.23,79.23,79.23,79.23
82,2011-08-30,82.16,82.16,82.16,82.16
83,2011-08-31,83.43,83.43,83.43,83.43
84,2011-09-01,83.74,83.74,83.74,83.74
85,2011-09-02,83.01,83.01,83.01,83.01
86,2011-09-05,81.06,81.06,81.06,81.06
87,2011-09-06,80.79,80.79,80.79,80.79
88,2011-09-07,82.31,82.31,82.31,82.31
89,2011-09-08,83.75,83.75,83.75,83.75
90,2011-09-09,83.11,83.11,83.11,83.11
91,2011-09-12,80.85,80.85,80.85,80.85
92,2011-09-13,81.09,81.09,81.09,81.09
93,2011-09-14,82.45,82.45,82.45,82.45
94,2011-09-15,83.72,83.72,83.72,83.72
95,2011-09-16,84.14,84.14,84.14,84.14
96,2011-09-19,83.86,83.86,83.86,83.86
97,2011-09-20,84.19,84.19,84.19,84.19
98,2011-09-21,84.17,84.17,84.17,84.17
99,2011-09-22,82.07,82.07,82.07,82.07
100,2011-09-23,80.16,80.16,80.16,80.16
101,2011-09-26,80.81,80.81,80.81,80.81
102,2011-09-27,82.27,82.27,82.27,82.27
103,2011-09-28,82.79,82.79,82.79,82.79
104,2011-09-29,81.5,81.5,81.5,81.5
105,2011-09-30,80.63,80.63,80.63,80.63
106,2011-10-03,79.11,79.11,79.11,79.11
107,2011-10-04,77.56,77.56,77.56,77.56
108,2011-10-05,78.7,78.7,78.7,78.7
109,2011-10-06,80.06,80.06,80.06,80.06
110,2011-10-07,80.85,80.85,80.85,80.85
111,2011-10-10,81.18,81.18,81.18,81.18
112,2011-10-11,82.19,82.19,82.19,82.19
113,2011-10-12,82.88,82.88,82.88,82.88
114,2011-10-13,83.35,83.35,83.35,83.35
115,2011-10-14,83.8,83.8,83.8,83.8
116,2011-10-17,84.62,84.62,84.62,84.62
117,2011-10-18,83.46,83.46,83.46,83.46
118,2011-10-19,84.42,84.42,84.42,84.42
119,2011-10-20,83.41,83.41,83.41,83.41
