,Date,Open,High,Low,Close
0,2011-05-06,418.3,418.3,418.3,418.3
1,2011-05-09,421.1,421.1,421.1,421.1
2,2011-05-10,421.7,421.7,421.7,421.7
3,2011-05-11,421.5,421.5,421.5,421.5
4,2011-05-12,413.7,413.7,413.7,413.7
5,2011-05-13,423.7,423.7,423.7,423.7
6,2011-05-16,419.9,419.9,419.9,419.9
7,2011-05-17,416.9,416.9,416.9,416.9
8,2011-05-18,420.1,420.1,420.1,420.1
9,2011-05-19,421.6,421.6,421.6,421.6
10,2011-05-20,423.2,423.2,423.2,423.2
11,2011-05-23,414.3,414.3,414.3,414.3
12,2011-05-24,415.0,415.0,415.0,415.0
13,2011-05-25,412.6,412.6,412.6,412.6
14,2011-05-26,413.2,413.2,413.2,413.2
15,2011-05-27,414.2,414.2,414.2,414.2
16,2011-05-30,414.2,414.2,414.2,414.2
17,2011-05-31,420.3,420.3,420.3,420.3
18,2011-06-01,424.3,424.3,424.3,424.3
19,2011-06-02,419.3,419.3,419.3,419.3
20,2011-06-03,423.2,423.2,423.2,423.2
21,2011-06-06,422.8,422.8,422.8,422.8
22,2011-06-07,420.8,420.8,420.8,420.8
23,2011-06-08,419.6,419.6,419.6,419.6
24,2011-06-09,410.7,410.7,410.7,410.7
25,2011-06-10,417.4,417.4,417.4,417.4
26,2011-06-13,412.0,412.0,412.0,412.0
27,2011-06-14,408.2,408.2,408.2,408.2
28,2011-06-15,413.5,413.5,413.5,413.5
29,2011-06-16,409.2,409.2,409.2,409.2
30,2011-06-17,400.5,400.5,400.5,400.5
31,2011-06-20,403.6,403.6,403.6,403.6
32,2011-06-21,406.6,406.6,406.6,406.6
33,2011-06-22,408.7,408.7,408.7,408.7
34,2011-06-23,408.5,408.5,408.5,408.5
35,2011-06-24,407.8,407.8,407.8,407.8
36,2011-06-27,405.8,405.8,405.8,405.8
37,2011-06-28,408.2,408.2,408.2,408.2
38,2011-06-29,411.0,411.0,411.0,411.0
39,2011-06-30,419.5,419.5,419.5,419.5
40,2011-07-01,419.6,419.6,419.6,419.6
41,2011-07-04,427.5,427.5,427.5,427.5
42,2011-07-05,429.1,429.1,429.1,429.1
43,2011-07-06,429.3,429.3,429.3,429.3
44,2011-07-07,432.1,432.1,432.1,432.1
45,2011-07-08,434.6,434.6,434.6,434.6
46,2011-07-11,427.6,427.6,427.6,427.6
47,2011-07-12,413.6,413.6,413.6,413.6
48,2011-07-13,416.4,416.4,416.4,416.4
49,2011-07-14,419.4,419.4,419.4,419.4
50,2011-07-15,413.6,413.6,413.6,413.6
51,2011-07-18,414.0,414.0,414.0,414.0
52,2011-07-19,410.9,410.9,410.9,410.9
53,2011-07-20,414.8,414.8,414.8,414.8
54,2011-07-21,415.1,415.1,415.1,415.1
55,2011-07-22,424.0,424.0,424.0,424.0
56,2011-07-25,424.8,424.8,424.8,424.8
57,2011-07-26,425.2,425.2,425.2,425.2
58,2011-07-27,420.8,420.8,420.8,420.8
59,2011-07-28,410.2,410.2,410.2,410.2
60,2011-07-29,412.5,412.5,412.5,412.5
61,2011-08-01,414.7,414.7,414.7,414.7
62,2011-08-02,404.7,404.7,404.7,404.7
63,2011-08-03,393.3,393.3,393.3,393.3
64,2011-08-04,386.1,386.1,386.1,386.1
65,2011-08-05,356.4,356.4,356.4,356.4
66,2011-08-08,349.4,349.4,349.4,349.4
67,2011-08-09,332.2,332.2,332.2,332.2
68,2011-08-10,359.1,359.1,359.1,359.1
69,2011-08-11,354.9,354.9,354.9,354.9
70,2011-08-12,355.5,355.5,355.5,355.5
71,2011-08-15,368.4,368.4,368.4,368.4
72,2011-08-16,367.0,367.0,367.0,367.0
73,2011-08-17,360.7,360.7,360.7,360.7
74,2011-08-18,357.4,357.4,357.4,357.4
75,2011-08-19,340.4,340.4,340.4,340.4
76,2011-08-22,340.8,340.8,340.8,340.8
77,2011-08-23,345.6,345.6,345.6,345.6
78,2011-08-24,345.5,345.5,345.5,345.5
79,2011-08-25,351.3,351.3,351.3,351.3
80,2011-08-26,351.4,351.4,351.4,351.4
81,2011-08-29,351.4,351.4,351.4,351.4
82,2011-08-30,364.4,364.4,364.4,364.4
83,2011-08-31,367.6,367.6,367.6,367.6
84,2011-09-01,372.0,372.0,372.0,372.0
85,2011-09-02,364.6,364.6,364.6,364.6
86,2011-09-05,358.7,358.7,358.7,358.7
87,2011-09-06,354.0,354.0,354.0,354.0
88,2011-09-07,359.1,359.1,359.1,359.1
89,2011-09-08,366.6,366.6,366.6,366.6
90,2011-09-09,355.7,355.7,355.7,355.7
91,2011-09-12,347.5,347.5,347.5,347.5
92,2011-09-13,348.6,348.6,348.6,348.6
93,2011-09-14,350.7,350.7,350.7,350.7
94,2011-09-15,358.4,358.4,358.4,358.4
95,2011-09-16,359.1,359.1,359.1,359.1
96,2011-09-19,354.6,354.6,354.6,354.6
97,2011-09-20,354.5,354.5,354.5,354.5
98,2011-09-21,360.1,360.1,360.1,360.1
99,2011-09-22,347.2,347.2,347.2,347.2
100,2011-09-23,344.1,344.1,344.1,344.1
101,2011-09-26,341.4,341.4,341.4,341.4
102,2011-09-27,346.3,346.3,346.3,346.3
103,2011-09-28,351.6,351.6,351.6,351.6
104,2011-09-29,349.1,349.1,349.1,349.1
105,2011-09-30,343.9,343.9,343.9,343.9
106,2011-10-03,335.0,335.0,335.0,335.0
107,2011-10-04,330.0,330.0,330.0,330.0
108,2011-10-05,332.0,332.0,332.0,332.0
109,2011-10-06,340.9,340.9,340.9,340.9
110,2011-10-07,346.7,346.7,346.7,346.7
111,2011-10-10,348.5,348.5,348.5,348.5
112,2011-10-11,352.4,352.4,352.4,352.4
113,2011-10-12,358.0,358.0,358.0,358.0
114,2011-10-13,361.1,361.1,361.1,361.1
115,2011-10-14,360.8,360.8,360.8,360.8
116,2011-10-17,367.8,367.8,367.8,367.8
117,2011-10-18,357.1,357.1,357.1,357.1
118,2011-10-19,360.8,360.8,360.8,360.8
119,2011-10-20,355.0,355.0,355.0,355.0
120,2011-10-21,357.3,357.3,357.3,357.3
121,2011-10-24,359.6,359.6,359.6,359.6
122,2011-10-25,366.7,366.7,366.7,366.7
123,2011-10-26,361.4,361.4,361.4,361.4
124,2011-10-27,370.8,370.8,370.8,370.8
125,2011-10-28,376.5,376.5,376.5,376.5
126,2011-10-31,374.6,374.6,374.6,374.6
127,2011-11-01,361.4,361.4,361.4,361.4
128,2011-11-02,356.4,356.4,356.4,356.4
129,2011-11-03,361.9,361.9,361.9,361.9
130,2011-11-04,366.3,366.3,366.3,366.3
131,2011-11-07,364.8,364.8,364.8,364.8
132,2011-11-08,364.2,364.2,364.2,364.2
133,2011-11-09,365.7,365.7,365.7,365.7
134,2011-11-10,359.5,359.5,359.5,359.5
135,2011-11-11,358.8,358.8,358.8,358.8
136,2011-11-14,365.1,365.1,365.1,365.1
137,2011-11-15,363.1,363.1,363.1,363.1
138,2011-11-16,362.2,362.2,362.2,362.2
139,2011-11-17,358.2,358.2,358.2,358.2
140,2011-11-18,355.9,355.9,355.9,355.9
141,2011-11-21,351.0,351.0,351.0,351.0
142,2011-11-22,343.9,343.9,343.9,343.9
143,2011-11-23,340.1,340.1,340.1,340.1
144,2011-11-24,338.9,338.9,338.9,338.9
145,2011-11-25,335.1,335.1,335.1,335.1
146,2011-11-28,345.7,345.7,345.7,345.7
147,2011-11-29,349.8,349.8,349.8,349.8
148,2011-11-30,346.0,346.0,346.0,346.0
149,2011-12-01,356.2,356.2,356.2,356.2
150,2011-12-02,358.4,358.4,358.4,358.4
151,2011-12-05,362.9,362.9,362.9,362.9
152,2011-12-06,359.5,359.5,359.5,359.5
153,2011-12-07,362.9,362.9,362.9,362.9
