,Date,Open,High,Low,Close
0,2011-05-06,252.93,252.93,252.93,252.93
1,2011-05-09,254.3,254.3,254.3,254.3
2,2011-05-10,255.05,255.05,255.05,255.05
3,2011-05-11,254.85,254.85,254.85,254.85
4,2011-05-12,254.21,254.21,254.21,254.21
5,2011-05-13,254.28,254.28,254.28,254.28
6,2011-05-16,254.52,254.52,254.52,254.52
7,2011-05-17,253.32,253.32,253.32,253.32
8,2011-05-18,252.72,252.72,252.72,252.72
9,2011-05-19,253.49,253.49,253.49,253.49
10,2011-05-20,254.12,254.12,254.12,254.12
11,2011-05-23,253.89,253.89,253.89,253.89
12,2011-05-24,243.66,243.66,243.66,243.66
13,2011-05-25,252.62,252.62,252.62,252.62
14,2011-05-26,253.62,253.62,253.62,253.62
15,2011-05-27,254.36,254.36,254.36,254.36
16,2011-05-30,254.36,254.36,254.36,254.36
17,2011-05-31,255.7,255.7,255.7,255.7
18,2011-06-01,255.41,255.41,255.41,255.41
19,2011-06-02,253.59,253.59,253.59,253.59
20,2011-06-03,254.45,254.45,254.45,254.45
21,2011-06-06,254.39,254.39,254.39,254.39
22,2011-06-07,254.67,254.67,254.67,254.67
23,2011-06-08,254.39,254.39,254.39,254.39
24,2011-06-09,254.97,254.97,254.97,254.97
25,2011-06-10,255.99,255.99,255.99,255.99
26,2011-06-13,256.73,256.73,256.73,256.73
27,2011-06-14,256.75,256.75,256.75,256.75
28,2011-06-15,258.23,258.23,258.23,258.23
29,2011-06-16,255.85,255.85,255.85,255.85
30,2011-06-17,254.72,254.72,254.72,254.72
31,2011-06-20,254.04,254.04,254.04,254.04
32,2011-06-21,253.38,253.38,253.38,253.38
33,2011-06-22,255.01,255.01,255.01,255.01
34,2011-06-23,254.79,254.79,254.79,254.79
35,2011-06-24,254.73,254.73,254.73,254.73
36,2011-06-27,254.6,254.6,254.6,254.6
37,2011-06-28,254.8,254.8,254.8,254.8
38,2011-06-29,255.63,255.63,255.63,255.63
39,2011-06-30,256.85,256.85,256.85,256.85
40,2011-07-01,258.29,258.29,258.29,258.29
41,2011-07-04,259.87,259.87,259.87,259.87
42,2011-07-05,260.23,260.23,260.23,260.23
43,2011-07-06,261.09,261.09,261.09,261.09
44,2011-07-07,262.97,262.97,262.97,262.97
45,2011-07-08,263.14,263.14,263.14,263.14
46,2011-07-11,262.66,262.66,262.66,262.66
47,2011-07-12,259.37,259.37,259.37,259.37
48,2011-07-13,259.04,259.04,259.04,259.04
49,2011-07-14,259.34,259.34,259.34,259.34
50,2011-07-15,251.12,251.12,251.12,251.12
51,2011-07-18,258.91,258.91,258.91,258.91
52,2011-07-19,258.45,258.45,258.45,258.45
