,Date,Open,High,Low,Close
0,2010-01-04,1239.0,1239.0,1239.0,1239.0
1,2010-01-05,1290.0,1290.0,1290.0,1290.0
2,2010-01-06,1298.0,1298.0,1298.0,1298.0
3,2010-01-07,1324.0,1324.0,1324.0,1324.0
4,2010-01-08,1312.0,1312.0,1312.0,1312.0
5,2010-01-11,1332.0,1332.0,1332.0,1332.0
6,2010-01-12,1321.0,1321.0,1321.0,1321.0
7,2010-01-13,1284.0,1284.0,1284.0,1284.0
8,2010-01-14,1291.0,1291.0,1291.0,1291.0
9,2010-01-15,1281.0,1281.0,1281.0,1281.0
10,2010-01-18,1260.0,1260.0,1260.0,1260.0
11,2010-01-19,1259.0,1259.0,1259.0,1259.0
12,2010-01-20,1255.0,1255.0,1255.0,1255.0
13,2010-01-21,1222.0,1222.0,1222.0,1222.0
14,2010-01-22,1172.0,1172.0,1172.0,1172.0
15,2010-01-25,1181.0,1181.0,1181.0,1181.0
16,2010-01-26,1157.0,1157.0,1157.0,1157.0
17,2010-01-27,1146.0,1146.0,1146.0,1146.0
18,2010-01-28,1136.0,1136.0,1136.0,1136.0
19,2010-01-29,1124.0,1124.0,1124.0,1124.0
20,2010-02-01,1110.0,1110.0,1110.0,1110.0
21,2010-02-02,1159.0,1159.0,1159.0,1159.0
22,2010-02-03,1171.0,1171.0,1171.0,1171.0
23,2010-02-04,1156.0,1156.0,1156.0,1156.0
24,2010-02-05,1106.0,1106.0,1106.0,1106.0
25,2010-02-08,1146.0,1146.0,1146.0,1146.0
26,2010-02-09,1136.0,1136.0,1136.0,1136.0
27,2010-02-10,1168.0,1168.0,1168.0,1168.0
28,2010-02-11,1172.0,1172.0,1172.0,1172.0
29,2010-02-12,1188.0,1188.0,1188.0,1188.0
30,2010-02-15,1188.0,1188.0,1188.0,1188.0
31,2010-02-16,1193.0,1193.0,1193.0,1193.0
32,2010-02-17,1222.0,1222.0,1222.0,1222.0
33,2010-02-18,1220.0,1220.0,1220.0,1220.0
34,2010-02-19,1225.0,1225.0,1225.0,1225.0
35,2010-02-22,1231.0,1231.0,1231.0,1231.0
36,2010-02-23,1220.0,1220.0,1220.0,1220.0
37,2010-02-24,1183.0,1183.0,1183.0,1183.0
38,2010-02-25,1184.0,1184.0,1184.0,1184.0
39,2010-02-26,1214.0,1214.0,1214.0,1214.0
40,2010-03-01,1254.0,1254.0,1254.0,1254.0
41,2010-03-02,1269.0,1269.0,1269.0,1269.0
42,2010-03-03,1295.0,1295.0,1295.0,1295.0
43,2010-03-04,1307.0,1307.0,1307.0,1307.0
44,2010-03-05,1298.0,1298.0,1298.0,1298.0
45,2010-03-08,1312.0,1312.0,1312.0,1312.0
46,2010-03-09,1308.0,1308.0,1308.0,1308.0
47,2010-03-10,1316.0,1316.0,1316.0,1316.0
48,2010-03-11,1288.0,1288.0,1288.0,1288.0
49,2010-03-12,1293.0,1293.0,1293.0,1293.0
50,2010-03-15,1287.0,1287.0,1287.0,1287.0
51,2010-03-16,1279.0,1279.0,1279.0,1279.0
52,2010-03-17,1295.0,1295.0,1295.0,1295.0
53,2010-03-18,1302.0,1302.0,1302.0,1302.0
54,2010-03-19,1310.0,1310.0,1310.0,1310.0
55,2010-03-22,1292.0,1292.0,1292.0,1292.0
56,2010-03-23,1294.0,1294.0,1294.0,1294.0
57,2010-03-24,1293.0,1293.0,1293.0,1293.0
