,Date,Open,High,Low,Close
0,2008-01-02,114.01,114.01,114.01,114.01
1,2008-01-03,112.83,112.83,112.83,112.83
2,2008-01-04,113.17,113.17,113.17,113.17
3,2008-01-07,110.51,110.51,110.51,110.51
4,2008-01-08,110.63,110.63,110.63,110.63
5,2008-01-09,109.54,109.54,109.54,109.54
6,2008-01-10,108.75,108.75,108.75,108.75
7,2008-01-11,105.81,105.81,105.81,105.81
8,2008-01-14,105.55,105.55,105.55,105.55
9,2008-01-15,105.49,105.49,105.49,105.49
10,2008-01-16,102.92,102.92,102.92,102.92
11,2008-01-17,103.93,103.93,103.93,103.93
12,2008-01-18,103.4,103.4,103.4,103.4
13,2008-01-21,102.27,102.27,102.27,102.27
14,2008-01-22,100.46,100.46,100.46,100.46
15,2008-01-23,102.55,102.55,102.55,102.55
16,2008-01-24,103.53,103.53,103.53,103.53
17,2008-01-25,105.05,105.05,105.05,105.05
18,2008-01-28,103.41,103.41,103.41,103.41
19,2008-01-29,104.66,104.66,104.66,104.66
20,2008-01-30,104.47,104.47,104.47,104.47
21,2008-01-31,103.01,103.01,103.01,103.01
22,2008-02-01,105.45,105.45,105.45,105.45
23,2008-02-04,106.58,106.58,106.58,106.58
24,2008-02-05,105.47,105.47,105.47,105.47
25,2008-02-06,103.89,103.89,103.89,103.89
26,2008-02-07,103.3,103.3,103.3,103.3
27,2008-02-08,103.46,103.46,103.46,103.46
28,2008-02-11,103.14,103.14,103.14,103.14
29,2008-02-12,103.4,103.4,103.4,103.4
30,2008-02-13,104.87,104.87,104.87,104.87
31,2008-02-14,105.17,105.17,105.17,105.17
32,2008-02-15,104.67,104.67,104.67,104.67
33,2008-02-18,104.56,104.56,104.56,104.56
34,2008-02-19,103.72,103.72,103.72,103.72
35,2008-02-20,103.8,103.8,103.8,103.8
36,2008-02-21,104.52,104.52,104.52,104.52
37,2008-02-22,103.81,103.81,103.81,103.81
38,2008-02-25,104.81,104.81,104.81,104.81
39,2008-02-26,105.85,105.85,105.85,105.85
40,2008-02-27,104.44,104.44,104.44,104.44
41,2008-02-28,105.38,105.38,105.38,105.38
42,2008-02-29,103.74,103.74,103.74,103.74
43,2008-03-03,101.31,101.31,101.31,101.31
44,2008-03-04,101.08,101.08,101.08,101.08
