Date,Commodities,Gov Bonds,International,Property,UK,,
06/05/2011,99.67,160.09,1.09,106.6,151.73,,
09/05/2011,99.67,160.19,1.1,106.4,152.92,,
10/05/2011,101.1,160.19,1.11,107.1,153.63,,
11/05/2011,100.7,159.49,1.11,107.1,155.72,,
12/05/2011,97.81,160.19,1.11,106.4,155.28,,
13/05/2011,98.46,159.79,1.13,107.3,156.63,,
16/05/2011,97.17,160.29,1.12,106.2,155.56,,
17/05/2011,97.48,159.79,1.12,106.2,155.37,,
18/05/2011,97.98,160.19,1.12,107.3,155.39,,
19/05/2011,99.61,159.49,1.13,108.1,155.62,,
20/05/2011,99.16,160.29,1.13,108,156.7,,
23/05/2011,97.61,160.99,1.12,106.3,154.57,,
24/05/2011,98.2,160.69,1.12,106.4,154.29,,
25/05/2011,98.04,160.79,1.11,105.9,153.98,,
26/05/2011,98.99,160.99,1.11,106,154.3,,
27/05/2011,99.39,161.09,1.11,106.6,154.96,,
30/05/2011,99.39,161.09,1.11,106.6,154.96,,
31/05/2011,100.5,161.19,1.12,107.7,156.02,,
01/06/2011,101.2,161.59,1.13,108.6,156.83,,
02/06/2011,98.83,161.79,1.12,106.9,155.1,,
03/06/2011,98.84,161.69,1.11,106.7,155.83,,
06/06/2011,98.32,161.59,1.1,106.2,155.47,,
07/06/2011,97.83,161.09,1.1,105.7,156.05,,
08/06/2011,96.92,160.89,1.1,105.8,154.58,,
09/06/2011,96.7,161.49,1.09,105.3,153.98,,
10/06/2011,98.31,161.59,1.1,105.3,155.01,,
13/06/2011,96.9,161.79,1.09,103.8,152.93,,
14/06/2011,96.11,161.49,1.09,104,153.94,,
15/06/2011,97.57,161.29,1.1,105.2,154.46,,
16/06/2011,95.59,162.09,1.09,104.2,152.51,,
17/06/2011,95.46,161.69,1.09,104.7,151.84,,
20/06/2011,94.28,162.09,1.09,104.2,151.84,,
21/06/2011,95.74,161.59,1.1,105.5,152.85,,
22/06/2011,96.99,162.29,1.11,105.9,153.68,,
23/06/2011,96.72,161.79,1.11,106.3,152.79,,
24/06/2011,96.81,162.29,1.1,106,152.71,,
27/06/2011,95.78,162.59,1.1,105.6,152.32,,
28/06/2011,96.67,161.89,1.11,106.2,152.26,,
29/06/2011,99.28,160.29,1.12,107.4,153.76,,
30/06/2011,100.2,161.09,1.12,108.3,155.99,,
01/07/2011,101,160.39,1.13,108.5,157.41,,
04/07/2011,101.5,160.49,1.14,109.6,158.83,,
05/07/2011,101.3,160.69,1.14,109.6,160.33,,
06/07/2011,102,161.29,1.14,110.5,159.61,,
07/07/2011,102.6,161.29,1.15,110.9,160.05,,
08/07/2011,103.7,161.29,1.16,112,161.07,,
11/07/2011,102.1,162.79,1.15,110.5,158.9,,
12/07/2011,100.5,163.89,1.14,109.4,155.48,,
13/07/2011,101.7,162.79,1.14,110.1,156.87,,
14/07/2011,101,162.89,1.13,108.2,156.22,,
15/07/2011,100.3,162.99,1.12,107.5,155.45,,
18/07/2011,100.4,163.69,1.12,107.5,155.11,,
19/07/2011,100.8,163.29,1.11,107.6,154.13,,
20/07/2011,102,163.19,1.12,108.7,155.67,,
21/07/2011,101.4,163.29,1.12,108.5,155.3,,
22/07/2011,102.7,162.29,1.12,109.2,157.59,,
25/07/2011,102.2,163.69,1.12,108.8,156.71,,
26/07/2011,102.5,163.59,1.11,108.5,156.06,,
27/07/2011,102.1,163.79,1.11,108.6,155.46,,
28/07/2011,100.2,164.39,1.1,107.1,153.88,,
29/07/2011,99.57,164.69,1.1,106.9,154.36,,
01/08/2011,100.1,164.89,1.09,107.9,154.83,,
02/08/2011,98,165.79,1.08,106.1,150.78,,
03/08/2011,95.93,166.39,1.06,103.3,148.17,,
04/08/2011,93.83,166.99,1.07,101.6,148.76,,
05/08/2011,89.42,167.49,1.04,97.59,142.57,,
08/08/2011,86.29,167.69,1.03,93.38,141.95,,
09/08/2011,83.68,167.69,1.01,89.74,135.49,,
10/08/2011,87.9,167.39,1.05,95.15,141.39,,
11/08/2011,86.89,168.69,1.01,94.4,139.02,,
12/08/2011,88.82,167.99,1.04,96.03,141.55,,
15/08/2011,90.34,167.99,1.05,97.01,144.35,,
16/08/2011,89.33,167.79,1.05,97.43,142.65,,
17/08/2011,89.98,168.69,1.05,98.06,142.44,,
18/08/2011,87.75,170.39,1.04,96.02,141.3,,
19/08/2011,83.52,170.59,1.01,92.45,136,,
22/08/2011,85.3,170.09,1.02,93.1,138.09,,
23/08/2011,85.33,170.29,1.02,93.79,138.72,,
24/08/2011,85.67,169.99,1.03,93.62,138.56,,
25/08/2011,88.03,168.99,1.05,96.03,140.83,,
26/08/2011,87.06,169.89,1.03,95.16,138.86,,
29/08/2011,87.06,169.89,1.03,95.16,138.86,,
30/08/2011,90.67,168.99,1.06,98.66,142.22,,
31/08/2011,92.04,168.79,1.07,99.78,143.51,,
01/09/2011,92.77,168.89,1.08,101.1,145.94,,
02/09/2011,91.48,169.39,1.08,99.24,146.38,,
05/09/2011,88.99,171.89,1.06,96.94,143.23,,
06/09/2011,88.95,170.99,1.06,96.61,142.57,,
07/09/2011,91.52,170.99,1.06,99.01,144.36,,
08/09/2011,92.95,171.49,1.08,100.4,145.53,,
09/09/2011,92.15,171.69,1.07,99.39,144.28,,
12/09/2011,88.06,173.2,1.04,95.74,140.57,,
13/09/2011,88.35,173.3,1.04,96.26,139.53,,
14/09/2011,90.48,172.9,1.06,96.82,140.88,,
15/09/2011,91.58,171.39,1.07,97.5,143.82,,
16/09/2011,92.35,171.39,1.08,98.88,144.87,,
19/09/2011,90.51,173,1.08,98.05,143.45,,
20/09/2011,91.14,173.1,1.09,98.05,143.79,,
