Date,Commodities,Gov Bonds,International,Property,UK
06/05/2011,1,1.000625039,1,1.003766478,0.986028074
09/05/2011,1,1.000624649,1.009174312,0.998123827,1.007842879
10/05/2011,1.014347346,1,1.009090909,1.006578947,1.004642951
11/05/2011,0.996043521,0.995630189,1,1,1.013604114
12/05/2011,0.971300894,1.00438899,1,0.993464052,0.997174416
13/05/2011,1.006645537,0.997502965,1.018018018,1.008458647,1.008693972
16/05/2011,0.986898233,1.003129107,0.991150442,0.989748369,0.993168614
17/05/2011,1.003190285,0.996880654,1,1,0.998778606
18/05/2011,1.005129257,1.002503286,1,1.010357815,1.000128725
19/05/2011,1.016636048,0.995630189,1.008928571,1.007455732,1.001480147
20/05/2011,0.995482381,1.005015988,1,0.999074931,1.006939982
23/05/2011,0.984368697,1.004367085,0.991150442,0.984259259,0.986407147
24/05/2011,1.006044463,0.99813653,1,1.000940734,0.998188523
25/05/2011,0.998370672,1.000622316,0.991071429,0.995300752,0.997990797
26/05/2011,1.009689922,1.001243858,1,1.000944287,1.002078192
27/05/2011,1.004040812,1.000621157,1,1.005660377,1.004277382
30/05/2011,1,1,1,1,1
31/05/2011,1.011168126,1.000620771,1.009009009,1.010318949,1.006840475
01/06/2011,1.006965174,1.002481544,1.008928571,1.008356546,1.005191642
02/06/2011,0.976581028,1.0012377,0.991150442,0.984346225,0.988968947
03/06/2011,1.000101184,0.999381915,0.991071429,0.998129093,1.004706641
06/06/2011,0.994738972,0.999381533,0.990990991,0.995313964,0.99768979
07/06/2011,0.995016273,0.996905749,1,0.995291902,1.003730623
08/06/2011,0.99069815,0.998758458,1,1.000946074,0.990579942
09/06/2011,0.997730087,1.003729256,0.990909091,0.995274102,0.996118515
10/06/2011,1.016649431,1.000619233,1.009174312,1,1.00668918
13/06/2011,0.985657614,1.0012377,0.990909091,0.985754986,0.986581511
14/06/2011,0.991847265,0.998145744,1,1.001926782,1.006604329
15/06/2011,1.015190927,0.998761533,1.009174312,1.011538462,1.003377939
16/06/2011,0.979706877,1.00496001,0.990909091,0.990494297,0.987375372
17/06/2011,0.998640025,0.997532235,1,1.004798464,0.995606845
20/06/2011,0.987638802,1.00247387,1,0.995224451,1
21/06/2011,1.015485787,0.996915294,1.009174312,1.012476008,1.006651739
22/06/2011,1.013056194,1.004331951,1.009090909,1.003791469,1.00543016
23/06/2011,0.997216208,0.996919095,1,1.003777148,0.994208745
24/06/2011,1.000930521,1.003090426,0.990990991,0.997177799,0.999476406
27/06/2011,0.989360603,1.001848543,1,0.996226415,0.99744614
28/06/2011,1.009292128,0.995694692,1.009090909,1.005681818,0.999606092
29/06/2011,1.026999069,0.990116746,1.009009009,1.011299435,1.00985157
30/06/2011,1.00926672,1.004990954,1,1.008379888,1.014503122
01/07/2011,1.007984032,0.995654603,1.008928571,1.001846722,1.009103148
04/07/2011,1.004950495,1.00062348,1,1.010138249,1.009021028
05/07/2011,0.998029557,1.001246184,1.008849558,1,1.00944406
06/07/2011,1.006910168,1.003733898,1,1.008211679,0.995509262
07/07/2011,1.005882353,1,1.00877193,1.00361991,1.00275672
08/07/2011,1.010721248,1,1,1.009918846,1.006373008
11/07/2011,0.984570878,1.009300019,1,0.986607143,0.986527597
12/07/2011,0.984329089,1.006757172,0.991304348,0.990045249,0.97847703
13/07/2011,1.011940299,0.993288181,1,1.006398537,1.008940057
14/07/2011,0.993117011,1.000614288,0.99122807,0.982742961,0.995856442
15/07/2011,0.993069307,1.000613911,0.991150442,0.993530499,0.995071054
18/07/2011,1.000997009,1.004294742,1,1,0.997812802
19/07/2011,1.003984064,0.997556357,0.991071429,1.000930233,0.993681903
20/07/2011,1.011904762,0.999387593,1.009009009,1.010223048,1.009991566
