,Date,Open,High,Low,Close
0,2010-11-15,57.54,57.54,57.54,57.54
1,2010-11-16,57.26,57.26,57.26,57.26
2,2010-11-17,57.14,57.14,57.14,57.14
3,2010-11-18,57.65,57.65,57.65,57.65
4,2010-11-19,57.76,57.76,57.76,57.76
5,2010-11-22,58.01,58.01,58.01,58.01
6,2010-11-23,57.27,57.27,57.27,57.27
7,2010-11-24,57.53,57.53,57.53,57.53
8,2010-11-25,57.74,57.74,57.74,57.74
9,2010-11-26,57.79,57.79,57.79,57.79
10,2010-11-29,57.43,57.43,57.43,57.43
11,2010-11-30,57.74,57.74,57.74,57.74
12,2010-12-01,58.57,58.57,58.57,58.57
13,2010-12-02,59.29,59.29,59.29,59.29
14,2010-12-03,59.5,59.5,59.5,59.5
15,2010-12-06,59.56,59.56,59.56,59.56
16,2010-12-07,59.27,59.27,59.27,59.27
17,2010-12-08,58.9,58.9,58.9,58.9
18,2010-12-09,59.56,59.56,59.56,59.56
19,2010-12-10,59.54,59.54,59.54,59.54
20,2010-12-13,60.14,60.14,60.14,60.14
21,2010-12-14,60.33,60.33,60.33,60.33
22,2010-12-15,60.73,60.73,60.73,60.73
23,2010-12-16,60.38,60.38,60.38,60.38
24,2010-12-17,60.89,60.89,60.89,60.89
25,2010-12-20,60.99,60.99,60.99,60.99
26,2010-12-21,61.49,61.49,61.49,61.49
27,2010-12-22,62.03,62.03,62.03,62.03
28,2010-12-23,62.04,62.04,62.04,62.04
29,2010-12-24,61.54,61.54,61.54,61.54
30,2010-12-27,61.54,61.54,61.54,61.54
31,2010-12-28,61.54,61.54,61.54,61.54
32,2010-12-29,61.93,61.93,61.93,61.93
33,2010-12-30,61.92,61.92,61.92,61.92
34,2010-12-31,62.04,62.04,62.04,62.04
35,2011-01-03,62.04,62.04,62.04,62.04
36,2011-01-04,62.33,62.33,62.33,62.33
37,2011-01-05,62.14,62.14,62.14,62.14
38,2011-01-06,62.06,62.06,62.06,62.06
39,2011-01-07,61.78,61.78,61.78,61.78
40,2011-01-10,61.11,61.11,61.11,61.11
41,2011-01-11,61.49,61.49,61.49,61.49
42,2011-01-12,62.09,62.09,62.09,62.09
43,2011-01-13,61.9,61.9,61.9,61.9
44,2011-01-14,61.72,61.72,61.72,61.72
45,2011-01-17,61.74,61.74,61.74,61.74
46,2011-01-18,61.63,61.63,61.63,61.63
47,2011-01-19,61.85,61.85,61.85,61.85
48,2011-01-20,61.37,61.37,61.37,61.37
49,2011-01-21,61.53,61.53,61.53,61.53
50,2011-01-24,61.34,61.34,61.34,61.34
51,2011-01-25,62.02,62.02,62.02,62.02
52,2011-01-26,62.31,62.31,62.31,62.31
53,2011-01-27,61.9,61.9,61.9,61.9
54,2011-01-28,62.4,62.4,62.4,62.4
55,2011-01-31,61.36,61.36,61.36,61.36
56,2011-02-01,61.59,61.59,61.59,61.59
57,2011-02-02,61.67,61.67,61.67,61.67
58,2011-02-03,61.53,61.53,61.53,61.53
59,2011-02-04,62.07,62.07,62.07,62.07
60,2011-02-07,62.12,62.12,62.12,62.12
61,2011-02-08,62.57,62.57,62.57,62.57
62,2011-02-09,62.46,62.46,62.46,62.46
63,2011-02-10,61.49,61.49,61.49,61.49
64,2011-02-11,62.21,62.21,62.21,62.21
65,2011-02-14,62.57,62.57,62.57,62.57
66,2011-02-15,62.16,62.16,62.16,62.16
67,2011-02-16,62.87,62.87,62.87,62.87
68,2011-02-17,62.59,62.59,62.59,62.59
69,2011-02-18,62.25,62.25,62.25,62.25
70,2011-02-21,62.21,62.21,62.21,62.21
71,2011-02-22,62.28,62.28,62.28,62.28
72,2011-02-23,61.24,61.24,61.24,61.24
73,2011-02-24,61.04,61.04,61.04,61.04
74,2011-02-25,62.0,62.0,62.0,62.0
75,2011-02-28,62.18,62.18,62.18,62.18
76,2011-03-01,62.11,62.11,62.11,62.11
77,2011-03-02,61.27,61.27,61.27,61.27
78,2011-03-03,61.69,61.69,61.69,61.69
79,2011-03-04,62.23,62.23,62.23,62.23
80,2011-03-07,62.25,62.25,62.25,62.25
81,2011-03-08,61.91,61.91,61.91,61.91
82,2011-03-09,62.01,62.01,62.01,62.01
83,2011-03-10,61.32,61.32,61.32,61.32
84,2011-03-11,61.27,61.27,61.27,61.27
85,2011-03-14,60.05,60.05,60.05,60.05
86,2011-03-15,59.12,59.12,59.12,59.12
