,Date,Open,High,Low,Close
0,2011-05-06,151.73,151.73,151.73,151.73
1,2011-05-09,152.92,152.92,152.92,152.92
2,2011-05-10,153.63,153.63,153.63,153.63
3,2011-05-11,155.72,155.72,155.72,155.72
4,2011-05-12,155.28,155.28,155.28,155.28
5,2011-05-13,156.63,156.63,156.63,156.63
6,2011-05-16,155.56,155.56,155.56,155.56
7,2011-05-17,155.37,155.37,155.37,155.37
8,2011-05-18,155.39,155.39,155.39,155.39
9,2011-05-19,155.62,155.62,155.62,155.62
10,2011-05-20,156.7,156.7,156.7,156.7
11,2011-05-23,154.57,154.57,154.57,154.57
12,2011-05-24,154.29,154.29,154.29,154.29
13,2011-05-25,153.98,153.98,153.98,153.98
14,2011-05-26,154.3,154.3,154.3,154.3
15,2011-05-27,154.96,154.96,154.96,154.96
16,2011-05-30,154.96,154.96,154.96,154.96
17,2011-05-31,156.02,156.02,156.02,156.02
18,2011-06-01,156.83,156.83,156.83,156.83
19,2011-06-02,155.1,155.1,155.1,155.1
20,2011-06-03,155.83,155.83,155.83,155.83
21,2011-06-06,155.47,155.47,155.47,155.47
22,2011-06-07,156.05,156.05,156.05,156.05
23,2011-06-08,154.58,154.58,154.58,154.58
24,2011-06-09,153.98,153.98,153.98,153.98
25,2011-06-10,155.01,155.01,155.01,155.01
26,2011-06-13,152.93,152.93,152.93,152.93
27,2011-06-14,153.94,153.94,153.94,153.94
28,2011-06-15,154.46,154.46,154.46,154.46
29,2011-06-16,152.51,152.51,152.51,152.51
30,2011-06-17,151.84,151.84,151.84,151.84
31,2011-06-20,151.84,151.84,151.84,151.84
32,2011-06-21,152.85,152.85,152.85,152.85
33,2011-06-22,153.68,153.68,153.68,153.68
34,2011-06-23,152.79,152.79,152.79,152.79
35,2011-06-24,152.71,152.71,152.71,152.71
36,2011-06-27,152.32,152.32,152.32,152.32
37,2011-06-28,152.26,152.26,152.26,152.26
38,2011-06-29,153.76,153.76,153.76,153.76
39,2011-06-30,155.99,155.99,155.99,155.99
40,2011-07-01,157.41,157.41,157.41,157.41
41,2011-07-04,158.83,158.83,158.83,158.83
42,2011-07-05,160.33,160.33,160.33,160.33
43,2011-07-06,159.61,159.61,159.61,159.61
44,2011-07-07,160.05,160.05,160.05,160.05
45,2011-07-08,161.07,161.07,161.07,161.07
46,2011-07-11,158.9,158.9,158.9,158.9
47,2011-07-12,155.48,155.48,155.48,155.48
48,2011-07-13,156.87,156.87,156.87,156.87
49,2011-07-14,156.22,156.22,156.22,156.22
50,2011-07-15,155.45,155.45,155.45,155.45
51,2011-07-18,155.11,155.11,155.11,155.11
52,2011-07-19,154.13,154.13,154.13,154.13
53,2011-07-20,155.67,155.67,155.67,155.67
54,2011-07-21,155.3,155.3,155.3,155.3
55,2011-07-22,157.59,157.59,157.59,157.59
56,2011-07-25,156.71,156.71,156.71,156.71
57,2011-07-26,156.06,156.06,156.06,156.06
58,2011-07-27,155.46,155.46,155.46,155.46
59,2011-07-28,153.88,153.88,153.88,153.88
60,2011-07-29,154.36,154.36,154.36,154.36
61,2011-08-01,154.83,154.83,154.83,154.83
62,2011-08-02,150.78,150.78,150.78,150.78
63,2011-08-03,148.17,148.17,148.17,148.17
64,2011-08-04,148.76,148.76,148.76,148.76
65,2011-08-05,142.57,142.57,142.57,142.57
66,2011-08-08,141.95,141.95,141.95,141.95
67,2011-08-09,135.49,135.49,135.49,135.49
68,2011-08-10,141.39,141.39,141.39,141.39
69,2011-08-11,139.02,139.02,139.02,139.02
70,2011-08-12,141.55,141.55,141.55,141.55
71,2011-08-15,144.35,144.35,144.35,144.35
72,2011-08-16,142.65,142.65,142.65,142.65
73,2011-08-17,142.44,142.44,142.44,142.44
74,2011-08-18,141.3,141.3,141.3,141.3
75,2011-08-19,136.0,136.0,136.0,136.0
76,2011-08-22,138.09,138.09,138.09,138.09
77,2011-08-23,138.72,138.72,138.72,138.72
