,Date,Open,High,Low,Close
0,2011-01-28,99.92,99.92,99.92,99.92
1,2011-01-31,100.1,100.1,100.1,100.1
2,2011-02-01,99.18,99.18,99.18,99.18
3,2011-02-02,98.79,98.79,98.79,98.79
4,2011-02-03,98.4,98.4,98.4,98.4
5,2011-02-04,98.57,98.57,98.57,98.57
6,2011-02-07,97.93,97.93,97.93,97.93
7,2011-02-08,98.17,98.17,98.17,98.17
8,2011-02-09,98.02,98.02,98.02,98.02
9,2011-02-10,98.28,98.28,98.28,98.28
10,2011-02-11,97.94,97.94,97.94,97.94
11,2011-02-14,97.74,97.74,97.74,97.74
12,2011-02-15,97.05,97.05,97.05,97.05
13,2011-02-16,97.44,97.44,97.44,97.44
14,2011-02-17,97.25,97.25,97.25,97.25
15,2011-02-18,96.99,96.99,96.99,96.99
16,2011-02-21,97.31,97.31,97.31,97.31
17,2011-02-22,97.92,97.92,97.92,97.92
18,2011-02-23,97.61,97.61,97.61,97.61
19,2011-02-24,98.81,98.81,98.81,98.81
20,2011-02-25,99.09,99.09,99.09,99.09
21,2011-02-28,98.47,98.47,98.47,98.47
22,2011-03-01,98.0,98.0,98.0,98.0
23,2011-03-02,97.95,97.95,97.95,97.95
24,2011-03-03,98.16,98.16,98.16,98.16
25,2011-03-04,97.63,97.63,97.63,97.63
26,2011-03-07,97.92,97.92,97.92,97.92
27,2011-03-08,98.28,98.28,98.28,98.28
28,2011-03-09,97.94,97.94,97.94,97.94
29,2011-03-10,98.1,98.1,98.1,98.1
30,2011-03-11,99.73,99.73,99.73,99.73
31,2011-03-14,99.67,99.67,99.67,99.67
32,2011-03-15,100.7,100.7,100.7,100.7
33,2011-03-16,100.6,100.6,100.6,100.6
34,2011-03-17,101.4,101.4,101.4,101.4
35,2011-03-18,100.2,100.2,100.2,100.2
36,2011-03-21,99.59,99.59,99.59,99.59
37,2011-03-22,98.99,98.99,98.99,98.99
38,2011-03-23,99.56,99.56,99.56,99.56
39,2011-03-24,100.0,100.0,100.0,100.0
40,2011-03-25,100.4,100.4,100.4,100.4
41,2011-03-28,100.5,100.5,100.5,100.5
42,2011-03-29,100.4,100.4,100.4,100.4
43,2011-03-30,99.49,99.49,99.49,99.49
44,2011-03-31,99.69,99.69,99.69,99.69
45,2011-04-01,99.31,99.31,99.31,99.31
46,2011-04-04,98.79,98.79,98.79,98.79
47,2011-04-05,98.16,98.16,98.16,98.16
48,2011-04-06,97.49,97.49,97.49,97.49
49,2011-04-07,97.18,97.18,97.18,97.18
50,2011-04-08,97.18,97.18,97.18,97.18
51,2011-04-11,97.47,97.47,97.47,97.47
52,2011-04-12,98.33,98.33,98.33,98.33
53,2011-04-13,98.52,98.52,98.52,98.52
54,2011-04-14,98.64,98.64,98.64,98.64
55,2011-04-15,98.35,98.35,98.35,98.35
56,2011-04-18,98.9,98.9,98.9,98.9
57,2011-04-19,98.97,98.97,98.97,98.97
58,2011-04-20,99.0,99.0,99.0,99.0
59,2011-04-21,98.37,98.37,98.37,98.37
60,2011-04-26,99.01,99.01,99.01,99.01
61,2011-04-27,98.41,98.41,98.41,98.41
62,2011-04-28,98.53,98.53,98.53,98.53
63,2011-05-03,100.1,100.1,100.1,100.1
64,2011-05-04,99.9,99.9,99.9,99.9
65,2011-05-05,100.5,100.5,100.5,100.5
66,2011-05-06,100.5,100.5,100.5,100.5
67,2011-05-09,100.4,100.4,100.4,100.4
68,2011-05-10,100.6,100.6,100.6,100.6
69,2011-05-11,99.66,99.66,99.66,99.66
70,2011-05-12,100.7,100.7,100.7,100.7
71,2011-05-13,101.0,101.0,101.0,101.0
72,2011-05-16,101.2,101.2,101.2,101.2
73,2011-05-17,100.4,100.4,100.4,100.4
74,2011-05-18,101.3,101.3,101.3,101.3
75,2011-05-19,100.6,100.6,100.6,100.6
76,2011-05-20,100.7,100.7,100.7,100.7
77,2011-05-23,100.8,100.8,100.8,100.8
78,2011-05-24,100.8,100.8,100.8,100.8
79,2011-05-25,100.3,100.3,100.3,100.3
80,2011-05-26,100.1,100.1,100.1,100.1
81,2011-05-27,100.1,100.1,100.1,100.1
82,2011-05-31,99.63,99.63,99.63,99.63
83,2011-06-01,100.3,100.3,100.3,100.3
84,2011-06-02,101.2,101.2,101.2,101.2
85,2011-06-03,101.8,101.8,101.8,101.8
86,2011-06-06,101.6,101.6,101.6,101.6
87,2011-06-07,101.4,101.4,101.4,101.4
88,2011-06-08,101.8,101.8,101.8,101.8
89,2011-06-09,101.5,101.5,101.5,101.5
90,2011-06-10,102.0,102.0,102.0,102.0
91,2011-06-13,101.7,101.7,101.7,101.7
92,2011-06-14,101.2,101.2,101.2,101.2
93,2011-06-15,101.3,101.3,101.3,101.3
94,2011-06-16,102.0,102.0,102.0,102.0
95,2011-06-17,102.3,102.3,102.3,102.3
96,2011-06-20,102.3,102.3,102.3,102.3
97,2011-06-21,102.4,102.4,102.4,102.4
98,2011-06-22,102.8,102.8,102.8,102.8
99,2011-06-23,103.3,103.3,103.3,103.3
100,2011-06-24,103.4,103.4,103.4,103.4
101,2011-06-27,103.3,103.3,103.3,103.3
102,2011-06-28,103.5,103.5,103.5,103.5
103,2011-06-29,103.0,103.0,103.0,103.0
104,2011-06-30,103.5,103.5,103.5,103.5
105,2011-07-01,103.2,103.2,103.2,103.2
106,2011-07-04,102.7,102.7,102.7,102.7
107,2011-07-05,102.4,102.4,102.4,102.4
108,2011-07-06,102.8,102.8,102.8,102.8
109,2011-07-07,102.8,102.8,102.8,102.8
110,2011-07-08,102.6,102.6,102.6,102.6
111,2011-07-11,103.2,103.2,103.2,103.2
112,2011-07-12,104.4,104.4,104.4,104.4
113,2011-07-13,103.9,103.9,103.9,103.9
114,2011-07-14,103.1,103.1,103.1,103.1
115,2011-07-15,103.0,103.0,103.0,103.0
116,2011-07-18,102.9,102.9,102.9,102.9
117,2011-07-19,103.0,103.0,103.0,103.0
118,2011-07-20,103.1,103.1,103.1,103.1
119,2011-07-21,102.7,102.7,102.7,102.7
120,2011-07-22,102.6,102.6,102.6,102.6
121,2011-07-25,102.8,102.8,102.8,102.8
122,2011-07-26,102.2,102.2,102.2,102.2
123,2011-07-27,102.6,102.6,102.6,102.6
124,2011-07-28,102.6,102.6,102.6,102.6
125,2011-07-29,103.0,103.0,103.0,103.0
126,2011-08-01,102.9,102.9,102.9,102.9
127,2011-08-02,103.3,103.3,103.3,103.3
128,2011-08-03,103.3,103.3,103.3,103.3
129,2011-08-04,102.3,102.3,102.3,102.3
130,2011-08-05,103.4,103.4,103.4,103.4
131,2011-08-08,103.4,103.4,103.4,103.4
132,2011-08-09,104.2,104.2,104.2,104.2
133,2011-08-10,105.7,105.7,105.7,105.7
134,2011-08-11,106.0,106.0,106.0,106.0
135,2011-08-12,105.2,105.2,105.2,105.2
136,2011-08-15,105.0,105.0,105.0,105.0
137,2011-08-16,104.8,104.8,104.8,104.8
138,2011-08-17,104.8,104.8,104.8,104.8
139,2011-08-18,104.8,104.8,104.8,104.8
140,2011-08-19,104.7,104.7,104.7,104.7
141,2011-08-22,104.9,104.9,104.9,104.9
142,2011-08-23,104.8,104.8,104.8,104.8
143,2011-08-24,104.8,104.8,104.8,104.8
144,2011-08-25,105.0,105.0,105.0,105.0
145,2011-08-26,105.6,105.6,105.6,105.6
146,2011-08-30,105.6,105.6,105.6,105.6
147,2011-08-31,106.1,106.1,106.1,106.1
148,2011-09-01,105.9,105.9,105.9,105.9
149,2011-09-02,106.1,106.1,106.1,106.1
150,2011-09-05,106.7,106.7,106.7,106.7
151,2011-09-06,106.8,106.8,106.8,106.8
152,2011-09-07,107.3,107.3,107.3,107.3
153,2011-09-08,107.4,107.4,107.4,107.4
154,2011-09-09,107.0,107.0,107.0,107.0
155,2011-09-12,107.6,107.6,107.6,107.6
156,2011-09-13,107.7,107.7,107.7,107.7
157,2011-09-14,108.0,108.0,108.0,108.0
158,2011-09-15,107.9,107.9,107.9,107.9
159,2011-09-16,108.1,108.1,108.1,108.1
160,2011-09-19,108.6,108.6,108.6,108.6
161,2011-09-20,109.0,109.0,109.0,109.0
162,2011-09-21,109.3,109.3,109.3,109.3
163,2011-09-22,111.0,111.0,111.0,111.0
164,2011-09-23,111.2,111.2,111.2,111.2
165,2011-09-26,110.3,110.3,110.3,110.3
166,2011-09-27,109.5,109.5,109.5,109.5
167,2011-09-28,109.0,109.0,109.0,109.0
168,2011-09-29,109.0,109.0,109.0,109.0
169,2011-09-30,109.1,109.1,109.1,109.1
170,2011-10-03,109.5,109.5,109.5,109.5
171,2011-10-04,110.6,110.6,110.6,110.6
172,2011-10-05,110.0,110.0,110.0,110.0
173,2011-10-06,110.9,110.9,110.9,110.9
174,2011-10-07,109.5,109.5,109.5,109.5
175,2011-10-10,108.6,108.6,108.6,108.6
176,2011-10-11,108.7,108.7,108.7,108.7
177,2011-10-12,107.9,107.9,107.9,107.9
178,2011-10-13,108.0,108.0,108.0,108.0
179,2011-10-14,107.6,107.6,107.6,107.6
180,2011-10-17,107.7,107.7,107.7,107.7
181,2011-10-18,107.9,107.9,107.9,107.9
182,2011-10-19,107.6,107.6,107.6,107.6
183,2011-10-20,107.6,107.6,107.6,107.6
184,2011-10-21,107.2,107.2,107.2,107.2
185,2011-10-24,107.0,107.0,107.0,107.0
186,2011-10-25,106.5,106.5,106.5,106.5
187,2011-10-26,107.2,107.2,107.2,107.2
188,2011-10-27,107.2,107.2,107.2,107.2
189,2011-10-28,106.3,106.3,106.3,106.3
190,2011-10-31,105.8,105.8,105.8,105.8
191,2011-11-01,106.3,106.3,106.3,106.3
192,2011-11-02,106.0,106.0,106.0,106.0
193,2011-11-03,105.8,105.8,105.8,105.8
194,2011-11-04,105.9,105.9,105.9,105.9
195,2011-11-07,105.5,105.5,105.5,105.5
196,2011-11-08,105.5,105.5,105.5,105.5
197,2011-11-09,105.7,105.7,105.7,105.7
198,2011-11-10,106.0,106.0,106.0,106.0
199,2011-11-11,106.1,106.1,106.1,106.1
200,2011-11-14,106.4,106.4,106.4,106.4
201,2011-11-15,106.4,106.4,106.4,106.4
202,2011-11-16,106.8,106.8,106.8,106.8
203,2011-11-17,106.9,106.9,106.9,106.9
204,2011-11-18,106.5,106.5,106.5,106.5
205,2011-11-21,107.8,107.8,107.8,107.8
206,2011-11-22,107.9,107.9,107.9,107.9
207,2011-11-23,107.8,107.8,107.8,107.8
208,2011-11-24,108.0,108.0,108.0,108.0
209,2011-11-25,107.6,107.6,107.6,107.6
210,2011-11-28,107.0,107.0,107.0,107.0
211,2011-11-29,106.8,106.8,106.8,106.8
212,2011-11-30,106.8,106.8,106.8,106.8
213,2011-12-01,106.8,106.8,106.8,106.8
214,2011-12-02,107.1,107.1,107.1,107.1
215,2011-12-05,107.7,107.7,107.7,107.7
