,Date,Open,High,Low,Close
0,2011-05-06,99.67,99.67,99.67,99.67
1,2011-05-09,99.67,99.67,99.67,99.67
2,2011-05-10,101.1,101.1,101.1,101.1
3,2011-05-11,100.7,100.7,100.7,100.7
4,2011-05-12,97.81,97.81,97.81,97.81
5,2011-05-13,98.45,98.45,98.45,98.45
6,2011-05-16,97.16,97.16,97.16,97.16
7,2011-05-17,97.47,97.47,97.47,97.47
8,2011-05-18,97.96,97.96,97.96,97.96
9,2011-05-19,99.59,99.59,99.59,99.59
10,2011-05-20,99.14,99.14,99.14,99.14
11,2011-05-23,97.58,97.58,97.58,97.58
12,2011-05-24,98.17,98.17,98.17,98.17
13,2011-05-25,98.02,98.02,98.02,98.02
14,2011-05-26,98.96,98.96,98.96,98.96
15,2011-05-27,99.36,99.36,99.36,99.36
16,2011-05-31,100.5,100.5,100.5,100.5
17,2011-06-01,101.1,101.1,101.1,101.1
18,2011-06-02,98.79,98.79,98.79,98.79
19,2011-06-03,98.8,98.8,98.8,98.8
20,2011-06-06,98.27,98.27,98.27,98.27
21,2011-06-07,97.78,97.78,97.78,97.78
22,2011-06-08,96.86,96.86,96.86,96.86
23,2011-06-09,96.64,96.64,96.64,96.64
24,2011-06-10,98.25,98.25,98.25,98.25
25,2011-06-13,96.84,96.84,96.84,96.84
26,2011-06-14,96.04,96.04,96.04,96.04
27,2011-06-15,97.51,97.51,97.51,97.51
28,2011-06-16,95.52,95.52,95.52,95.52
29,2011-06-17,95.39,95.39,95.39,95.39
30,2011-06-20,94.2,94.2,94.2,94.2
31,2011-06-21,95.66,95.66,95.66,95.66
32,2011-06-22,96.91,96.91,96.91,96.91
33,2011-06-23,96.64,96.64,96.64,96.64
34,2011-06-24,96.72,96.72,96.72,96.72
35,2011-06-27,95.69,95.69,95.69,95.69
36,2011-06-28,96.58,96.58,96.58,96.58
37,2011-06-29,99.18,99.18,99.18,99.18
38,2011-06-30,100.1,100.1,100.1,100.1
39,2011-07-01,100.9,100.9,100.9,100.9
40,2011-07-04,101.4,101.4,101.4,101.4
41,2011-07-05,101.2,101.2,101.2,101.2
42,2011-07-06,101.9,101.9,101.9,101.9
43,2011-07-07,102.4,102.4,102.4,102.4
44,2011-07-08,103.5,103.5,103.5,103.5
45,2011-07-11,102.0,102.0,102.0,102.0
46,2011-07-12,100.4,100.4,100.4,100.4
47,2011-07-13,101.5,101.5,101.5,101.5
48,2011-07-14,100.9,100.9,100.9,100.9
49,2011-07-15,100.2,100.2,100.2,100.2
50,2011-07-18,100.3,100.3,100.3,100.3
51,2011-07-19,100.7,100.7,100.7,100.7
52,2011-07-20,101.9,101.9,101.9,101.9
53,2011-07-21,101.2,101.2,101.2,101.2
54,2011-07-22,102.5,102.5,102.5,102.5
55,2011-07-25,102.1,102.1,102.1,102.1
56,2011-07-26,102.3,102.3,102.3,102.3
57,2011-07-27,102.0,102.0,102.0,102.0
58,2011-07-28,100.1,100.1,100.1,100.1
59,2011-07-29,99.43,99.43,99.43,99.43
60,2011-08-01,99.94,99.94,99.94,99.94
61,2011-08-02,97.85,97.85,97.85,97.85
62,2011-08-03,95.76,95.76,95.76,95.76
63,2011-08-04,93.67,93.67,93.67,93.67
64,2011-08-05,89.27,89.27,89.27,89.27
65,2011-08-08,86.13,86.13,86.13,86.13
66,2011-08-09,83.53,83.53,83.53,83.53
67,2011-08-10,87.74,87.74,87.74,87.74
68,2011-08-11,86.73,86.73,86.73,86.73
69,2011-08-12,88.65,88.65,88.65,88.65
70,2011-08-15,90.16,90.16,90.16,90.16
71,2011-08-16,89.16,89.16,89.16,89.16
72,2011-08-17,89.8,89.8,89.8,89.8
73,2011-08-18,87.58,87.58,87.58,87.58
74,2011-08-19,83.35,83.35,83.35,83.35
75,2011-08-22,85.12,85.12,85.12,85.12
76,2011-08-23,85.15,85.15,85.15,85.15
77,2011-08-24,85.49,85.49,85.49,85.49
78,2011-08-25,87.85,87.85,87.85,87.85
79,2011-08-26,86.87,86.87,86.87,86.87
80,2011-08-30,90.47,90.47,90.47,90.47
81,2011-08-31,91.83,91.83,91.83,91.83
82,2011-09-01,92.56,92.56,92.56,92.56
83,2011-09-02,91.26,91.26,91.26,91.26
84,2011-09-05,88.78,88.78,88.78,88.78
85,2011-09-06,88.73,88.73,88.73,88.73
86,2011-09-07,91.3,91.3,91.3,91.3
87,2011-09-08,92.73,92.73,92.73,92.73
