,Date,Open,High,Low,Close
0,2010-09-01,106.0,106.0,106.0,106.0
1,2010-09-02,108.2,108.2,108.2,108.2
2,2010-09-03,108.9,108.9,108.9,108.9
3,2010-09-06,110.1,110.1,110.1,110.1
4,2010-09-07,110.3,110.3,110.3,110.3
5,2010-09-08,109.0,109.0,109.0,109.0
6,2010-09-09,109.9,109.9,109.9,109.9
7,2010-09-10,109.9,109.9,109.9,109.9
8,2010-09-13,111.8,111.8,111.8,111.8
9,2010-09-14,112.9,112.9,112.9,112.9
10,2010-09-15,112.2,112.2,112.2,112.2
11,2010-09-16,111.3,111.3,111.3,111.3
12,2010-09-17,111.4,111.4,111.4,111.4
13,2010-09-20,111.5,111.5,111.5,111.5
14,2010-09-21,113.0,113.0,113.0,113.0
15,2010-09-22,112.2,112.2,112.2,112.2
16,2010-09-23,112.0,112.0,112.0,112.0
17,2010-09-24,111.9,111.9,111.9,111.9
18,2010-09-27,111.8,111.8,111.8,111.8
19,2010-09-28,111.4,111.4,111.4,111.4
20,2010-09-29,113.1,113.1,113.1,113.1
21,2010-09-30,112.3,112.3,112.3,112.3
22,2010-10-01,113.7,113.7,113.7,113.7
23,2010-10-04,114.9,114.9,114.9,114.9
24,2010-10-05,114.5,114.5,114.5,114.5
25,2010-10-06,116.6,116.6,116.6,116.6
26,2010-10-07,115.6,115.6,115.6,115.6
27,2010-10-08,115.1,115.1,115.1,115.1
28,2010-10-11,116.1,116.1,116.1,116.1
29,2010-10-12,116.3,116.3,116.3,116.3
30,2010-10-13,117.6,117.6,117.6,117.6
31,2010-10-14,118.2,118.2,118.2,118.2
32,2010-10-15,117.5,117.5,117.5,117.5
33,2010-10-18,117.4,117.4,117.4,117.4
34,2010-10-19,118.6,118.6,118.6,118.6
35,2010-10-20,117.4,117.4,117.4,117.4
36,2010-10-21,118.2,118.2,118.2,118.2
37,2010-10-22,117.9,117.9,117.9,117.9
38,2010-10-25,118.7,118.7,118.7,118.7
39,2010-10-26,117.7,117.7,117.7,117.7
40,2010-10-27,117.0,117.0,117.0,117.0
41,2010-10-28,116.4,116.4,116.4,116.4
42,2010-10-29,116.2,116.2,116.2,116.2
43,2010-11-01,116.5,116.5,116.5,116.5
44,2010-11-02,117.7,117.7,117.7,117.7
45,2010-11-03,117.6,117.6,117.6,117.6
46,2010-11-04,118.6,118.6,118.6,118.6
47,2010-11-05,119.6,119.6,119.6,119.6
48,2010-11-08,120.4,120.4,120.4,120.4
49,2010-11-09,120.4,120.4,120.4,120.4
50,2010-11-10,120.0,120.0,120.0,120.0
51,2010-11-11,119.6,119.6,119.6,119.6
52,2010-11-12,118.0,118.0,118.0,118.0
53,2010-11-15,116.6,116.6,116.6,116.6
54,2010-11-16,116.4,116.4,116.4,116.4
55,2010-11-17,115.3,115.3,115.3,115.3
56,2010-11-18,116.3,116.3,116.3,116.3
57,2010-11-19,116.7,116.7,116.7,116.7
58,2010-11-22,117.3,117.3,117.3,117.3
59,2010-11-23,115.9,115.9,115.9,115.9
60,2010-11-24,115.7,115.7,115.7,115.7
61,2010-11-25,117.6,117.6,117.6,117.6
62,2010-11-26,116.5,116.5,116.5,116.5
63,2010-11-29,117.4,117.4,117.4,117.4
64,2010-11-30,117.1,117.1,117.1,117.1
65,2010-12-01,117.7,117.7,117.7,117.7
66,2010-12-02,119.8,119.8,119.8,119.8
67,2010-12-03,120.5,120.5,120.5,120.5
68,2010-12-06,120.6,120.6,120.6,120.6
69,2010-12-07,120.6,120.6,120.6,120.6
70,2010-12-08,119.5,119.5,119.5,119.5
71,2010-12-09,119.5,119.5,119.5,119.5
72,2010-12-10,117.8,117.8,117.8,117.8
73,2010-12-13,119.2,119.2,119.2,119.2
74,2010-12-14,119.4,119.4,119.4,119.4
75,2010-12-15,120.3,120.3,120.3,120.3
76,2010-12-16,119.7,119.7,119.7,119.7
77,2010-12-17,120.2,120.2,120.2,120.2
78,2010-12-20,120.1,120.1,120.1,120.1
79,2010-12-21,121.4,121.4,121.4,121.4
80,2010-12-22,122.4,122.4,122.4,122.4
81,2010-12-23,123.2,123.2,123.2,123.2
82,2010-12-24,122.7,122.7,122.7,122.7
83,2010-12-29,123.6,123.6,123.6,123.6
84,2010-12-30,124.4,124.4,124.4,124.4
85,2010-12-31,124.5,124.5,124.5,124.5
86,2011-01-04,125.8,125.8,125.8,125.8
87,2011-01-05,124.8,124.8,124.8,124.8
88,2011-01-06,125.7,125.7,125.7,125.7
89,2011-01-07,124.4,124.4,124.4,124.4
90,2011-01-10,122.5,122.5,122.5,122.5
91,2011-01-11,122.5,122.5,122.5,122.5
92,2011-01-12,123.9,123.9,123.9,123.9
93,2011-01-13,123.7,123.7,123.7,123.7
94,2011-01-14,122.2,122.2,122.2,122.2
95,2011-01-17,121.4,121.4,121.4,121.4
96,2011-01-18,121.2,121.2,121.2,121.2
97,2011-01-19,121.6,121.6,121.6,121.6
98,2011-01-20,119.8,119.8,119.8,119.8
99,2011-01-21,119.3,119.3,119.3,119.3
100,2011-01-24,118.6,118.6,118.6,118.6
101,2011-01-25,120.2,120.2,120.2,120.2
102,2011-01-26,119.9,119.9,119.9,119.9
103,2011-01-27,119.3,119.3,119.3,119.3
104,2011-01-28,118.5,118.5,118.5,118.5
105,2011-01-31,116.8,116.8,116.8,116.8
106,2011-02-01,116.1,116.1,116.1,116.1
107,2011-02-02,117.1,117.1,117.1,117.1
108,2011-02-03,116.7,116.7,116.7,116.7
109,2011-02-04,117.3,117.3,117.3,117.3
110,2011-02-07,116.4,116.4,116.4,116.4
111,2011-02-08,116.4,116.4,116.4,116.4
112,2011-02-09,115.9,115.9,115.9,115.9
113,2011-02-10,113.8,113.8,113.8,113.8
114,2011-02-11,113.5,113.5,113.5,113.5
115,2011-02-14,115.2,115.2,115.2,115.2
116,2011-02-15,114.8,114.8,114.8,114.8
117,2011-02-16,115.3,115.3,115.3,115.3
118,2011-02-17,115.7,115.7,115.7,115.7
119,2011-02-18,115.8,115.8,115.8,115.8
120,2011-02-21,116.2,116.2,116.2,116.2
121,2011-02-22,114.9,114.9,114.9,114.9
122,2011-02-23,113.2,113.2,113.2,113.2
123,2011-02-24,113.4,113.4,113.4,113.4
124,2011-02-25,114.4,114.4,114.4,114.4
125,2011-02-28,114.3,114.3,114.3,114.3
126,2011-03-01,115.2,115.2,115.2,115.2
127,2011-03-02,114.1,114.1,114.1,114.1
128,2011-03-03,116.2,116.2,116.2,116.2
129,2011-03-04,117.2,117.2,117.2,117.2
130,2011-03-07,117.1,117.1,117.1,117.1
131,2011-03-08,117.8,117.8,117.8,117.8
132,2011-03-09,117.9,117.9,117.9,117.9
133,2011-03-10,116.8,116.8,116.8,116.8
134,2011-03-11,116.2,116.2,116.2,116.2
135,2011-03-14,116.0,116.0,116.0,116.0
136,2011-03-15,114.0,114.0,114.0,114.0
137,2011-03-16,115.2,115.2,115.2,115.2
