,Date,Open,High,Low,Close
0,2010-01-11,100.0,100.0,100.0,100.0
1,2010-01-12,98.83,98.83,98.83,98.83
2,2010-01-13,98.97,98.97,98.97,98.97
3,2010-01-14,99.17,99.17,99.17,99.17
4,2010-01-15,98.67,98.67,98.67,98.67
5,2010-01-19,98.64,98.64,98.64,98.64
6,2010-01-20,97.89,97.89,97.89,97.89
7,2010-01-21,97.14,97.14,97.14,97.14
8,2010-01-22,96.01,96.01,96.01,96.01
9,2010-01-25,95.62,95.62,95.62,95.62
10,2010-01-26,95.26,95.26,95.26,95.26
11,2010-01-27,94.96,94.96,94.96,94.96
12,2010-01-28,94.48,94.48,94.48,94.48
13,2010-01-29,94.18,94.18,94.18,94.18
14,2010-02-01,95.73,95.73,95.73,95.73
15,2010-02-02,96.75,96.75,96.75,96.75
16,2010-02-03,96.51,96.51,96.51,96.51
17,2010-02-04,94.57,94.57,94.57,94.57
18,2010-02-05,94.65,94.65,94.65,94.65
19,2010-02-08,93.92,93.92,93.92,93.92
20,2010-02-09,94.99,94.99,94.99,94.99
21,2010-02-10,95.25,95.25,95.25,95.25
22,2010-02-11,96.23,96.23,96.23,96.23
23,2010-02-12,96.46,96.46,96.46,96.46
24,2010-02-16,97.54,97.54,97.54,97.54
25,2010-02-17,98.07,98.07,98.07,98.07
26,2010-02-18,99.05,99.05,99.05,99.05
27,2010-02-19,100.2,100.2,100.2,100.2
28,2010-02-22,100.28,100.28,100.28,100.28
29,2010-02-23,99.56,99.56,99.56,99.56
30,2010-02-24,99.9,99.9,99.9,99.9
31,2010-02-25,100.69,100.69,100.69,100.69
32,2010-02-26,101.42,101.42,101.42,101.42
33,2010-03-01,104.65,104.65,104.65,104.65
34,2010-03-02,105.87,105.87,105.87,105.87
35,2010-03-03,105.57,105.57,105.57,105.57
36,2010-03-04,105.65,105.65,105.65,105.65
37,2010-03-05,106.87,106.87,106.87,106.87
38,2010-03-08,107.46,107.46,107.46,107.46
39,2010-03-09,108.16,108.16,108.16,108.16
40,2010-03-10,109.07,109.07,109.07,109.07
41,2010-03-11,108.88,108.88,108.88,108.88
42,2010-03-12,108.38,108.38,108.38,108.38
43,2010-03-15,108.89,108.89,108.89,108.89
44,2010-03-16,108.82,108.82,108.82,108.82
45,2010-03-18,108.81,108.81,108.81,108.81
46,2010-03-19,109.56,109.56,109.56,109.56
47,2010-03-22,109.93,109.93,109.93,109.93
48,2010-03-23,110.85,110.85,110.85,110.85
49,2010-03-24,110.9,110.9,110.9,110.9
50,2010-03-25,110.83,110.83,110.83,110.83
51,2010-03-26,110.89,110.89,110.89,110.89
52,2010-03-29,111.06,111.06,111.06,111.06
53,2010-03-30,110.33,110.33,110.33,110.33
54,2010-03-31,109.59,109.59,109.59,109.59
55,2010-04-01,109.95,109.95,109.95,109.95
56,2010-04-06,112.42,112.42,112.42,112.42
57,2010-04-07,112.22,112.22,112.22,112.22
58,2010-04-08,111.75,111.75,111.75,111.75
59,2010-04-09,111.98,111.98,111.98,111.98
60,2010-04-12,112.21,112.21,112.21,112.21
61,2010-04-13,112.14,112.14,112.14,112.14
62,2010-04-14,113.17,113.17,113.17,113.17
63,2010-04-15,113.2,113.2,113.2,113.2
64,2010-04-16,112.46,112.46,112.46,112.46
65,2010-04-19,112.24,112.24,112.24,112.24
66,2010-04-20,113.27,113.27,113.27,113.27
67,2010-04-21,113.46,113.46,113.46,113.46
68,2010-04-22,113.92,113.92,113.92,113.92
69,2010-04-23,115.23,115.23,115.23,115.23
70,2010-04-26,114.65,114.65,114.65,114.65
71,2010-04-27,113.16,113.16,113.16,113.16
72,2010-04-28,113.12,113.12,113.12,113.12
73,2010-04-29,114.39,114.39,114.39,114.39
74,2010-04-30,112.77,112.77,112.77,112.77
75,2010-05-04,111.9,111.9,111.9,111.9
76,2010-05-05,110.08,110.08,110.08,110.08
77,2010-05-06,107.95,107.95,107.95,107.95
78,2010-05-07,106.67,106.67,106.67,106.67
79,2010-05-10,109.95,109.95,109.95,109.95
80,2010-05-11,110.77,110.77,110.77,110.77
81,2010-05-12,113.17,113.17,113.17,113.17
82,2010-05-13,114.14,114.14,114.14,114.14
83,2010-05-14,112.46,112.46,112.46,112.46
84,2010-05-17,112.31,112.31,112.31,112.31
85,2010-05-18,111.13,111.13,111.13,111.13
86,2010-05-19,109.69,109.69,109.69,109.69
87,2010-05-20,106.07,106.07,106.07,106.07
88,2010-05-21,106.25,106.25,106.25,106.25
89,2010-05-24,105.59,105.59,105.59,105.59
90,2010-05-25,104.53,104.53,104.53,104.53
91,2010-05-26,104.85,104.85,104.85,104.85
92,2010-05-27,108.16,108.16,108.16,108.16
93,2010-05-28,107.79,107.79,107.79,107.79
94,2010-05-31,107.43,107.43,107.43,107.43
95,2010-06-01,104.26,104.26,104.26,104.26
96,2010-06-02,106.55,106.55,106.55,106.55
97,2010-06-03,107.54,107.54,107.54,107.54
98,2010-06-04,104.34,104.34,104.34,104.34
99,2010-06-08,103.17,103.17,103.17,103.17
100,2010-06-09,102.3,102.3,102.3,102.3
101,2010-06-10,104.56,104.56,104.56,104.56
102,2010-06-11,106.37,106.37,106.37,106.37
103,2010-06-14,105.98,105.98,105.98,105.98
104,2010-06-15,107.65,107.65,107.65,107.65
105,2010-06-16,107.36,107.36,107.36,107.36
106,2010-06-17,107.64,107.64,107.64,107.64
107,2010-06-18,107.94,107.94,107.94,107.94
108,2010-06-21,107.77,107.77,107.77,107.77
109,2010-06-22,106.35,106.35,106.35,106.35
110,2010-06-23,104.89,104.89,104.89,104.89
111,2010-06-24,103.13,103.13,103.13,103.13
112,2010-06-25,103.7,103.7,103.7,103.7
113,2010-06-28,102.74,102.74,102.74,102.74
114,2010-06-29,99.55,99.55,99.55,99.55
115,2010-06-30,99.42,99.42,99.42,99.42
116,2010-07-01,97.7,97.7,97.7,97.7
117,2010-07-02,97.12,97.12,97.12,97.12
118,2010-07-06,97.4,97.4,97.4,97.4
119,2010-07-07,99.55,99.55,99.55,99.55
120,2010-07-08,101.11,101.11,101.11,101.11
121,2010-07-09,102.38,102.38,102.38,102.38
122,2010-07-12,102.04,102.04,102.04,102.04
123,2010-07-13,103.58,103.58,103.58,103.58
124,2010-07-14,103.05,103.05,103.05,103.05
125,2010-07-15,102.11,102.11,102.11,102.11
126,2010-07-16,99.87,99.87,99.87,99.87
127,2010-07-19,100.62,100.62,100.62,100.62
128,2010-07-20,101.18,101.18,101.18,101.18
129,2010-07-21,100.83,100.83,100.83,100.83
130,2010-07-22,102.93,102.93,102.93,102.93
131,2010-07-23,103.42,103.42,103.42,103.42
132,2010-07-26,104.76,104.76,104.76,104.76
133,2010-07-27,103.86,103.86,103.86,103.86
134,2010-07-28,102.66,102.66,102.66,102.66
135,2010-07-29,102.83,102.83,102.83,102.83
136,2010-07-30,102.32,102.32,102.32,102.32
137,2010-08-03,102.2,102.2,102.2,102.2
138,2010-08-04,103.0,103.0,103.0,103.0
139,2010-08-05,103.07,103.07,103.07,103.07
