,Date,Open,High,Low,Close
0,2010-01-04,1.26,1.26,1.26,1.26
1,2010-01-05,1.28,1.28,1.28,1.28
2,2010-01-06,1.27,1.27,1.27,1.27
3,2010-01-07,1.28,1.28,1.28,1.28
4,2010-01-08,1.28,1.28,1.28,1.28
5,2010-01-11,1.29,1.29,1.29,1.29
6,2010-01-12,1.27,1.27,1.27,1.27
7,2010-01-13,1.27,1.27,1.27,1.27
8,2010-01-14,1.27,1.27,1.27,1.27
9,2010-01-15,1.28,1.28,1.28,1.28
10,2010-01-18,1.27,1.27,1.27,1.27
11,2010-01-19,1.26,1.26,1.26,1.26
12,2010-01-20,1.27,1.27,1.27,1.27
13,2010-01-21,1.26,1.26,1.26,1.26
14,2010-01-22,1.22,1.22,1.22,1.22
15,2010-01-25,1.23,1.23,1.23,1.23
16,2010-01-26,1.21,1.21,1.21,1.21
17,2010-01-27,1.21,1.21,1.21,1.21
18,2010-01-28,1.21,1.21,1.21,1.21
19,2010-01-29,1.2,1.2,1.2,1.2
20,2010-02-01,1.2,1.2,1.2,1.2
21,2010-02-02,1.22,1.22,1.22,1.22
22,2010-02-03,1.23,1.23,1.23,1.23
23,2010-02-04,1.21,1.21,1.21,1.21
24,2010-02-05,1.17,1.17,1.17,1.17
25,2010-02-08,1.17,1.17,1.17,1.17
26,2010-02-09,1.18,1.18,1.18,1.18
27,2010-02-10,1.2,1.2,1.2,1.2
28,2010-02-11,1.2,1.2,1.2,1.2
29,2010-02-12,1.2,1.2,1.2,1.2
30,2010-02-15,1.2,1.2,1.2,1.2
31,2010-02-16,1.21,1.21,1.21,1.21
32,2010-02-17,1.23,1.23,1.23,1.23
33,2010-02-18,1.23,1.23,1.23,1.23
34,2010-02-19,1.24,1.24,1.24,1.24
35,2010-02-22,1.25,1.25,1.25,1.25
36,2010-02-23,1.24,1.24,1.24,1.24
37,2010-02-24,1.24,1.24,1.24,1.24
38,2010-02-25,1.24,1.24,1.24,1.24
39,2010-02-26,1.24,1.24,1.24,1.24
40,2010-03-01,1.25,1.25,1.25,1.25
41,2010-03-02,1.27,1.27,1.27,1.27
42,2010-03-03,1.27,1.27,1.27,1.27
43,2010-03-04,1.29,1.29,1.29,1.29
44,2010-03-05,1.29,1.29,1.29,1.29
45,2010-03-08,1.3,1.3,1.3,1.3
46,2010-03-09,1.3,1.3,1.3,1.3
47,2010-03-10,1.31,1.31,1.31,1.31
48,2010-03-11,1.31,1.31,1.31,1.31
49,2010-03-12,1.31,1.31,1.31,1.31
50,2010-03-15,1.31,1.31,1.31,1.31
51,2010-03-16,1.31,1.31,1.31,1.31
52,2010-03-17,1.32,1.32,1.32,1.32
53,2010-03-18,1.32,1.32,1.32,1.32
54,2010-03-19,1.33,1.33,1.33,1.33
55,2010-03-22,1.31,1.31,1.31,1.31
