,Date,Open,High,Low,Close
0,2010-01-04,1.05,1.05,1.05,1.05
1,2010-01-05,1.06,1.06,1.06,1.06
2,2010-01-06,1.06,1.06,1.06,1.06
3,2010-01-07,1.07,1.07,1.07,1.07
4,2010-01-08,1.08,1.08,1.08,1.08
5,2010-01-11,1.09,1.09,1.09,1.09
6,2010-01-12,1.07,1.07,1.07,1.07
7,2010-01-13,1.07,1.07,1.07,1.07
8,2010-01-14,1.07,1.07,1.07,1.07
9,2010-01-15,1.07,1.07,1.07,1.07
10,2010-01-18,1.06,1.06,1.06,1.06
11,2010-01-19,1.06,1.06,1.06,1.06
12,2010-01-20,1.06,1.06,1.06,1.06
13,2010-01-21,1.06,1.06,1.06,1.06
14,2010-01-22,1.04,1.04,1.04,1.04
15,2010-01-25,1.04,1.04,1.04,1.04
16,2010-01-26,1.03,1.03,1.03,1.03
17,2010-01-27,1.03,1.03,1.03,1.03
18,2010-01-28,1.04,1.04,1.04,1.04
19,2010-01-29,1.03,1.03,1.03,1.03
20,2010-02-01,1.03,1.03,1.03,1.03
21,2010-02-02,1.04,1.04,1.04,1.04
22,2010-02-03,1.06,1.06,1.06,1.06
23,2010-02-04,1.04,1.04,1.04,1.04
24,2010-02-05,1.01,1.01,1.01,1.01
25,2010-02-08,1.0,1.0,1.0,1.0
26,2010-02-09,1.0,1.0,1.0,1.0
27,2010-02-10,1.02,1.02,1.02,1.02
28,2010-02-11,1.02,1.02,1.02,1.02
29,2010-02-12,1.01,1.01,1.01,1.01
30,2010-02-15,1.01,1.01,1.01,1.01
31,2010-02-16,1.02,1.02,1.02,1.02
32,2010-02-17,1.03,1.03,1.03,1.03
33,2010-02-18,1.04,1.04,1.04,1.04
34,2010-02-19,1.04,1.04,1.04,1.04
35,2010-02-22,1.05,1.05,1.05,1.05
36,2010-02-23,1.05,1.05,1.05,1.05
37,2010-02-24,1.04,1.04,1.04,1.04
38,2010-02-25,1.04,1.04,1.04,1.04
39,2010-02-26,1.04,1.04,1.04,1.04
40,2010-03-01,1.05,1.05,1.05,1.05
41,2010-03-02,1.06,1.06,1.06,1.06
42,2010-03-03,1.06,1.06,1.06,1.06
43,2010-03-04,1.07,1.07,1.07,1.07
44,2010-03-05,1.08,1.08,1.08,1.08
45,2010-03-08,1.09,1.09,1.09,1.09
46,2010-03-09,1.08,1.08,1.08,1.08
47,2010-03-10,1.09,1.09,1.09,1.09
48,2010-03-11,1.1,1.1,1.1,1.1
49,2010-03-12,1.11,1.11,1.11,1.11
50,2010-03-15,1.11,1.11,1.11,1.11
51,2010-03-16,1.11,1.11,1.11,1.11
52,2010-03-17,1.12,1.12,1.12,1.12
53,2010-03-18,1.12,1.12,1.12,1.12
54,2010-03-19,1.12,1.12,1.12,1.12
55,2010-03-22,1.11,1.11,1.11,1.11
56,2010-03-23,1.12,1.12,1.12,1.12
57,2010-03-24,1.12,1.12,1.12,1.12
58,2010-03-25,1.14,1.14,1.14,1.14
59,2010-03-26,1.14,1.14,1.14,1.14
60,2010-03-29,1.14,1.14,1.14,1.14
61,2010-03-30,1.14,1.14,1.14,1.14
62,2010-03-31,1.14,1.14,1.14,1.14
63,2010-04-01,1.14,1.14,1.14,1.14
64,2010-04-06,1.16,1.16,1.16,1.16
65,2010-04-07,1.17,1.17,1.17,1.17
66,2010-04-08,1.16,1.16,1.16,1.16
67,2010-04-09,1.17,1.17,1.17,1.17
68,2010-04-12,1.17,1.17,1.17,1.17
69,2010-04-13,1.17,1.17,1.17,1.17
70,2010-04-14,1.17,1.17,1.17,1.17
71,2010-04-15,1.18,1.18,1.18,1.18
72,2010-04-16,1.18,1.18,1.18,1.18
73,2010-04-19,1.16,1.16,1.16,1.16
74,2010-04-20,1.17,1.17,1.17,1.17
75,2010-04-21,1.17,1.17,1.17,1.17
76,2010-04-22,1.17,1.17,1.17,1.17
77,2010-04-23,1.18,1.18,1.18,1.18
78,2010-04-26,1.2,1.2,1.2,1.2
79,2010-04-27,1.19,1.19,1.19,1.19
80,2010-04-28,1.16,1.16,1.16,1.16
81,2010-04-29,1.16,1.16,1.16,1.16
82,2010-04-30,1.16,1.16,1.16,1.16
83,2010-05-04,1.15,1.15,1.15,1.15
