Date,Bonds - Global Governments,Bonds - UK Corporate,Bonds - UK Government All Stocks,Bonds - UK Government Long Duration,Commodities - Gold,Commodities - Natural Resources,Equities - Emerging Markets,Equities - Global Large Cap,Equities - Global Small Cap,Equities - UK Large Cap,Equities - UK Mid Cap,Property,,
06/05/2011,100.5,104.1,160.09,105.9,1525,99.67,117,62.21,127.07,1.42,1.35,106.6,,
09/05/2011,100.4,104.1,160.19,106.35,1534,99.67,118.3,62.13,128.38,1.43,1.36,106.4,,
10/05/2011,100.6,104.2,160.19,106.29,1553,101.1,118.9,62.89,129.52,1.45,1.37,107.1,,
11/05/2011,99.66,103.8,159.49,105.78,1547,100.7,118.6,62.13,127.46,1.45,1.38,107.1,,
12/05/2011,100.7,104.2,160.19,106.26,1492,97.81,117.4,61.91,128.6,1.42,1.36,106.4,,
13/05/2011,101,104,159.79,106.2,1500,98.45,118.1,62.72,128.01,1.44,1.37,107.3,,
16/05/2011,101.2,104.3,160.29,105.88,1475,97.16,116.5,62.22,126.61,1.42,1.35,106.2,,
17/05/2011,100.4,104,159.79,106.14,1489,97.47,116.2,61.88,125.87,1.43,1.36,106.2,,
18/05/2011,101.3,104.3,160.19,105.78,1503,97.96,117.5,62.51,128.02,1.42,1.35,107.3,,
19/05/2011,100.6,103.9,159.49,105.75,1522,99.59,117.8,62.97,128.14,1.44,1.37,108.1,,
20/05/2011,100.7,104.3,160.29,106.3,1515,99.14,117.3,62.02,127.33,1.44,1.37,108,,
23/05/2011,100.8,104.6,160.99,106.81,1505,97.58,115.4,61.53,125.63,1.41,1.35,106.3,,
24/05/2011,100.8,104.3,160.69,106.57,1515,98.17,115.6,61.68,125.21,1.41,1.36,106.4,,
25/05/2011,100.3,104.3,160.79,107,1521,98.02,115.4,61.03,125.21,1.41,1.35,105.9,,
26/05/2011,100.1,104.3,160.99,107.58,1534,98.96,115.6,61.06,125.73,1.42,1.35,106,,
27/05/2011,100.1,104.3,161.09,107.66,1539,99.36,116.1,61.47,126.04,1.43,1.36,106.6,,
30/05/2011,100.1,104.3,161.09,107.66,1539,99.36,116.1,61.47,126.04,1.43,1.36,106.6,,
31/05/2011,99.63,104.2,161.19,107.71,1565,100.5,117.9,62.06,127.59,1.45,1.38,107.7,,
01/06/2011,100.3,104.4,161.59,108.25,1574,101.1,118.8,62.3,126.11,1.45,1.38,108.6,,
02/06/2011,101.2,104.6,161.79,107.87,1551,98.79,117.6,61.58,125.98,1.42,1.37,106.9,,
03/06/2011,101.8,104.5,161.69,107.6,1546,98.8,118.5,61.19,124.8,1.41,1.37,106.7,,
06/06/2011,101.6,104.4,161.59,107.42,1535,98.27,117.3,60.87,124.8,1.42,1.37,106.2,,
07/06/2011,101.4,104.2,161.09,106.29,1520,97.78,117,60.53,123.19,1.42,1.38,105.7,,
08/06/2011,101.8,104.1,160.89,107.07,1496,96.86,116.9,60.28,122.25,1.4,1.36,105.8,,
09/06/2011,101.5,104.3,161.49,106.87,1478,96.64,116.4,60.31,122.78,1.4,1.36,105.3,,
10/06/2011,102,104.4,161.59,107.51,1507,98.25,117.1,60.36,122.09,1.42,1.36,105.3,,
13/06/2011,101.7,104.4,161.79,107.17,1487,96.84,115.7,59.93,121.11,1.4,1.35,103.8,,
14/06/2011,101.2,104.1,161.49,106.76,1468,96.04,115.5,60.2,122.48,1.4,1.35,104,,
15/06/2011,101.3,104,161.29,107.01,1488,97.51,116.4,60.19,121.69,1.4,1.36,105.2,,
16/06/2011,102,104.2,162.09,107.86,1472,95.52,115.1,59.7,121.54,1.37,1.33,104.2,,
17/06/2011,102.3,104,161.69,107.48,1456,95.39,114.7,60.14,121.56,1.38,1.33,104.7,,
20/06/2011,102.3,104.2,162.09,107.18,1445,94.2,113.9,59.71,121.35,1.37,1.32,104.2,,
21/06/2011,102.4,103.9,161.59,106.77,1462,95.66,114.8,60.44,123.68,1.39,1.33,105.5,,
