Date,Bonds - Global Governments,Bonds - UK Corporate,Bonds - UK Government All Stocks,Bonds - UK Government Long Duration,Commodities - Gold,Commodities - Natural Resources,Equities - Emerging Markets,Equities - Global Large Cap,Equities - Global Small Cap,Equities - UK Large Cap,Equities - UK Mid Cap,Property
06/05/2011,1,1,1,1,1,1,1,1,1,1,1,1
09/05/2011,0.999004975,1,1.000624649,1.004249292,1.005901639,1,1.011111111,0.998714033,1.010309278,1.007042254,1.007407407,0.998123827
10/05/2011,1.001992032,1.000960615,1,0.999435825,1.012385919,1.014347346,1.005071851,1.012232416,1.008879888,1.013986014,1.007352941,1.006578947
11/05/2011,0.990656064,0.996161228,0.995630189,0.995201806,0.99613651,0.996043521,0.997476871,0.987915408,0.98409512,1,1.00729927,1
12/05/2011,1.010435481,1.003853565,1.00438899,1.00453772,0.964447317,0.971300894,0.989881956,0.996459038,1.008943982,0.979310345,0.985507246,0.993464052
13/05/2011,1.002979146,0.998080614,0.997502965,0.999435347,1.00536193,1.006543298,1.005962521,1.013083508,0.995412131,1.014084507,1.007352941,1.008458647
16/05/2011,1.001980198,1.002884615,1.003129107,0.996986817,0.983333333,0.986896902,0.986452159,0.992028061,0.989063354,0.986111111,0.98540146,0.989748369
17/05/2011,0.992094862,0.997123682,0.996880654,1.00245561,1.009491525,1.003190613,0.997424893,0.994535519,0.99415528,1.007042254,1.007407407,1
18/05/2011,1.008964143,1.002884615,1.002503286,0.996608253,1.009402283,1.005027188,1.011187608,1.010180995,1.017081115,0.993006993,0.992647059,1.010357815
19/05/2011,0.993089832,0.996164909,0.995630189,0.999716393,1.012641384,1.016639445,1.002553191,1.007358823,1.000937354,1.014084507,1.014814815,1.007455732
20/05/2011,1.000994036,1.003849856,1.005015988,1.005200946,0.995400788,0.995481474,0.995755518,0.984913451,0.993678789,1,1,0.999074931
23/05/2011,1.000993049,1.002876318,1.004367085,1.004797742,0.99339934,0.984264676,0.983802217,0.992099323,0.986648865,0.979166667,0.98540146,0.984259259
24/05/2011,1,0.997131931,0.99813653,0.997753019,1.006644518,1.006046321,1.001733102,1.002437835,0.996656849,1,1.007407407,1.000940734
25/05/2011,0.995039683,1,1.000622316,1.004034907,1.003960396,0.998472038,0.998269896,0.989461738,1,1,0.992647059,0.995300752
26/05/2011,0.998005982,1,1.001243858,1.005420561,1.008547009,1.00958988,1.001733102,1.000491562,1.004153023,1.007092199,1,1.000944287
27/05/2011,1,1,1.000621157,1.000743633,1.003259452,1.004042037,1.00432526,1.006714707,1.002465601,1.007042254,1.007407407,1.005660377
30/05/2011,1,1,1,1,1,1,1,1,1,1,1,1
31/05/2011,0.995304695,0.999041227,1.000620771,1.000464425,1.016894087,1.01147343,1.015503876,1.009598178,1.012297683,1.013986014,1.014705882,1.010318949
01/06/2011,1.006724882,1.001919386,1.002481544,1.005013462,1.005750799,1.005970149,1.007633588,1.003867225,0.988400345,1,1,1.008356546
02/06/2011,1.008973081,1.001915709,1.0012377,0.996489607,0.985387548,0.977151335,0.98989899,0.988443018,0.998969154,0.979310345,0.992753623,0.984346225
03/06/2011,1.005928854,0.999043977,0.999381915,0.997496987,0.996776273,1.000101225,1.007653061,0.993666775,0.990633434,0.992957746,1,0.998129093
06/06/2011,0.998035363,0.999043062,0.999381533,0.998327138,0.992884864,0.994635628,0.989873418,0.994770387,1,1.007092199,1,0.995313964
07/06/2011,0.998031496,0.998084291,0.996905749,0.989480544,0.990228013,0.995013738,0.997442455,0.994414326,0.987099359,1,1.00729927,0.995291902
08/06/2011,1.003944773,0.999040307,0.998758458,1.007338414,0.984210526,0.990591123,0.999145299,0.995869817,0.992369511,0.985915493,0.985507246,1.000946074
09/06/2011,0.997053045,1.00192123,1.003729256,0.998132063,0.987967914,0.997728681,0.99572284,1.000497678,1.004335378,1,1,0.995274102
10/06/2011,1.004926108,1.000958773,1.000619233,1.005988584,1.01962111,1.016659768,1.006013746,1.00082905,0.994380192,1.014285714,1,1
13/06/2011,0.997058824,1,1.0012377,0.996837503,0.9867286,0.985648855,0.988044406,0.992876077,0.991973135,0.985915493,0.992647059,0.985754986
14/06/2011,0.995083579,0.997126437,0.998145744,0.996174303,0.987222596,0.991738951,0.998271392,1.004505256,1.01131203,1,1,1.001926782
15/06/2011,1.000988142,0.999039385,0.998761533,1.002341701,1.013623978,1.015306122,1.007792208,0.999833887,0.993549967,1,1.007407407,1.011538462
16/06/2011,1.006910168,1.001923077,1.00496001,1.007943183,0.989247312,0.979591837,0.988831615,0.991859113,0.99876736,0.978571429,0.977941176,0.990494297
17/06/2011,1.002941176,0.998080614,0.997532235,0.996476915,0.989130435,0.998639028,0.996524761,1.007370184,1.000164555,1.00729927,1,1.004798464
20/06/2011,1,1.001923077,1.00247387,0.997208783,0.992445055,0.987524898,0.993025283,0.992850017,0.998272458,0.992753623,0.992481203,0.995224451
21/06/2011,1.000977517,0.997120921,0.996915294,0.996174659,1.011764706,1.015498938,1.007901668,1.012225758,1.019200659,1.01459854,1.007575758,1.012476008
22/06/2011,1.00390625,1.003849856,1.004331951,1.000561956,1.019835841,1.013067113,1.005226481,1.013236267,1.003800129,1,1,1.003791469
23/06/2011,1.004863813,0.999041227,0.996919095,1.004118693,1.011401744,0.99721391,1,0.988569562,1.000322191,0.992805755,0.992481203,1.003777148
24/06/2011,1.000968054,1,1.003090426,1.00344924,0.99137931,1.000827815,1.005199307,1.004955401,0.996698607,1,1,0.997177799
27/06/2011,0.999032882,1.000959693,1.001848543,0.999814195,0.981270903,0.989350703,0.997413793,0.994904668,0.999757635,1,1,0.996226415
28/06/2011,1.001936108,0.996164909,0.995694692,0.986898346,1.006816633,1.009300867,1.008643042,1.010242855,1.013010101,1.007246377,1,1.005681818
29/06/2011,0.995169082,0.991337825,0.990116746,0.993880049,1.01760325,1.026920688,1.01285347,1.006704824,1.010848756,1.021582734,1.022727273,1.011299435
30/06/2011,1.004854369,1.005825243,1.004990954,0.997631679,1.010645376,1.009276064,1.010152284,1.020955166,1.01010101,1,1.007407407,1.008379888
01/07/2011,0.997101449,0.997104247,0.995654603,0.999240338,1.000658328,1.007992008,1.004187605,0.995704057,1.011796875,1.021126761,1.007352941,1.001846722
04/07/2011,0.995155039,1.000968054,1.00062348,1.002850898,0.996052632,1.004955401,1.009174312,1.01550016,1,1.006896552,1.01459854,1.010138249
05/07/2011,0.99707887,1.001934236,1.001246184,1.002084715,0.995376486,0.998027613,1,0.990401259,1.001389854,1,1,1
06/07/2011,1.00390625,1.002895753,1.003733898,1.00643026,1.01459854,1.006916996,1,1.002542104,1.008250443,0.993150685,1,1.008211679
07/07/2011,1,1,1,0.995020201,1.014388489,1.004906771,1.000826446,1.015847861,1.009253594,1.006896552,1,1.00361991
08/07/2011,0.998054475,1,1,1.011425873,1.008381689,1.010742188,1.008257638,0.989079563,0.989921952,1.006849315,1.007194245,1.009918846
11/07/2011,1.005847953,1.006737247,1.009300019,1.008869387,0.990409207,0.985507246,0.982800983,0.992113565,0.987063686,0.979591837,0.978571429,0.986607143
12/07/2011,1.011627907,1.003824092,1.006757172,1.001203035,0.991607489,0.984313725,0.983333333,0.993004769,0.993640946,0.979166667,0.97810219,0.990045249
13/07/2011,0.995210728,0.994285714,0.993288181,0.992235881,1.03125,1.010956175,1.001694915,0.993595901,1.000624366,1.007092199,1.014925373,1.006398537
14/07/2011,0.992300289,1,1.000614288,1.002421984,1.017045455,0.99408867,0.995769882,0.999516597,0.98658451,1,0.992647059,0.982742961
15/07/2011,0.999030068,1,1.000613911,1.004460552,1.00248293,0.993062438,0.996601529,0.992906658,1.002371729,0.992957746,1,0.993530499
18/07/2011,0.999029126,1.002873563,1.004294742,1.005273383,1.00619195,1.000998004,0.99488491,0.993992531,0.991955202,1,0.985185185,1
19/07/2011,1.000971817,0.99713467,0.997556357,0.997883306,1.020307692,1.003988036,1.000856898,1.004737014,1.008030532,0.992907801,1,1.000930233
