,Date,Open,High,Low,Close
0,2011-05-06,104.1,104.1,104.1,104.1
1,2011-05-09,104.1,104.1,104.1,104.1
2,2011-05-10,104.2,104.2,104.2,104.2
3,2011-05-11,103.8,103.8,103.8,103.8
4,2011-05-12,104.2,104.2,104.2,104.2
5,2011-05-13,104.0,104.0,104.0,104.0
6,2011-05-16,104.3,104.3,104.3,104.3
7,2011-05-17,104.0,104.0,104.0,104.0
8,2011-05-18,104.3,104.3,104.3,104.3
9,2011-05-19,103.9,103.9,103.9,103.9
10,2011-05-20,104.3,104.3,104.3,104.3
11,2011-05-23,104.6,104.6,104.6,104.6
12,2011-05-24,104.3,104.3,104.3,104.3
13,2011-05-25,104.3,104.3,104.3,104.3
14,2011-05-26,104.3,104.3,104.3,104.3
15,2011-05-27,104.3,104.3,104.3,104.3
16,2011-05-30,104.3,104.3,104.3,104.3
17,2011-05-31,104.2,104.2,104.2,104.2
18,2011-06-01,104.4,104.4,104.4,104.4
19,2011-06-02,104.6,104.6,104.6,104.6
20,2011-06-03,104.5,104.5,104.5,104.5
21,2011-06-06,104.4,104.4,104.4,104.4
22,2011-06-07,104.2,104.2,104.2,104.2
23,2011-06-08,104.1,104.1,104.1,104.1
24,2011-06-09,104.3,104.3,104.3,104.3
25,2011-06-10,104.4,104.4,104.4,104.4
26,2011-06-13,104.4,104.4,104.4,104.4
27,2011-06-14,104.1,104.1,104.1,104.1
28,2011-06-15,104.0,104.0,104.0,104.0
29,2011-06-16,104.2,104.2,104.2,104.2
30,2011-06-17,104.0,104.0,104.0,104.0
31,2011-06-20,104.2,104.2,104.2,104.2
32,2011-06-21,103.9,103.9,103.9,103.9
33,2011-06-22,104.3,104.3,104.3,104.3
34,2011-06-23,104.2,104.2,104.2,104.2
35,2011-06-24,104.2,104.2,104.2,104.2
36,2011-06-27,104.3,104.3,104.3,104.3
37,2011-06-28,103.9,103.9,103.9,103.9
38,2011-06-29,103.0,103.0,103.0,103.0
39,2011-06-30,103.6,103.6,103.6,103.6
40,2011-07-01,103.3,103.3,103.3,103.3
41,2011-07-04,103.4,103.4,103.4,103.4
42,2011-07-05,103.6,103.6,103.6,103.6
43,2011-07-06,103.9,103.9,103.9,103.9
44,2011-07-07,103.9,103.9,103.9,103.9
45,2011-07-08,103.9,103.9,103.9,103.9
46,2011-07-11,104.6,104.6,104.6,104.6
47,2011-07-12,105.0,105.0,105.0,105.0
48,2011-07-13,104.4,104.4,104.4,104.4
49,2011-07-14,104.4,104.4,104.4,104.4
50,2011-07-15,104.4,104.4,104.4,104.4
51,2011-07-18,104.7,104.7,104.7,104.7
52,2011-07-19,104.4,104.4,104.4,104.4
53,2011-07-20,104.3,104.3,104.3,104.3
54,2011-07-21,104.4,104.4,104.4,104.4
55,2011-07-22,104.2,104.2,104.2,104.2
56,2011-07-25,105.0,105.0,105.0,105.0
57,2011-07-26,104.9,104.9,104.9,104.9
58,2011-07-27,105.0,105.0,105.0,105.0
59,2011-07-28,105.3,105.3,105.3,105.3
60,2011-07-29,105.5,105.5,105.5,105.5
61,2011-08-01,105.6,105.6,105.6,105.6
62,2011-08-02,106.0,106.0,106.0,106.0
63,2011-08-03,106.2,106.2,106.2,106.2
64,2011-08-04,106.4,106.4,106.4,106.4
65,2011-08-05,106.4,106.4,106.4,106.4
66,2011-08-08,106.4,106.4,106.4,106.4
67,2011-08-09,106.0,106.0,106.0,106.0
68,2011-08-10,105.8,105.8,105.8,105.8
69,2011-08-11,106.0,106.0,106.0,106.0
70,2011-08-12,105.4,105.4,105.4,105.4
71,2011-08-15,105.5,105.5,105.5,105.5
72,2011-08-16,105.4,105.4,105.4,105.4
73,2011-08-17,105.8,105.8,105.8,105.8
74,2011-08-18,106.7,106.7,106.7,106.7
75,2011-08-19,106.5,106.5,106.5,106.5
76,2011-08-22,106.2,106.2,106.2,106.2
77,2011-08-23,106.0,106.0,106.0,106.0
78,2011-08-24,105.6,105.6,105.6,105.6
79,2011-08-25,105.0,105.0,105.0,105.0
80,2011-08-26,105.3,105.3,105.3,105.3
81,2011-08-29,105.3,105.3,105.3,105.3
82,2011-08-30,104.9,104.9,104.9,104.9
83,2011-08-31,104.9,104.9,104.9,104.9
84,2011-09-01,105.0,105.0,105.0,105.0
85,2011-09-02,105.2,105.2,105.2,105.2
86,2011-09-05,106.3,106.3,106.3,106.3
87,2011-09-06,105.5,105.5,105.5,105.5
88,2011-09-07,105.4,105.4,105.4,105.4
89,2011-09-08,105.5,105.5,105.5,105.5
90,2011-09-09,105.5,105.5,105.5,105.5
91,2011-09-12,105.7,105.7,105.7,105.7
92,2011-09-13,105.4,105.4,105.4,105.4
93,2011-09-14,105.0,105.0,105.0,105.0
94,2011-09-15,104.3,104.3,104.3,104.3
95,2011-09-16,104.5,104.5,104.5,104.5
96,2011-09-19,105.3,105.3,105.3,105.3
97,2011-09-20,105.2,105.2,105.2,105.2
98,2011-09-21,105.0,105.0,105.0,105.0
99,2011-09-22,105.3,105.3,105.3,105.3
100,2011-09-23,105.4,105.4,105.4,105.4
101,2011-09-26,104.6,104.6,104.6,104.6
102,2011-09-27,103.9,103.9,103.9,103.9
103,2011-09-28,104.0,104.0,104.0,104.0
104,2011-09-29,104.4,104.4,104.4,104.4
105,2011-09-30,104.4,104.4,104.4,104.4
106,2011-10-03,104.8,104.8,104.8,104.8
107,2011-10-04,105.8,105.8,105.8,105.8
108,2011-10-05,104.7,104.7,104.7,104.7
109,2011-10-06,105.3,105.3,105.3,105.3
110,2011-10-07,104.6,104.6,104.6,104.6
111,2011-10-10,104.4,104.4,104.4,104.4
112,2011-10-11,104.0,104.0,104.0,104.0
113,2011-10-12,103.6,103.6,103.6,103.6
114,2011-10-13,104.2,104.2,104.2,104.2
115,2011-10-14,104.1,104.1,104.1,104.1
116,2011-10-17,104.5,104.5,104.5,104.5
117,2011-10-18,104.8,104.8,104.8,104.8
118,2011-10-19,104.8,104.8,104.8,104.8
119,2011-10-20,105.1,105.1,105.1,105.1
120,2011-10-21,104.7,104.7,104.7,104.7
121,2011-10-24,104.9,104.9,104.9,104.9
122,2011-10-25,104.5,104.5,104.5,104.5
123,2011-10-26,105.4,105.4,105.4,105.4
124,2011-10-27,105.3,105.3,105.3,105.3
