,Date,Open,High,Low,Close
0,2011-05-06,117.0,117.0,117.0,117.0
1,2011-05-09,118.3,118.3,118.3,118.3
2,2011-05-10,118.9,118.9,118.9,118.9
3,2011-05-11,118.6,118.6,118.6,118.6
4,2011-05-12,117.4,117.4,117.4,117.4
5,2011-05-13,118.1,118.1,118.1,118.1
6,2011-05-16,116.5,116.5,116.5,116.5
7,2011-05-17,116.2,116.2,116.2,116.2
8,2011-05-18,117.5,117.5,117.5,117.5
9,2011-05-19,117.8,117.8,117.8,117.8
10,2011-05-20,117.3,117.3,117.3,117.3
11,2011-05-23,115.4,115.4,115.4,115.4
12,2011-05-24,115.6,115.6,115.6,115.6
13,2011-05-25,115.4,115.4,115.4,115.4
14,2011-05-26,115.6,115.6,115.6,115.6
15,2011-05-27,116.1,116.1,116.1,116.1
16,2011-05-30,116.1,116.1,116.1,116.1
17,2011-05-31,117.9,117.9,117.9,117.9
18,2011-06-01,118.8,118.8,118.8,118.8
19,2011-06-02,117.6,117.6,117.6,117.6
20,2011-06-03,118.5,118.5,118.5,118.5
21,2011-06-06,117.3,117.3,117.3,117.3
22,2011-06-07,117.0,117.0,117.0,117.0
23,2011-06-08,116.9,116.9,116.9,116.9
24,2011-06-09,116.4,116.4,116.4,116.4
25,2011-06-10,117.1,117.1,117.1,117.1
26,2011-06-13,115.7,115.7,115.7,115.7
27,2011-06-14,115.5,115.5,115.5,115.5
28,2011-06-15,116.4,116.4,116.4,116.4
29,2011-06-16,115.1,115.1,115.1,115.1
30,2011-06-17,114.7,114.7,114.7,114.7
31,2011-06-20,113.9,113.9,113.9,113.9
32,2011-06-21,114.8,114.8,114.8,114.8
33,2011-06-22,115.4,115.4,115.4,115.4
34,2011-06-23,115.4,115.4,115.4,115.4
35,2011-06-24,116.0,116.0,116.0,116.0
36,2011-06-27,115.7,115.7,115.7,115.7
37,2011-06-28,116.7,116.7,116.7,116.7
38,2011-06-29,118.2,118.2,118.2,118.2
39,2011-06-30,119.4,119.4,119.4,119.4
40,2011-07-01,119.9,119.9,119.9,119.9
41,2011-07-04,121.0,121.0,121.0,121.0
42,2011-07-05,121.0,121.0,121.0,121.0
43,2011-07-06,121.0,121.0,121.0,121.0
44,2011-07-07,121.1,121.1,121.1,121.1
45,2011-07-08,122.1,122.1,122.1,122.1
46,2011-07-11,120.0,120.0,120.0,120.0
47,2011-07-12,118.0,118.0,118.0,118.0
48,2011-07-13,118.2,118.2,118.2,118.2
49,2011-07-14,117.7,117.7,117.7,117.7
50,2011-07-15,117.3,117.3,117.3,117.3
51,2011-07-18,116.7,116.7,116.7,116.7
52,2011-07-19,116.8,116.8,116.8,116.8
53,2011-07-20,117.7,117.7,117.7,117.7
54,2011-07-21,116.9,116.9,116.9,116.9
55,2011-07-22,118.0,118.0,118.0,118.0
56,2011-07-25,117.4,117.4,117.4,117.4
57,2011-07-26,117.8,117.8,117.8,117.8
58,2011-07-27,117.9,117.9,117.9,117.9
59,2011-07-28,116.9,116.9,116.9,116.9
60,2011-07-29,116.1,116.1,116.1,116.1
61,2011-08-01,117.5,117.5,117.5,117.5
62,2011-08-02,116.1,116.1,116.1,116.1
63,2011-08-03,113.3,113.3,113.3,113.3
64,2011-08-04,111.8,111.8,111.8,111.8
65,2011-08-05,106.8,106.8,106.8,106.8
66,2011-08-08,103.5,103.5,103.5,103.5
67,2011-08-09,98.61,98.61,98.61,98.61
68,2011-08-10,103.0,103.0,103.0,103.0
69,2011-08-11,102.2,102.2,102.2,102.2
70,2011-08-12,102.7,102.7,102.7,102.7
71,2011-08-15,104.4,104.4,104.4,104.4
72,2011-08-16,104.1,104.1,104.1,104.1
73,2011-08-17,104.4,104.4,104.4,104.4
74,2011-08-18,102.6,102.6,102.6,102.6
75,2011-08-19,98.8,98.8,98.8,98.8
76,2011-08-22,100.0,100.0,100.0,100.0
77,2011-08-23,100.9,100.9,100.9,100.9
78,2011-08-24,100.2,100.2,100.2,100.2
79,2011-08-25,101.7,101.7,101.7,101.7
80,2011-08-26,101.0,101.0,101.0,101.0
81,2011-08-29,101.0,101.0,101.0,101.0
82,2011-08-30,104.7,104.7,104.7,104.7
83,2011-08-31,106.2,106.2,106.2,106.2
84,2011-09-01,107.8,107.8,107.8,107.8
85,2011-09-02,107.1,107.1,107.1,107.1
86,2011-09-05,104.5,104.5,104.5,104.5
87,2011-09-06,104.2,104.2,104.2,104.2
88,2011-09-07,106.9,106.9,106.9,106.9
89,2011-09-08,107.0,107.0,107.0,107.0
90,2011-09-09,106.8,106.8,106.8,106.8
91,2011-09-12,103.1,103.1,103.1,103.1
92,2011-09-13,102.5,102.5,102.5,102.5
93,2011-09-14,103.0,103.0,103.0,103.0
94,2011-09-15,103.7,103.7,103.7,103.7
95,2011-09-16,104.6,104.6,104.6,104.6
96,2011-09-19,102.9,102.9,102.9,102.9
97,2011-09-20,103.0,103.0,103.0,103.0
98,2011-09-21,102.6,102.6,102.6,102.6
99,2011-09-22,97.69,97.69,97.69,97.69
100,2011-09-23,94.2,94.2,94.2,94.2
101,2011-09-26,94.63,94.63,94.63,94.63
102,2011-09-27,97.59,97.59,97.59,97.59
103,2011-09-28,97.8,97.8,97.8,97.8
104,2011-09-29,96.98,96.98,96.98,96.98
105,2011-09-30,95.7,95.7,95.7,95.7
106,2011-10-03,93.67,93.67,93.67,93.67
107,2011-10-04,91.81,91.81,91.81,91.81
108,2011-10-05,92.35,92.35,92.35,92.35
109,2011-10-06,95.68,95.68,95.68,95.68
110,2011-10-07,96.59,96.59,96.59,96.59
111,2011-10-10,96.67,96.67,96.67,96.67
112,2011-10-11,98.62,98.62,98.62,98.62
113,2011-10-12,99.16,99.16,99.16,99.16
114,2011-10-13,100.4,100.4,100.4,100.4
115,2011-10-14,100.5,100.5,100.5,100.5
116,2011-10-17,101.9,101.9,101.9,101.9
117,2011-10-18,98.86,98.86,98.86,98.86
118,2011-10-19,100.3,100.3,100.3,100.3
119,2011-10-20,98.66,98.66,98.66,98.66
120,2011-10-21,97.33,97.33,97.33,97.33
121,2011-10-24,99.38,99.38,99.38,99.38
122,2011-10-25,101.2,101.2,101.2,101.2
123,2011-10-26,100.9,100.9,100.9,100.9
124,2011-10-27,104.0,104.0,104.0,104.0
125,2011-10-28,105.5,105.5,105.5,105.5
126,2011-10-31,105.5,105.5,105.5,105.5
127,2011-11-01,101.9,101.9,101.9,101.9
128,2011-11-02,103.0,103.0,103.0,103.0
129,2011-11-03,102.5,102.5,102.5,102.5
130,2011-11-04,104.5,104.5,104.5,104.5
131,2011-11-07,103.1,103.1,103.1,103.1
132,2011-11-08,104.3,104.3,104.3,104.3
133,2011-11-09,103.7,103.7,103.7,103.7
134,2011-11-10,102.2,102.2,102.2,102.2
135,2011-11-11,102.3,102.3,102.3,102.3
136,2011-11-14,103.8,103.8,103.8,103.8
137,2011-11-15,102.7,102.7,102.7,102.7
138,2011-11-16,102.8,102.8,102.8,102.8
139,2011-11-17,102.1,102.1,102.1,102.1
140,2011-11-18,100.3,100.3,100.3,100.3
141,2011-11-21,98.43,98.43,98.43,98.43
142,2011-11-22,98.71,98.71,98.71,98.71
143,2011-11-23,96.64,96.64,96.64,96.64
144,2011-11-24,96.89,96.89,96.89,96.89
145,2011-11-25,95.44,95.44,95.44,95.44
146,2011-11-28,97.27,97.27,97.27,97.27
147,2011-11-29,98.57,98.57,98.57,98.57
148,2011-11-30,98.6,98.6,98.6,98.6
149,2011-12-01,102.0,102.0,102.0,102.0
150,2011-12-02,103.6,103.6,103.6,103.6
151,2011-12-05,104.0,104.0,104.0,104.0
152,2011-12-06,103.2,103.2,103.2,103.2
