,Date,Open,High,Low,Close
0,2011-05-06,127.07,127.07,127.07,127.07
1,2011-05-09,128.38,128.38,128.38,128.38
2,2011-05-10,129.52,129.52,129.52,129.52
3,2011-05-11,127.46,127.46,127.46,127.46
4,2011-05-12,128.6,128.6,128.6,128.6
5,2011-05-13,128.01,128.01,128.01,128.01
6,2011-05-16,126.61,126.61,126.61,126.61
7,2011-05-17,125.87,125.87,125.87,125.87
8,2011-05-18,128.02,128.02,128.02,128.02
9,2011-05-19,128.14,128.14,128.14,128.14
10,2011-05-20,127.33,127.33,127.33,127.33
11,2011-05-23,125.63,125.63,125.63,125.63
12,2011-05-24,125.21,125.21,125.21,125.21
13,2011-05-25,125.21,125.21,125.21,125.21
14,2011-05-26,125.73,125.73,125.73,125.73
15,2011-05-27,126.04,126.04,126.04,126.04
16,2011-05-30,126.04,126.04,126.04,126.04
17,2011-05-31,127.59,127.59,127.59,127.59
18,2011-06-01,126.11,126.11,126.11,126.11
19,2011-06-02,125.98,125.98,125.98,125.98
20,2011-06-03,124.8,124.8,124.8,124.8
21,2011-06-06,124.8,124.8,124.8,124.8
22,2011-06-07,123.19,123.19,123.19,123.19
23,2011-06-08,122.25,122.25,122.25,122.25
24,2011-06-09,122.78,122.78,122.78,122.78
25,2011-06-10,122.09,122.09,122.09,122.09
26,2011-06-13,121.11,121.11,121.11,121.11
27,2011-06-14,122.48,122.48,122.48,122.48
28,2011-06-15,121.69,121.69,121.69,121.69
29,2011-06-16,121.54,121.54,121.54,121.54
30,2011-06-17,121.56,121.56,121.56,121.56
31,2011-06-20,121.35,121.35,121.35,121.35
32,2011-06-21,123.68,123.68,123.68,123.68
33,2011-06-22,124.15,124.15,124.15,124.15
34,2011-06-23,124.19,124.19,124.19,124.19
35,2011-06-24,123.78,123.78,123.78,123.78
36,2011-06-27,123.75,123.75,123.75,123.75
37,2011-06-28,125.36,125.36,125.36,125.36
38,2011-06-29,126.72,126.72,126.72,126.72
39,2011-06-30,128.0,128.0,128.0,128.0
40,2011-07-01,129.51,129.51,129.51,129.51
41,2011-07-04,129.51,129.51,129.51,129.51
42,2011-07-05,129.69,129.69,129.69,129.69
43,2011-07-06,130.76,130.76,130.76,130.76
44,2011-07-07,131.97,131.97,131.97,131.97
45,2011-07-08,130.64,130.64,130.64,130.64
46,2011-07-11,128.95,128.95,128.95,128.95
47,2011-07-12,128.13,128.13,128.13,128.13
48,2011-07-13,128.21,128.21,128.21,128.21
49,2011-07-14,126.49,126.49,126.49,126.49
50,2011-07-15,126.79,126.79,126.79,126.79
51,2011-07-18,125.77,125.77,125.77,125.77
52,2011-07-19,126.78,126.78,126.78,126.78
53,2011-07-20,127.36,127.36,127.36,127.36
54,2011-07-21,127.44,127.44,127.44,127.44
55,2011-07-22,128.04,128.04,128.04,128.04
56,2011-07-25,127.33,127.33,127.33,127.33
57,2011-07-26,126.35,126.35,126.35,126.35
58,2011-07-27,123.99,123.99,123.99,123.99
59,2011-07-28,123.25,123.25,123.25,123.25
60,2011-07-29,122.28,122.28,122.28,122.28
61,2011-08-01,122.28,122.28,122.28,122.28
62,2011-08-02,119.35,119.35,119.35,119.35
63,2011-08-03,118.02,118.02,118.02,118.02
64,2011-08-04,112.33,112.33,112.33,112.33
65,2011-08-05,109.47,109.47,109.47,109.47
66,2011-08-08,102.53,102.53,102.53,102.53
67,2011-08-09,107.35,107.35,107.35,107.35
68,2011-08-10,105.46,105.46,105.46,105.46
69,2011-08-11,108.64,108.64,108.64,108.64
70,2011-08-12,109.38,109.38,109.38,109.38
71,2011-08-15,111.3,111.3,111.3,111.3
72,2011-08-16,109.8,109.8,109.8,109.8
73,2011-08-17,108.99,108.99,108.99,108.99
74,2011-08-18,104.21,104.21,104.21,104.21
75,2011-08-19,102.03,102.03,102.03,102.03
76,2011-08-22,102.59,102.59,102.59,102.59
77,2011-08-23,105.17,105.17,105.17,105.17
78,2011-08-24,106.68,106.68,106.68,106.68
79,2011-08-25,106.1,106.1,106.1,106.1
80,2011-08-26,108.03,108.03,108.03,108.03
81,2011-08-29,110.5,110.5,110.5,110.5
82,2011-08-30,112.14,112.14,112.14,112.14
83,2011-08-31,113.13,113.13,113.13,113.13
84,2011-09-01,112.52,112.52,112.52,112.52
85,2011-09-02,109.45,109.45,109.45,109.45
86,2011-09-05,109.45,109.45,109.45,109.45
87,2011-09-06,108.16,108.16,108.16,108.16
88,2011-09-07,112.0,112.0,112.0,112.0
89,2011-09-08,110.38,110.38,110.38,110.38
90,2011-09-09,108.55,108.55,108.55,108.55
91,2011-09-12,108.23,108.23,108.23,108.23
92,2011-09-13,109.8,109.8,109.8,109.8
93,2011-09-14,111.18,111.18,111.18,111.18
94,2011-09-15,112.61,112.61,112.61,112.61
95,2011-09-16,113.41,113.41,113.41,113.41
96,2011-09-19,112.51,112.51,112.51,112.51
97,2011-09-20,111.05,111.05,111.05,111.05
98,2011-09-21,109.15,109.15,109.15,109.15
99,2011-09-22,106.46,106.46,106.46,106.46
100,2011-09-23,106.2,106.2,106.2,106.2
101,2011-09-26,106.1,106.1,106.1,106.1
102,2011-09-27,108.12,108.12,108.12,108.12
103,2011-09-28,106.16,106.16,106.16,106.16
104,2011-09-29,106.8,106.8,106.8,106.8
105,2011-09-30,105.0,105.0,105.0,105.0
106,2011-10-03,101.68,101.68,101.68,101.68
