,Date,Open,High,Low,Close
0,2011-05-06,1.42,1.42,1.42,1.42
1,2011-05-09,1.43,1.43,1.43,1.43
2,2011-05-10,1.45,1.45,1.45,1.45
3,2011-05-11,1.45,1.45,1.45,1.45
4,2011-05-12,1.42,1.42,1.42,1.42
5,2011-05-13,1.44,1.44,1.44,1.44
6,2011-05-16,1.42,1.42,1.42,1.42
7,2011-05-17,1.43,1.43,1.43,1.43
8,2011-05-18,1.42,1.42,1.42,1.42
9,2011-05-19,1.44,1.44,1.44,1.44
10,2011-05-20,1.44,1.44,1.44,1.44
11,2011-05-23,1.41,1.41,1.41,1.41
12,2011-05-24,1.41,1.41,1.41,1.41
13,2011-05-25,1.41,1.41,1.41,1.41
14,2011-05-26,1.42,1.42,1.42,1.42
15,2011-05-27,1.43,1.43,1.43,1.43
16,2011-05-30,1.43,1.43,1.43,1.43
17,2011-05-31,1.45,1.45,1.45,1.45
18,2011-06-01,1.45,1.45,1.45,1.45
19,2011-06-02,1.42,1.42,1.42,1.42
20,2011-06-03,1.41,1.41,1.41,1.41
21,2011-06-06,1.42,1.42,1.42,1.42
22,2011-06-07,1.42,1.42,1.42,1.42
23,2011-06-08,1.4,1.4,1.4,1.4
24,2011-06-09,1.4,1.4,1.4,1.4
25,2011-06-10,1.42,1.42,1.42,1.42
26,2011-06-13,1.4,1.4,1.4,1.4
27,2011-06-14,1.4,1.4,1.4,1.4
28,2011-06-15,1.4,1.4,1.4,1.4
29,2011-06-16,1.37,1.37,1.37,1.37
30,2011-06-17,1.38,1.38,1.38,1.38
31,2011-06-20,1.37,1.37,1.37,1.37
32,2011-06-21,1.39,1.39,1.39,1.39
33,2011-06-22,1.39,1.39,1.39,1.39
34,2011-06-23,1.38,1.38,1.38,1.38
35,2011-06-24,1.38,1.38,1.38,1.38
36,2011-06-27,1.38,1.38,1.38,1.38
37,2011-06-28,1.39,1.39,1.39,1.39
38,2011-06-29,1.42,1.42,1.42,1.42
39,2011-06-30,1.42,1.42,1.42,1.42
40,2011-07-01,1.45,1.45,1.45,1.45
41,2011-07-04,1.46,1.46,1.46,1.46
42,2011-07-05,1.46,1.46,1.46,1.46
43,2011-07-06,1.45,1.45,1.45,1.45
44,2011-07-07,1.46,1.46,1.46,1.46
45,2011-07-08,1.47,1.47,1.47,1.47
46,2011-07-11,1.44,1.44,1.44,1.44
