,Date,Open,High,Low,Close
0,2011-05-06,1.35,1.35,1.35,1.35
1,2011-05-09,1.36,1.36,1.36,1.36
2,2011-05-10,1.37,1.37,1.37,1.37
3,2011-05-11,1.38,1.38,1.38,1.38
4,2011-05-12,1.36,1.36,1.36,1.36
5,2011-05-13,1.37,1.37,1.37,1.37
6,2011-05-16,1.35,1.35,1.35,1.35
7,2011-05-17,1.36,1.36,1.36,1.36
8,2011-05-18,1.35,1.35,1.35,1.35
9,2011-05-19,1.37,1.37,1.37,1.37
10,2011-05-20,1.37,1.37,1.37,1.37
11,2011-05-23,1.35,1.35,1.35,1.35
12,2011-05-24,1.36,1.36,1.36,1.36
13,2011-05-25,1.35,1.35,1.35,1.35
14,2011-05-26,1.35,1.35,1.35,1.35
15,2011-05-27,1.36,1.36,1.36,1.36
16,2011-05-30,1.36,1.36,1.36,1.36
17,2011-05-31,1.38,1.38,1.38,1.38
18,2011-06-01,1.38,1.38,1.38,1.38
19,2011-06-02,1.37,1.37,1.37,1.37
20,2011-06-03,1.37,1.37,1.37,1.37
21,2011-06-06,1.37,1.37,1.37,1.37
22,2011-06-07,1.38,1.38,1.38,1.38
23,2011-06-08,1.36,1.36,1.36,1.36
24,2011-06-09,1.36,1.36,1.36,1.36
25,2011-06-10,1.36,1.36,1.36,1.36
26,2011-06-13,1.35,1.35,1.35,1.35
27,2011-06-14,1.35,1.35,1.35,1.35
28,2011-06-15,1.36,1.36,1.36,1.36
29,2011-06-16,1.33,1.33,1.33,1.33
30,2011-06-17,1.33,1.33,1.33,1.33
31,2011-06-20,1.32,1.32,1.32,1.32
32,2011-06-21,1.33,1.33,1.33,1.33
33,2011-06-22,1.33,1.33,1.33,1.33
34,2011-06-23,1.32,1.32,1.32,1.32
35,2011-06-24,1.32,1.32,1.32,1.32
36,2011-06-27,1.32,1.32,1.32,1.32
37,2011-06-28,1.32,1.32,1.32,1.32
38,2011-06-29,1.35,1.35,1.35,1.35
39,2011-06-30,1.36,1.36,1.36,1.36
40,2011-07-01,1.37,1.37,1.37,1.37
41,2011-07-04,1.39,1.39,1.39,1.39
42,2011-07-05,1.39,1.39,1.39,1.39
43,2011-07-06,1.39,1.39,1.39,1.39
44,2011-07-07,1.39,1.39,1.39,1.39
45,2011-07-08,1.4,1.4,1.4,1.4
46,2011-07-11,1.37,1.37,1.37,1.37
47,2011-07-12,1.34,1.34,1.34,1.34
48,2011-07-13,1.36,1.36,1.36,1.36
49,2011-07-14,1.35,1.35,1.35,1.35
50,2011-07-15,1.35,1.35,1.35,1.35
51,2011-07-18,1.33,1.33,1.33,1.33
52,2011-07-19,1.33,1.33,1.33,1.33
53,2011-07-20,1.34,1.34,1.34,1.34
54,2011-07-21,1.34,1.34,1.34,1.34
55,2011-07-22,1.36,1.36,1.36,1.36
56,2011-07-25,1.35,1.35,1.35,1.35
57,2011-07-26,1.36,1.36,1.36,1.36
58,2011-07-27,1.35,1.35,1.35,1.35
59,2011-07-28,1.33,1.33,1.33,1.33
60,2011-07-29,1.34,1.34,1.34,1.34
61,2011-08-01,1.34,1.34,1.34,1.34
62,2011-08-02,1.3,1.3,1.3,1.3
63,2011-08-03,1.28,1.28,1.28,1.28
64,2011-08-04,1.24,1.24,1.24,1.24
65,2011-08-05,1.19,1.19,1.19,1.19
66,2011-08-08,1.15,1.15,1.15,1.15
67,2011-08-09,1.13,1.13,1.13,1.13
