,Date,Open,High,Low,Close
0,2011-05-06,99.67,99.67,99.67,99.67
1,2011-05-09,99.67,99.67,99.67,99.67
2,2011-05-10,101.1,101.1,101.1,101.1
3,2011-05-11,100.7,100.7,100.7,100.7
4,2011-05-12,97.81,97.81,97.81,97.81
5,2011-05-13,98.46,98.46,98.46,98.46
6,2011-05-16,97.17,97.17,97.17,97.17
7,2011-05-17,97.48,97.48,97.48,97.48
8,2011-05-18,97.98,97.98,97.98,97.98
9,2011-05-19,99.61,99.61,99.61,99.61
10,2011-05-20,99.16,99.16,99.16,99.16
11,2011-05-23,97.61,97.61,97.61,97.61
12,2011-05-24,98.2,98.2,98.2,98.2
13,2011-05-25,98.04,98.04,98.04,98.04
14,2011-05-26,98.99,98.99,98.99,98.99
15,2011-05-27,99.39,99.39,99.39,99.39
16,2011-05-31,100.5,100.5,100.5,100.5
17,2011-06-01,101.2,101.2,101.2,101.2
18,2011-06-02,98.83,98.83,98.83,98.83
19,2011-06-03,98.84,98.84,98.84,98.84
20,2011-06-06,98.32,98.32,98.32,98.32
21,2011-06-07,97.83,97.83,97.83,97.83
22,2011-06-08,96.92,96.92,96.92,96.92
23,2011-06-09,96.7,96.7,96.7,96.7
24,2011-06-10,98.31,98.31,98.31,98.31
25,2011-06-13,96.9,96.9,96.9,96.9
26,2011-06-14,96.11,96.11,96.11,96.11
27,2011-06-15,97.57,97.57,97.57,97.57
28,2011-06-16,95.59,95.59,95.59,95.59
29,2011-06-17,95.46,95.46,95.46,95.46
30,2011-06-20,94.28,94.28,94.28,94.28
31,2011-06-21,95.74,95.74,95.74,95.74
32,2011-06-22,96.99,96.99,96.99,96.99
33,2011-06-23,96.72,96.72,96.72,96.72
34,2011-06-24,96.81,96.81,96.81,96.81
35,2011-06-27,95.78,95.78,95.78,95.78
36,2011-06-28,96.67,96.67,96.67,96.67
37,2011-06-29,99.28,99.28,99.28,99.28
38,2011-06-30,100.2,100.2,100.2,100.2
39,2011-07-01,101.0,101.0,101.0,101.0
40,2011-07-04,101.5,101.5,101.5,101.5
41,2011-07-05,101.3,101.3,101.3,101.3
42,2011-07-06,102.0,102.0,102.0,102.0
43,2011-07-07,102.6,102.6,102.6,102.6
44,2011-07-08,103.7,103.7,103.7,103.7
45,2011-07-11,102.1,102.1,102.1,102.1
46,2011-07-12,100.5,100.5,100.5,100.5
47,2011-07-13,101.7,101.7,101.7,101.7
48,2011-07-14,101.0,101.0,101.0,101.0
49,2011-07-15,100.3,100.3,100.3,100.3
50,2011-07-18,100.4,100.4,100.4,100.4
51,2011-07-19,100.8,100.8,100.8,100.8
52,2011-07-20,102.0,102.0,102.0,102.0
53,2011-07-21,101.4,101.4,101.4,101.4
54,2011-07-22,102.7,102.7,102.7,102.7
55,2011-07-25,102.2,102.2,102.2,102.2
56,2011-07-26,102.5,102.5,102.5,102.5
57,2011-07-27,102.1,102.1,102.1,102.1
58,2011-07-28,100.2,100.2,100.2,100.2
59,2011-07-29,99.57,99.57,99.57,99.57
60,2011-08-01,100.1,100.1,100.1,100.1
61,2011-08-02,98.0,98.0,98.0,98.0
62,2011-08-03,95.93,95.93,95.93,95.93
63,2011-08-04,93.83,93.83,93.83,93.83
64,2011-08-05,89.42,89.42,89.42,89.42
65,2011-08-08,86.29,86.29,86.29,86.29
66,2011-08-09,83.68,83.68,83.68,83.68
67,2011-08-10,87.9,87.9,87.9,87.9
68,2011-08-11,86.89,86.89,86.89,86.89
69,2011-08-12,88.82,88.82,88.82,88.82
70,2011-08-15,90.34,90.34,90.34,90.34
71,2011-08-16,89.33,89.33,89.33,89.33
72,2011-08-17,89.98,89.98,89.98,89.98
73,2011-08-18,87.75,87.75,87.75,87.75
74,2011-08-19,83.52,83.52,83.52,83.52
75,2011-08-22,85.3,85.3,85.3,85.3
76,2011-08-23,85.33,85.33,85.33,85.33
77,2011-08-24,85.67,85.67,85.67,85.67
78,2011-08-25,88.03,88.03,88.03,88.03
79,2011-08-26,87.06,87.06,87.06,87.06
80,2011-08-30,90.67,90.67,90.67,90.67
81,2011-08-31,92.04,92.04,92.04,92.04
82,2011-09-01,92.77,92.77,92.77,92.77
83,2011-09-02,91.48,91.48,91.48,91.48
84,2011-09-05,88.99,88.99,88.99,88.99
85,2011-09-06,88.95,88.95,88.95,88.95
86,2011-09-07,91.52,91.52,91.52,91.52
87,2011-09-08,92.95,92.95,92.95,92.95
