,Date,Open,High,Low,Close
0,2010-01-04,149.18,149.18,149.18,149.18
1,2010-01-05,149.28,149.28,149.28,149.28
2,2010-01-06,149.28,149.28,149.28,149.28
3,2010-01-07,148.78,148.78,148.78,148.78
4,2010-01-08,148.28,148.28,148.28,148.28
5,2010-01-11,148.98,148.98,148.98,148.98
6,2010-01-12,150.08,150.08,150.08,150.08
7,2010-01-13,149.48,149.48,149.48,149.48
8,2010-01-14,149.38,149.38,149.38,149.38
9,2010-01-15,149.68,149.68,149.68,149.68
10,2010-01-18,150.18,150.18,150.18,150.18
11,2010-01-19,149.38,149.38,149.38,149.38
12,2010-01-20,149.48,149.48,149.48,149.48
13,2010-01-21,149.38,149.38,149.38,149.38
14,2010-01-22,150.38,150.38,150.38,150.38
15,2010-01-25,149.98,149.98,149.98,149.98
16,2010-01-26,150.98,150.98,150.98,150.98
17,2010-01-27,150.38,150.38,150.38,150.38
18,2010-01-28,149.88,149.88,149.88,149.88
19,2010-01-29,150.08,150.08,150.08,150.08
20,2010-02-01,150.28,150.28,150.28,150.28
21,2010-02-02,150.38,150.38,150.38,150.38
22,2010-02-03,149.98,149.98,149.98,149.98
23,2010-02-04,150.68,150.68,150.68,150.68
24,2010-02-05,150.78,150.78,150.78,150.78
25,2010-02-08,150.18,150.18,150.18,150.18
26,2010-02-09,149.68,149.68,149.68,149.68
27,2010-02-10,150.08,150.08,150.08,150.08
28,2010-02-11,149.38,149.38,149.38,149.38
29,2010-02-12,149.08,149.08,149.08,149.08
30,2010-02-15,148.38,148.38,148.38,148.38
31,2010-02-16,148.88,148.88,148.88,148.88
32,2010-02-17,148.68,148.68,148.68,148.68
33,2010-02-18,148.38,148.38,148.38,148.38
34,2010-02-19,147.58,147.58,147.58,147.58
35,2010-02-22,147.38,147.38,147.38,147.38
36,2010-02-23,147.98,147.98,147.98,147.98
37,2010-02-24,148.58,148.58,148.58,148.58
38,2010-02-25,148.98,148.98,148.98,148.98
39,2010-02-26,149.18,149.18,149.18,149.18
40,2010-03-01,148.58,148.58,148.58,148.58
41,2010-03-02,149.28,149.28,149.28,149.28
42,2010-03-03,149.28,149.28,149.28,149.28
43,2010-03-04,149.78,149.78,149.78,149.78
44,2010-03-05,149.68,149.68,149.68,149.68
45,2010-03-08,148.78,148.78,148.78,148.78
46,2010-03-09,149.18,149.18,149.18,149.18
47,2010-03-10,149.48,149.48,149.48,149.48
48,2010-03-11,148.48,148.48,148.48,148.48
49,2010-03-12,148.58,148.58,148.58,148.58
50,2010-03-15,149.18,149.18,149.18,149.18
51,2010-03-16,148.88,148.88,148.88,148.88
52,2010-03-17,149.58,149.58,149.58,149.58
53,2010-03-18,150.18,150.18,150.18,150.18
54,2010-03-19,149.78,149.78,149.78,149.78
55,2010-03-22,150.18,150.18,150.18,150.18
56,2010-03-23,150.48,150.48,150.48,150.48
57,2010-03-24,150.28,150.28,150.28,150.28
58,2010-03-25,149.38,149.38,149.38,149.38
59,2010-03-26,149.38,149.38,149.38,149.38
60,2010-03-29,150.08,150.08,150.08,150.08
61,2010-03-30,150.08,150.08,150.08,150.08
62,2010-03-31,150.58,150.58,150.58,150.58
63,2010-04-01,151.18,151.18,151.18,151.18
64,2010-04-06,150.38,150.38,150.38,150.38
65,2010-04-07,149.88,149.88,149.88,149.88
66,2010-04-08,149.78,149.78,149.78,149.78
67,2010-04-09,150.08,150.08,150.08,150.08
68,2010-04-12,149.48,149.48,149.48,149.48
69,2010-04-13,149.58,149.58,149.58,149.58
70,2010-04-14,149.58,149.58,149.58,149.58
71,2010-04-15,149.88,149.88,149.88,149.88
72,2010-04-16,150.08,150.08,150.08,150.08
73,2010-04-19,150.18,150.18,150.18,150.18
74,2010-04-20,149.78,149.78,149.78,149.78
75,2010-04-21,149.88,149.88,149.88,149.88
76,2010-04-22,149.98,149.98,149.98,149.98
77,2010-04-23,149.68,149.68,149.68,149.68
78,2010-04-26,149.88,149.88,149.88,149.88
79,2010-04-27,150.08,150.08,150.08,150.08
