,Date,Open,High,Low,Close
0,2010-01-04,54.06,54.06,54.06,54.06
1,2010-01-05,54.72,54.72,54.72,54.72
2,2010-01-06,54.94,54.94,54.94,54.94
3,2010-01-07,54.73,54.73,54.73,54.73
4,2010-01-08,54.81,54.81,54.81,54.81
5,2010-01-11,54.91,54.91,54.91,54.91
6,2010-01-12,54.87,54.87,54.87,54.87
7,2010-01-13,54.28,54.28,54.28,54.28
8,2010-01-14,54.57,54.57,54.57,54.57
9,2010-01-15,54.39,54.39,54.39,54.39
10,2010-01-18,53.78,53.78,53.78,53.78
11,2010-01-19,53.55,53.55,53.55,53.55
12,2010-01-20,53.69,53.69,53.69,53.69
13,2010-01-21,53.83,53.83,53.83,53.83
14,2010-01-22,53.04,53.04,53.04,53.04
15,2010-01-25,52.49,52.49,52.49,52.49
16,2010-01-26,51.92,51.92,51.92,51.92
17,2010-01-27,51.69,51.69,51.69,51.69
18,2010-01-28,51.75,51.75,51.75,51.75
19,2010-01-29,51.93,51.93,51.93,51.93
20,2010-02-01,52.0,52.0,52.0,52.0
21,2010-02-02,52.45,52.45,52.45,52.45
22,2010-02-03,52.87,52.87,52.87,52.87
23,2010-02-04,52.17,52.17,52.17,52.17
24,2010-02-05,51.43,51.43,51.43,51.43
25,2010-02-08,51.59,51.59,51.59,51.59
26,2010-02-09,51.96,51.96,51.96,51.96
27,2010-02-10,52.18,52.18,52.18,52.18
28,2010-02-11,52.01,52.01,52.01,52.01
29,2010-02-12,51.99,51.99,51.99,51.99
30,2010-02-15,52.22,52.22,52.22,52.22
31,2010-02-16,52.61,52.61,52.61,52.61
32,2010-02-17,52.73,52.73,52.73,52.73
33,2010-02-18,53.54,53.54,53.54,53.54
34,2010-02-19,54.01,54.01,54.01,54.01
35,2010-02-22,54.45,54.45,54.45,54.45
36,2010-02-23,54.35,54.35,54.35,54.35
37,2010-02-24,54.03,54.03,54.03,54.03
38,2010-02-25,53.83,53.83,53.83,53.83
39,2010-02-26,54.91,54.91,54.91,54.91
40,2010-03-01,56.35,56.35,56.35,56.35
41,2010-03-02,56.9,56.9,56.9,56.9
42,2010-03-03,56.86,56.86,56.86,56.86
43,2010-03-04,56.65,56.65,56.65,56.65
44,2010-03-05,57.34,57.34,57.34,57.34
45,2010-03-08,57.5,57.5,57.5,57.5
46,2010-03-09,57.92,57.92,57.92,57.92
47,2010-03-10,58.12,58.12,58.12,58.12
48,2010-03-11,58.09,58.09,58.09,58.09
49,2010-03-12,58.14,58.14,58.14,58.14
50,2010-03-15,58.12,58.12,58.12,58.12
51,2010-03-16,57.79,57.79,57.79,57.79
52,2010-03-17,57.79,57.79,57.79,57.79
53,2010-03-18,57.73,57.73,57.73,57.73
54,2010-03-19,58.34,58.34,58.34,58.34
55,2010-03-22,58.19,58.19,58.19,58.19
56,2010-03-23,58.46,58.46,58.46,58.46
57,2010-03-24,58.97,58.97,58.97,58.97
58,2010-03-25,59.21,59.21,59.21,59.21
59,2010-03-26,59.46,59.46,59.46,59.46
60,2010-03-29,59.27,59.27,59.27,59.27
61,2010-03-30,58.86,58.86,58.86,58.86
62,2010-03-31,58.71,58.71,58.71,58.71
63,2010-04-01,58.97,58.97,58.97,58.97
64,2010-04-06,59.42,59.42,59.42,59.42
65,2010-04-07,59.41,59.41,59.41,59.41
66,2010-04-08,58.84,58.84,58.84,58.84
67,2010-04-09,58.97,58.97,58.97,58.97
68,2010-04-12,59.2,59.2,59.2,59.2
69,2010-04-13,59.02,59.02,59.02,59.02
70,2010-04-14,59.25,59.25,59.25,59.25
71,2010-04-15,59.39,59.39,59.39,59.39
72,2010-04-16,59.23,59.23,59.23,59.23
73,2010-04-19,58.97,58.97,58.97,58.97
74,2010-04-20,59.23,59.23,59.23,59.23
75,2010-04-21,59.13,59.13,59.13,59.13
76,2010-04-22,58.41,58.41,58.41,58.41
77,2010-04-23,59.12,59.12,59.12,59.12
78,2010-04-26,59.03,59.03,59.03,59.03
79,2010-04-27,59.01,59.01,59.01,59.01
80,2010-04-28,58.32,58.32,58.32,58.32
81,2010-04-29,58.64,58.64,58.64,58.64
82,2010-04-30,58.78,58.78,58.78,58.78
83,2010-05-04,58.06,58.06,58.06,58.06
84,2010-05-05,56.7,56.7,56.7,56.7
85,2010-05-06,56.82,56.82,56.82,56.82
86,2010-05-07,55.9,55.9,55.9,55.9
87,2010-05-10,56.88,56.88,56.88,56.88
88,2010-05-11,57.05,57.05,57.05,57.05
89,2010-05-12,57.93,57.93,57.93,57.93
90,2010-05-13,58.67,58.67,58.67,58.67
91,2010-05-14,57.67,57.67,57.67,57.67
92,2010-05-17,57.68,57.68,57.68,57.68
93,2010-05-18,58.09,58.09,58.09,58.09
94,2010-05-19,57.1,57.1,57.1,57.1
95,2010-05-20,55.98,55.98,55.98,55.98
96,2010-05-21,54.97,54.97,54.97,54.97
97,2010-05-24,55.24,55.24,55.24,55.24
98,2010-05-25,53.59,53.59,53.59,53.59
99,2010-05-26,55.14,55.14,55.14,55.14
100,2010-05-27,55.43,55.43,55.43,55.43
101,2010-05-28,55.78,55.78,55.78,55.78
102,2010-06-01,54.48,54.48,54.48,54.48
103,2010-06-02,54.4,54.4,54.4,54.4
104,2010-06-03,55.36,55.36,55.36,55.36
105,2010-06-04,54.92,54.92,54.92,54.92
106,2010-06-07,54.02,54.02,54.02,54.02
107,2010-06-08,53.79,53.79,53.79,53.79
108,2010-06-09,53.96,53.96,53.96,53.96
109,2010-06-10,54.53,54.53,54.53,54.53
110,2010-06-11,55.11,55.11,55.11,55.11
111,2010-06-14,55.35,55.35,55.35,55.35
112,2010-06-15,55.4,55.4,55.4,55.4
113,2010-06-16,55.82,55.82,55.82,55.82
114,2010-06-17,56.09,56.09,56.09,56.09
115,2010-06-18,56.1,56.1,56.1,56.1
116,2010-06-21,56.98,56.98,56.98,56.98
117,2010-06-22,56.35,56.35,56.35,56.35
118,2010-06-23,55.19,55.19,55.19,55.19
119,2010-06-24,54.24,54.24,54.24,54.24
120,2010-06-25,54.02,54.02,54.02,54.02
121,2010-06-28,53.54,53.54,53.54,53.54
122,2010-06-29,52.46,52.46,52.46,52.46
123,2010-06-30,52.34,52.34,52.34,52.34
124,2010-07-01,51.45,51.45,51.45,51.45
125,2010-07-02,51.27,51.27,51.27,51.27
126,2010-07-05,51.25,51.25,51.25,51.25
127,2010-07-06,51.94,51.94,51.94,51.94
128,2010-07-07,51.97,51.97,51.97,51.97
129,2010-07-08,53.43,53.43,53.43,53.43
130,2010-07-09,53.75,53.75,53.75,53.75
131,2010-07-12,54.24,54.24,54.24,54.24
132,2010-07-13,54.44,54.44,54.44,54.44
133,2010-07-14,54.24,54.24,54.24,54.24
134,2010-07-15,53.91,53.91,53.91,53.91
