,Date,Open,High,Low,Close
0,2010-11-15,99.84,99.84,99.84,99.84
1,2010-11-16,99.99,99.99,99.99,99.99
2,2010-11-17,98.47,98.47,98.47,98.47
3,2010-11-18,98.87,98.87,98.87,98.87
4,2010-11-19,98.49,98.49,98.49,98.49
5,2010-11-22,98.91,98.91,98.91,98.91
6,2010-11-23,98.46,98.46,98.46,98.46
7,2010-11-24,98.61,98.61,98.61,98.61
8,2010-11-25,100.1,100.1,100.1,100.1
9,2010-11-26,99.67,99.67,99.67,99.67
10,2010-11-29,100.0,100.0,100.0,100.0
11,2010-11-30,99.9,99.9,99.9,99.9
12,2010-12-01,99.6,99.6,99.6,99.6
13,2010-12-02,101.0,101.0,101.0,101.0
14,2010-12-03,101.8,101.8,101.8,101.8
15,2010-12-06,101.7,101.7,101.7,101.7
16,2010-12-07,101.6,101.6,101.6,101.6
17,2010-12-08,101.1,101.1,101.1,101.1
18,2010-12-09,100.8,100.8,100.8,100.8
19,2010-12-10,99.85,99.85,99.85,99.85
20,2010-12-13,100.9,100.9,100.9,100.9
21,2010-12-14,101.1,101.1,101.1,101.1
22,2010-12-15,101.3,101.3,101.3,101.3
23,2010-12-16,100.8,100.8,100.8,100.8
24,2010-12-17,100.9,100.9,100.9,100.9
25,2010-12-20,101.2,101.2,101.2,101.2
26,2010-12-21,102.9,102.9,102.9,102.9
27,2010-12-22,103.9,103.9,103.9,103.9
28,2010-12-23,104.9,104.9,104.9,104.9
29,2010-12-24,104.2,104.2,104.2,104.2
30,2010-12-29,105.7,105.7,105.7,105.7
31,2010-12-30,105.9,105.9,105.9,105.9
32,2010-12-31,105.5,105.5,105.5,105.5
33,2011-01-04,106.4,106.4,106.4,106.4
34,2011-01-05,105.8,105.8,105.8,105.8
35,2011-01-06,106.6,106.6,106.6,106.6
36,2011-01-07,106.0,106.0,106.0,106.0
37,2011-01-10,104.9,104.9,104.9,104.9
38,2011-01-11,104.8,104.8,104.8,104.8
39,2011-01-12,104.9,104.9,104.9,104.9
40,2011-01-13,104.6,104.6,104.6,104.6
41,2011-01-14,104.1,104.1,104.1,104.1
42,2011-01-17,104.1,104.1,104.1,104.1
43,2011-01-18,104.1,104.1,104.1,104.1
44,2011-01-19,104.6,104.6,104.6,104.6
45,2011-01-20,103.2,103.2,103.2,103.2
46,2011-01-21,103.0,103.0,103.0,103.0
47,2011-01-24,103.2,103.2,103.2,103.2
48,2011-01-25,104.8,104.8,104.8,104.8
49,2011-01-26,105.1,105.1,105.1,105.1
50,2011-01-27,104.2,104.2,104.2,104.2
51,2011-01-28,105.0,105.0,105.0,105.0
52,2011-01-31,103.7,103.7,103.7,103.7
53,2011-02-01,103.3,103.3,103.3,103.3
54,2011-02-02,103.6,103.6,103.6,103.6
55,2011-02-03,103.5,103.5,103.5,103.5
56,2011-02-04,104.4,104.4,104.4,104.4
57,2011-02-07,103.7,103.7,103.7,103.7
58,2011-02-08,104.1,104.1,104.1,104.1
59,2011-02-09,103.9,103.9,103.9,103.9
60,2011-02-10,103.6,103.6,103.6,103.6
61,2011-02-11,103.6,103.6,103.6,103.6
62,2011-02-14,104.7,104.7,104.7,104.7
63,2011-02-15,103.8,103.8,103.8,103.8
64,2011-02-16,104.1,104.1,104.1,104.1
65,2011-02-17,104.3,104.3,104.3,104.3
66,2011-02-18,104.2,104.2,104.2,104.2
67,2011-02-21,104.3,104.3,104.3,104.3
68,2011-02-22,103.7,103.7,103.7,103.7
69,2011-02-23,102.6,102.6,102.6,102.6
70,2011-02-24,102.5,102.5,102.5,102.5
71,2011-02-25,103.3,103.3,103.3,103.3
72,2011-02-28,104.1,104.1,104.1,104.1
73,2011-03-01,105.2,105.2,105.2,105.2
74,2011-03-02,102.9,102.9,102.9,102.9
75,2011-03-03,103.4,103.4,103.4,103.4
76,2011-03-04,104.2,104.2,104.2,104.2
77,2011-03-07,103.5,103.5,103.5,103.5
78,2011-03-08,103.8,103.8,103.8,103.8
79,2011-03-09,104.5,104.5,104.5,104.5
80,2011-03-10,103.6,103.6,103.6,103.6
81,2011-03-11,103.5,103.5,103.5,103.5
82,2011-03-14,102.3,102.3,102.3,102.3
83,2011-03-15,98.86,98.86,98.86,98.86
84,2011-03-16,100.6,100.6,100.6,100.6
85,2011-03-17,100.0,100.0,100.0,100.0
86,2011-03-18,101.1,101.1,101.1,101.1
87,2011-03-21,101.8,101.8,101.8,101.8
88,2011-03-22,101.6,101.6,101.6,101.6
89,2011-03-23,101.8,101.8,101.8,101.8
90,2011-03-24,102.6,102.6,102.6,102.6
91,2011-03-25,103.3,103.3,103.3,103.3
92,2011-03-28,104.1,104.1,104.1,104.1
93,2011-03-29,103.8,103.8,103.8,103.8
94,2011-03-30,104.6,104.6,104.6,104.6
95,2011-03-31,104.9,104.9,104.9,104.9
96,2011-04-01,105.7,105.7,105.7,105.7
97,2011-04-04,105.4,105.4,105.4,105.4
98,2011-04-05,104.7,104.7,104.7,104.7
99,2011-04-06,104.8,104.8,104.8,104.8
100,2011-04-07,104.2,104.2,104.2,104.2
101,2011-04-08,104.1,104.1,104.1,104.1
102,2011-04-11,103.6,103.6,103.6,103.6
103,2011-04-12,103.3,103.3,103.3,103.3
104,2011-04-13,103.8,103.8,103.8,103.8
105,2011-04-14,103.3,103.3,103.3,103.3
106,2011-04-15,103.9,103.9,103.9,103.9
107,2011-04-18,104.4,104.4,104.4,104.4
108,2011-04-19,103.6,103.6,103.6,103.6
109,2011-04-20,105.1,105.1,105.1,105.1
110,2011-04-21,105.1,105.1,105.1,105.1
111,2011-04-26,105.7,105.7,105.7,105.7
112,2011-04-27,105.8,105.8,105.8,105.8
113,2011-04-28,106.0,106.0,106.0,106.0
114,2011-05-03,107.6,107.6,107.6,107.6
115,2011-05-04,106.8,106.8,106.8,106.8
116,2011-05-05,106.2,106.2,106.2,106.2
117,2011-05-06,106.6,106.6,106.6,106.6
118,2011-05-09,106.4,106.4,106.4,106.4
119,2011-05-10,107.1,107.1,107.1,107.1
120,2011-05-11,107.1,107.1,107.1,107.1
121,2011-05-12,106.4,106.4,106.4,106.4
122,2011-05-13,107.3,107.3,107.3,107.3
123,2011-05-16,106.2,106.2,106.2,106.2
124,2011-05-17,106.2,106.2,106.2,106.2
125,2011-05-18,107.3,107.3,107.3,107.3
126,2011-05-19,108.1,108.1,108.1,108.1
127,2011-05-20,108.0,108.0,108.0,108.0
128,2011-05-23,106.3,106.3,106.3,106.3
129,2011-05-24,106.4,106.4,106.4,106.4
130,2011-05-25,105.9,105.9,105.9,105.9
131,2011-05-26,106.0,106.0,106.0,106.0
132,2011-05-27,106.6,106.6,106.6,106.6
133,2011-05-31,107.7,107.7,107.7,107.7
134,2011-06-01,108.6,108.6,108.6,108.6
