,Date,Open,High,Low,Close
0,2010-01-04,155.6,155.6,155.6,155.6
1,2010-01-05,157.7,157.7,157.7,157.7
2,2010-01-06,156.0,156.0,156.0,156.0
3,2010-01-07,156.2,156.2,156.2,156.2
4,2010-01-08,156.8,156.8,156.8,156.8
5,2010-01-11,157.7,157.7,157.7,157.7
6,2010-01-12,155.3,155.3,155.3,155.3
7,2010-01-13,155.2,155.2,155.2,155.2
8,2010-01-14,157.2,157.2,157.2,157.2
9,2010-01-15,156.2,156.2,156.2,156.2
10,2010-01-18,155.7,155.7,155.7,155.7
11,2010-01-19,154.5,154.5,154.5,154.5
12,2010-01-20,155.0,155.0,155.0,155.0
13,2010-01-21,155.6,155.6,155.6,155.6
14,2010-01-22,149.6,149.6,149.6,149.6
15,2010-01-25,152.2,152.2,152.2,152.2
16,2010-01-26,150.1,150.1,150.1,150.1
17,2010-01-27,150.5,150.5,150.5,150.5
18,2010-01-28,149.9,149.9,149.9,149.9
19,2010-01-29,148.7,148.7,148.7,148.7
20,2010-02-01,149.1,149.1,149.1,149.1
21,2010-02-02,149.8,149.8,149.8,149.8
22,2010-02-03,151.1,151.1,151.1,151.1
23,2010-02-04,150.0,150.0,150.0,150.0
24,2010-02-05,145.6,145.6,145.6,145.6
25,2010-02-08,144.1,144.1,144.1,144.1
26,2010-02-09,145.2,145.2,145.2,145.2
27,2010-02-10,147.5,147.5,147.5,147.5
28,2010-02-11,148.7,148.7,148.7,148.7
29,2010-02-12,146.8,146.8,146.8,146.8
30,2010-02-15,147.5,147.5,147.5,147.5
31,2010-02-16,148.3,148.3,148.3,148.3
32,2010-02-17,150.4,150.4,150.4,150.4
33,2010-02-18,151.2,151.2,151.2,151.2
34,2010-02-19,151.4,151.4,151.4,151.4
35,2010-02-22,152.8,152.8,152.8,152.8
36,2010-02-23,152.3,152.3,152.3,152.3
37,2010-02-24,151.9,151.9,151.9,151.9
38,2010-02-25,152.0,152.0,152.0,152.0
39,2010-02-26,153.0,153.0,153.0,153.0
40,2010-03-01,154.6,154.6,154.6,154.6
41,2010-03-02,155.2,155.2,155.2,155.2
42,2010-03-03,155.8,155.8,155.8,155.8
43,2010-03-04,157.4,157.4,157.4,157.4
44,2010-03-05,158.4,158.4,158.4,158.4
45,2010-03-08,159.3,159.3,159.3,159.3
46,2010-03-09,158.6,158.6,158.6,158.6
47,2010-03-10,159.9,159.9,159.9,159.9
48,2010-03-11,161.8,161.8,161.8,161.8
49,2010-03-12,160.7,160.7,160.7,160.7
50,2010-03-15,160.5,160.5,160.5,160.5
51,2010-03-16,160.3,160.3,160.3,160.3
52,2010-03-17,161.3,161.3,161.3,161.3
53,2010-03-18,163.1,163.1,163.1,163.1
54,2010-03-19,162.4,162.4,162.4,162.4
55,2010-03-22,160.0,160.0,160.0,160.0
56,2010-03-23,162.1,162.1,162.1,162.1
57,2010-03-24,161.9,161.9,161.9,161.9
58,2010-03-25,163.2,163.2,163.2,163.2
59,2010-03-26,163.3,163.3,163.3,163.3
60,2010-03-29,163.5,163.5,163.5,163.5
61,2010-03-30,163.5,163.5,163.5,163.5
62,2010-03-31,164.1,164.1,164.1,164.1
63,2010-04-01,165.1,165.1,165.1,165.1
64,2010-04-06,167.0,167.0,167.0,167.0
65,2010-04-07,165.5,165.5,165.5,165.5
66,2010-04-08,163.6,163.6,163.6,163.6
67,2010-04-09,166.6,166.6,166.6,166.6
68,2010-04-12,165.6,165.6,165.6,165.6
69,2010-04-13,165.2,165.2,165.2,165.2
70,2010-04-14,166.2,166.2,166.2,166.2
71,2010-04-15,168.0,168.0,168.0,168.0
72,2010-04-16,168.5,168.5,168.5,168.5
73,2010-04-19,165.4,165.4,165.4,165.4
74,2010-04-20,165.7,165.7,165.7,165.7
75,2010-04-21,164.6,164.6,164.6,164.6
76,2010-04-22,164.9,164.9,164.9,164.9
77,2010-04-23,164.3,164.3,164.3,164.3
78,2010-04-26,166.0,166.0,166.0,166.0
79,2010-04-27,163.8,163.8,163.8,163.8
80,2010-04-28,160.8,160.8,160.8,160.8
81,2010-04-29,161.9,161.9,161.9,161.9
82,2010-04-30,162.5,162.5,162.5,162.5
83,2010-05-04,160.1,160.1,160.1,160.1
84,2010-05-05,157.6,157.6,157.6,157.6
85,2010-05-06,156.7,156.7,156.7,156.7
86,2010-05-07,153.3,153.3,153.3,153.3
87,2010-05-10,156.9,156.9,156.9,156.9
88,2010-05-11,154.4,154.4,154.4,154.4
89,2010-05-12,156.1,156.1,156.1,156.1
90,2010-05-13,158.7,158.7,158.7,158.7
91,2010-05-14,155.2,155.2,155.2,155.2
92,2010-05-17,154.2,154.2,154.2,154.2
93,2010-05-18,154.0,154.0,154.0,154.0
94,2010-05-19,150.6,150.6,150.6,150.6
95,2010-05-20,150.8,150.8,150.8,150.8
96,2010-05-21,146.8,146.8,146.8,146.8
97,2010-05-24,147.4,147.4,147.4,147.4
98,2010-05-25,144.9,144.9,144.9,144.9
99,2010-05-26,147.4,147.4,147.4,147.4
100,2010-05-27,150.0,150.0,150.0,150.0
101,2010-05-28,152.8,152.8,152.8,152.8
102,2010-06-01,148.6,148.6,148.6,148.6
103,2010-06-02,149.0,149.0,149.0,149.0
104,2010-06-03,153.6,153.6,153.6,153.6
105,2010-06-04,152.8,152.8,152.8,152.8
106,2010-06-07,148.3,148.3,148.3,148.3
107,2010-06-08,147.2,147.2,147.2,147.2
108,2010-06-09,146.3,146.3,146.3,146.3
109,2010-06-10,149.8,149.8,149.8,149.8
110,2010-06-11,151.6,151.6,151.6,151.6
111,2010-06-14,150.9,150.9,150.9,150.9
112,2010-06-15,152.0,152.0,152.0,152.0
113,2010-06-16,153.6,153.6,153.6,153.6
114,2010-06-17,153.3,153.3,153.3,153.3
115,2010-06-18,152.7,152.7,152.7,152.7
116,2010-06-21,154.3,154.3,154.3,154.3
117,2010-06-22,153.1,153.1,153.1,153.1
118,2010-06-23,151.9,151.9,151.9,151.9
119,2010-06-24,151.0,151.0,151.0,151.0
120,2010-06-25,149.2,149.2,149.2,149.2
121,2010-06-28,148.6,148.6,148.6,148.6
122,2010-06-29,146.3,146.3,146.3,146.3
123,2010-06-30,145.4,145.4,145.4,145.4
124,2010-07-01,143.5,143.5,143.5,143.5
125,2010-07-02,141.0,141.0,141.0,141.0
126,2010-07-05,142.5,142.5,142.5,142.5
127,2010-07-06,145.2,145.2,145.2,145.2
128,2010-07-07,145.0,145.0,145.0,145.0
129,2010-07-08,149.5,149.5,149.5,149.5
130,2010-07-09,149.0,149.0,149.0,149.0
131,2010-07-12,149.5,149.5,149.5,149.5
132,2010-07-13,152.4,152.4,152.4,152.4
133,2010-07-14,152.4,152.4,152.4,152.4
134,2010-07-15,154.4,154.4,154.4,154.4
135,2010-07-16,153.0,153.0,153.0,153.0
136,2010-07-19,150.9,150.9,150.9,150.9
137,2010-07-20,148.9,148.9,148.9,148.9
138,2010-07-21,153.2,153.2,153.2,153.2
139,2010-07-22,154.6,154.6,154.6,154.6
140,2010-07-23,155.7,155.7,155.7,155.7
141,2010-07-26,156.1,156.1,156.1,156.1
142,2010-07-27,156.6,156.6,156.6,156.6
143,2010-07-28,155.3,155.3,155.3,155.3
144,2010-07-29,157.2,157.2,157.2,157.2
145,2010-07-30,155.6,155.6,155.6,155.6
146,2010-08-02,157.4,157.4,157.4,157.4
147,2010-08-03,156.5,156.5,156.5,156.5
148,2010-08-04,155.4,155.4,155.4,155.4
149,2010-08-05,159.1,159.1,159.1,159.1
150,2010-08-06,157.4,157.4,157.4,157.4
151,2010-08-09,157.5,157.5,157.5,157.5
152,2010-08-10,157.0,157.0,157.0,157.0
153,2010-08-11,154.5,154.5,154.5,154.5
154,2010-08-12,154.7,154.7,154.7,154.7
155,2010-08-13,152.5,152.5,152.5,152.5
156,2010-08-16,153.3,153.3,153.3,153.3
157,2010-08-17,155.1,155.1,155.1,155.1
158,2010-08-18,154.9,154.9,154.9,154.9
159,2010-08-19,156.4,156.4,156.4,156.4
160,2010-08-20,151.1,151.1,151.1,151.1
161,2010-08-23,153.0,153.0,153.0,153.0
162,2010-08-24,151.3,151.3,151.3,151.3
163,2010-08-25,150.1,150.1,150.1,150.1
164,2010-08-26,151.6,151.6,151.6,151.6
165,2010-08-27,150.9,150.9,150.9,150.9
