Date,Commodities,Gov Bonds,International,Property,UK
06/05/2011,99.67,160.09,62.21,106.6,176.5
09/05/2011,99.67,160.19,62.13,106.4,177.7
10/05/2011,101.1,160.19,62.89,107.1,179.8
11/05/2011,100.7,159.49,62.13,107.1,180.5
12/05/2011,97.81,160.19,61.91,106.4,178.7
13/05/2011,98.46,159.79,62.72,107.3,179.4
16/05/2011,97.17,160.29,62.22,106.2,176.2
17/05/2011,97.48,159.79,61.88,106.2,177.5
18/05/2011,97.98,160.19,62.51,107.3,177
19/05/2011,99.61,159.49,62.97,108.1,180.9
20/05/2011,99.16,160.29,62.02,108,178.8
23/05/2011,97.61,160.99,61.53,106.3,175.6
24/05/2011,98.2,160.69,61.68,106.4,175.9
25/05/2011,98.04,160.79,61.03,105.9,175.7
26/05/2011,98.99,160.99,61.06,106,176.7
27/05/2011,99.39,161.09,61.47,106.6,179.3
30/05/2011,99.39,161.09,61.47,106.6,179.3
31/05/2011,100.5,161.19,62.06,107.7,181.4
01/06/2011,101.2,161.59,62.3,108.6,181.4
02/06/2011,98.83,161.79,61.58,106.9,177.3
03/06/2011,98.84,161.69,61.19,106.7,176.3
06/06/2011,98.32,161.59,60.87,106.2,177.9
07/06/2011,97.83,161.09,60.53,105.7,177.1
08/06/2011,96.92,160.89,60.28,105.8,174.8
09/06/2011,96.7,161.49,60.31,105.3,176.7
10/06/2011,98.31,161.59,60.36,105.3,177.7
13/06/2011,96.9,161.79,59.93,103.8,174.3
14/06/2011,96.11,161.49,60.2,104,174.4
15/06/2011,97.57,161.29,60.19,105.2,174.7
16/06/2011,95.59,162.09,59.7,104.2,172.7
17/06/2011,95.46,161.69,60.14,104.7,173.6
20/06/2011,94.28,162.09,59.71,104.2,171
21/06/2011,95.74,161.59,60.44,105.5,172.8
22/06/2011,96.99,162.29,61.24,105.9,173.1
23/06/2011,96.72,161.79,60.54,106.3,172.1
24/06/2011,96.81,162.29,60.84,106,172.1
27/06/2011,95.78,162.59,60.53,105.6,172
28/06/2011,96.67,161.89,61.15,106.2,172.9
29/06/2011,99.28,160.29,61.56,107.4,176
30/06/2011,100.2,161.09,62.85,108.3,178.6
01/07/2011,101,160.39,62.58,108.5,181.2
04/07/2011,101.5,160.49,63.55,109.6,180.8
05/07/2011,101.3,160.69,62.94,109.6,181.3
06/07/2011,102,161.29,63.1,110.5,180.1
07/07/2011,102.6,161.29,64.1,110.9,181.2
08/07/2011,103.7,161.29,63.4,112,182.3
11/07/2011,102.1,162.79,62.9,110.5,179.3
12/07/2011,100.5,163.89,62.46,109.4,177.1
