,Date,Open,High,Low,Close
0,2011-05-06,160.09,160.09,160.09,160.09
1,2011-05-09,160.19,160.19,160.19,160.19
2,2011-05-10,160.19,160.19,160.19,160.19
3,2011-05-11,159.49,159.49,159.49,159.49
4,2011-05-12,160.19,160.19,160.19,160.19
5,2011-05-13,159.79,159.79,159.79,159.79
6,2011-05-16,160.29,160.29,160.29,160.29
7,2011-05-17,159.79,159.79,159.79,159.79
8,2011-05-18,160.19,160.19,160.19,160.19
9,2011-05-19,159.49,159.49,159.49,159.49
10,2011-05-20,160.29,160.29,160.29,160.29
11,2011-05-23,160.99,160.99,160.99,160.99
12,2011-05-24,160.69,160.69,160.69,160.69
13,2011-05-25,160.79,160.79,160.79,160.79
14,2011-05-26,160.99,160.99,160.99,160.99
15,2011-05-27,161.09,161.09,161.09,161.09
16,2011-05-30,161.09,161.09,161.09,161.09
17,2011-05-31,161.19,161.19,161.19,161.19
18,2011-06-01,161.59,161.59,161.59,161.59
19,2011-06-02,161.79,161.79,161.79,161.79
20,2011-06-03,161.69,161.69,161.69,161.69
21,2011-06-06,161.59,161.59,161.59,161.59
22,2011-06-07,161.09,161.09,161.09,161.09
23,2011-06-08,160.89,160.89,160.89,160.89
24,2011-06-09,161.49,161.49,161.49,161.49
25,2011-06-10,161.59,161.59,161.59,161.59
26,2011-06-13,161.79,161.79,161.79,161.79
27,2011-06-14,161.49,161.49,161.49,161.49
28,2011-06-15,161.29,161.29,161.29,161.29
29,2011-06-16,162.09,162.09,162.09,162.09
30,2011-06-17,161.69,161.69,161.69,161.69
31,2011-06-20,162.09,162.09,162.09,162.09
32,2011-06-21,161.59,161.59,161.59,161.59
33,2011-06-22,162.29,162.29,162.29,162.29
34,2011-06-23,161.79,161.79,161.79,161.79
35,2011-06-24,162.29,162.29,162.29,162.29
36,2011-06-27,162.59,162.59,162.59,162.59
37,2011-06-28,161.89,161.89,161.89,161.89
38,2011-06-29,160.29,160.29,160.29,160.29
39,2011-06-30,161.09,161.09,161.09,161.09
40,2011-07-01,160.39,160.39,160.39,160.39
41,2011-07-04,160.49,160.49,160.49,160.49
42,2011-07-05,160.69,160.69,160.69,160.69
43,2011-07-06,161.29,161.29,161.29,161.29
44,2011-07-07,161.29,161.29,161.29,161.29
45,2011-07-08,161.29,161.29,161.29,161.29
46,2011-07-11,162.79,162.79,162.79,162.79
47,2011-07-12,163.89,163.89,163.89,163.89
48,2011-07-13,162.79,162.79,162.79,162.79
49,2011-07-14,162.89,162.89,162.89,162.89
50,2011-07-15,162.99,162.99,162.99,162.99
51,2011-07-18,163.69,163.69,163.69,163.69
52,2011-07-19,163.29,163.29,163.29,163.29
53,2011-07-20,163.19,163.19,163.19,163.19
54,2011-07-21,163.29,163.29,163.29,163.29
55,2011-07-22,162.29,162.29,162.29,162.29
56,2011-07-25,163.69,163.69,163.69,163.69
57,2011-07-26,163.59,163.59,163.59,163.59
58,2011-07-27,163.79,163.79,163.79,163.79
59,2011-07-28,164.39,164.39,164.39,164.39
60,2011-07-29,164.69,164.69,164.69,164.69
61,2011-08-01,164.89,164.89,164.89,164.89
62,2011-08-02,165.79,165.79,165.79,165.79
63,2011-08-03,166.39,166.39,166.39,166.39
64,2011-08-04,166.99,166.99,166.99,166.99
65,2011-08-05,167.49,167.49,167.49,167.49
66,2011-08-08,167.69,167.69,167.69,167.69
67,2011-08-09,167.69,167.69,167.69,167.69
68,2011-08-10,167.39,167.39,167.39,167.39
69,2011-08-11,168.69,168.69,168.69,168.69
70,2011-08-12,167.99,167.99,167.99,167.99
71,2011-08-15,167.99,167.99,167.99,167.99
72,2011-08-16,167.79,167.79,167.79,167.79
73,2011-08-17,168.69,168.69,168.69,168.69
74,2011-08-18,170.39,170.39,170.39,170.39
75,2011-08-19,170.59,170.59,170.59,170.59
76,2011-08-22,170.09,170.09,170.09,170.09
77,2011-08-23,170.29,170.29,170.29,170.29
78,2011-08-24,169.99,169.99,169.99,169.99
79,2011-08-25,168.99,168.99,168.99,168.99
80,2011-08-26,169.89,169.89,169.89,169.89
81,2011-08-29,169.89,169.89,169.89,169.89
82,2011-08-30,168.99,168.99,168.99,168.99
83,2011-08-31,168.79,168.79,168.79,168.79
84,2011-09-01,168.89,168.89,168.89,168.89
85,2011-09-02,169.39,169.39,169.39,169.39
86,2011-09-05,171.89,171.89,171.89,171.89
87,2011-09-06,170.99,170.99,170.99,170.99
88,2011-09-07,170.99,170.99,170.99,170.99
89,2011-09-08,171.49,171.49,171.49,171.49
90,2011-09-09,171.69,171.69,171.69,171.69
91,2011-09-12,173.2,173.2,173.2,173.2
92,2011-09-13,173.3,173.3,173.3,173.3
93,2011-09-14,172.9,172.9,172.9,172.9
94,2011-09-15,171.39,171.39,171.39,171.39
95,2011-09-16,171.39,171.39,171.39,171.39
96,2011-09-19,173.0,173.0,173.0,173.0
97,2011-09-20,173.1,173.1,173.1,173.1
98,2011-09-21,172.39,172.39,172.39,172.39
99,2011-09-22,173.7,173.7,173.7,173.7
100,2011-09-23,174.5,174.5,174.5,174.5
101,2011-09-26,173.4,173.4,173.4,173.4
102,2011-09-27,171.79,171.79,171.79,171.79
103,2011-09-28,171.79,171.79,171.79,171.79
104,2011-09-29,172.49,172.49,172.49,172.49
105,2011-09-30,172.49,172.49,172.49,172.49
106,2011-10-03,173.8,173.8,173.8,173.8
107,2011-10-04,176.7,176.7,176.7,176.7
108,2011-10-05,175.1,175.1,175.1,175.1
109,2011-10-06,174.9,174.9,174.9,174.9
110,2011-10-07,174.8,174.8,174.8,174.8
111,2011-10-10,174.3,174.3,174.3,174.3
112,2011-10-11,173.2,173.2,173.2,173.2
113,2011-10-12,171.99,171.99,171.99,171.99
114,2011-10-13,172.8,172.8,172.8,172.8
115,2011-10-14,172.59,172.59,172.59,172.59
116,2011-10-17,173.1,173.1,173.1,173.1
117,2011-10-18,173.9,173.9,173.9,173.9
118,2011-10-19,173.8,173.8,173.8,173.8
119,2011-10-20,174.3,174.3,174.3,174.3
120,2011-10-21,173.5,173.5,173.5,173.5
121,2011-10-24,173.6,173.6,173.6,173.6
122,2011-10-25,172.8,172.8,172.8,172.8
123,2011-10-26,174.7,174.7,174.7,174.7
124,2011-10-27,173.8,173.8,173.8,173.8
125,2011-10-28,172.39,172.39,172.39,172.39
126,2011-10-31,173.9,173.9,173.9,173.9
127,2011-11-01,177.0,177.0,177.0,177.0
128,2011-11-02,176.2,176.2,176.2,176.2
129,2011-11-03,175.8,175.8,175.8,175.8
130,2011-11-04,175.7,175.7,175.7,175.7
131,2011-11-07,176.8,176.8,176.8,176.8
132,2011-11-08,176.8,176.8,176.8,176.8
