,Date,Open,High,Low,Close
0,2010-11-15,57.54,57.54,57.54,57.54
1,2010-11-16,57.26,57.26,57.26,57.26
2,2010-11-17,57.14,57.14,57.14,57.14
3,2010-11-18,57.65,57.65,57.65,57.65
4,2010-11-19,57.76,57.76,57.76,57.76
5,2010-11-20,57.76,57.76,57.76,57.76
6,2010-11-21,57.76,57.76,57.76,57.76
7,2010-11-22,58.01,58.01,58.01,58.01
8,2010-11-23,57.27,57.27,57.27,57.27
9,2010-11-24,57.53,57.53,57.53,57.53
10,2010-11-25,57.74,57.74,57.74,57.74
11,2010-11-26,57.79,57.79,57.79,57.79
12,2010-11-27,57.79,57.79,57.79,57.79
13,2010-11-28,57.79,57.79,57.79,57.79
14,2010-11-29,57.43,57.43,57.43,57.43
15,2010-11-30,57.74,57.74,57.74,57.74
16,2010-12-01,58.57,58.57,58.57,58.57
17,2010-12-02,59.29,59.29,59.29,59.29
18,2010-12-03,59.5,59.5,59.5,59.5
19,2010-12-04,59.5,59.5,59.5,59.5
20,2010-12-05,59.5,59.5,59.5,59.5
21,2010-12-06,59.56,59.56,59.56,59.56
22,2010-12-07,59.27,59.27,59.27,59.27
23,2010-12-08,58.9,58.9,58.9,58.9
24,2010-12-09,59.56,59.56,59.56,59.56
25,2010-12-10,59.54,59.54,59.54,59.54
26,2010-12-11,59.54,59.54,59.54,59.54
27,2010-12-12,59.54,59.54,59.54,59.54
28,2010-12-13,60.14,60.14,60.14,60.14
29,2010-12-14,60.33,60.33,60.33,60.33
30,2010-12-15,60.73,60.73,60.73,60.73
31,2010-12-16,60.38,60.38,60.38,60.38
32,2010-12-17,60.89,60.89,60.89,60.89
33,2010-12-18,60.89,60.89,60.89,60.89
34,2010-12-19,60.89,60.89,60.89,60.89
35,2010-12-20,60.99,60.99,60.99,60.99
36,2010-12-21,61.49,61.49,61.49,61.49
37,2010-12-22,62.03,62.03,62.03,62.03
38,2010-12-23,62.04,62.04,62.04,62.04
39,2010-12-24,61.54,61.54,61.54,61.54
40,2010-12-25,61.54,61.54,61.54,61.54
41,2010-12-26,61.54,61.54,61.54,61.54
42,2010-12-27,61.54,61.54,61.54,61.54
43,2010-12-28,61.54,61.54,61.54,61.54
44,2010-12-29,61.93,61.93,61.93,61.93
45,2010-12-30,61.92,61.92,61.92,61.92
46,2010-12-31,62.04,62.04,62.04,62.04
47,2011-01-01,62.04,62.04,62.04,62.04
48,2011-01-02,62.04,62.04,62.04,62.04
49,2011-01-03,62.04,62.04,62.04,62.04
50,2011-01-04,62.33,62.33,62.33,62.33
51,2011-01-05,62.14,62.14,62.14,62.14
52,2011-01-06,62.06,62.06,62.06,62.06
53,2011-01-07,61.78,61.78,61.78,61.78
54,2011-01-08,61.78,61.78,61.78,61.78
55,2011-01-09,61.78,61.78,61.78,61.78
56,2011-01-10,61.11,61.11,61.11,61.11
57,2011-01-11,61.49,61.49,61.49,61.49
58,2011-01-12,62.09,62.09,62.09,62.09
59,2011-01-13,61.9,61.9,61.9,61.9
60,2011-01-14,61.72,61.72,61.72,61.72
61,2011-01-15,61.72,61.72,61.72,61.72
62,2011-01-16,61.72,61.72,61.72,61.72
63,2011-01-17,61.74,61.74,61.74,61.74
64,2011-01-18,61.63,61.63,61.63,61.63
65,2011-01-19,61.85,61.85,61.85,61.85
66,2011-01-20,61.37,61.37,61.37,61.37
67,2011-01-21,61.53,61.53,61.53,61.53
68,2011-01-22,61.53,61.53,61.53,61.53
69,2011-01-23,61.53,61.53,61.53,61.53
70,2011-01-24,61.34,61.34,61.34,61.34
71,2011-01-25,62.02,62.02,62.02,62.02
72,2011-01-26,62.31,62.31,62.31,62.31
73,2011-01-27,61.9,61.9,61.9,61.9
74,2011-01-28,62.4,62.4,62.4,62.4
75,2011-01-29,62.4,62.4,62.4,62.4
76,2011-01-30,62.4,62.4,62.4,62.4
77,2011-01-31,61.36,61.36,61.36,61.36
78,2011-02-01,61.59,61.59,61.59,61.59
79,2011-02-02,61.67,61.67,61.67,61.67
80,2011-02-03,61.53,61.53,61.53,61.53
81,2011-02-04,62.07,62.07,62.07,62.07
82,2011-02-05,62.07,62.07,62.07,62.07
83,2011-02-06,62.07,62.07,62.07,62.07
84,2011-02-07,62.12,62.12,62.12,62.12
85,2011-02-08,62.57,62.57,62.57,62.57
86,2011-02-09,62.46,62.46,62.46,62.46
