,Date,Open,High,Low,Close
0,2011-05-06,106.6,106.6,106.6,106.6
1,2011-05-09,106.4,106.4,106.4,106.4
2,2011-05-10,107.1,107.1,107.1,107.1
3,2011-05-11,107.1,107.1,107.1,107.1
4,2011-05-12,106.4,106.4,106.4,106.4
5,2011-05-13,107.3,107.3,107.3,107.3
6,2011-05-16,106.2,106.2,106.2,106.2
7,2011-05-17,106.2,106.2,106.2,106.2
8,2011-05-18,107.3,107.3,107.3,107.3
9,2011-05-19,108.1,108.1,108.1,108.1
10,2011-05-20,108.0,108.0,108.0,108.0
11,2011-05-23,106.3,106.3,106.3,106.3
12,2011-05-24,106.4,106.4,106.4,106.4
13,2011-05-25,105.9,105.9,105.9,105.9
14,2011-05-26,106.0,106.0,106.0,106.0
15,2011-05-27,106.6,106.6,106.6,106.6
16,2011-05-30,106.6,106.6,106.6,106.6
17,2011-05-31,107.7,107.7,107.7,107.7
18,2011-06-01,108.6,108.6,108.6,108.6
19,2011-06-02,106.9,106.9,106.9,106.9
20,2011-06-03,106.7,106.7,106.7,106.7
21,2011-06-06,106.2,106.2,106.2,106.2
22,2011-06-07,105.7,105.7,105.7,105.7
23,2011-06-08,105.8,105.8,105.8,105.8
24,2011-06-09,105.3,105.3,105.3,105.3
25,2011-06-10,105.3,105.3,105.3,105.3
26,2011-06-13,103.8,103.8,103.8,103.8
27,2011-06-14,104.0,104.0,104.0,104.0
28,2011-06-15,105.2,105.2,105.2,105.2
29,2011-06-16,104.2,104.2,104.2,104.2
30,2011-06-17,104.7,104.7,104.7,104.7
31,2011-06-20,104.2,104.2,104.2,104.2
32,2011-06-21,105.5,105.5,105.5,105.5
33,2011-06-22,105.9,105.9,105.9,105.9
34,2011-06-23,106.3,106.3,106.3,106.3
35,2011-06-24,106.0,106.0,106.0,106.0
36,2011-06-27,105.6,105.6,105.6,105.6
37,2011-06-28,106.2,106.2,106.2,106.2
38,2011-06-29,107.4,107.4,107.4,107.4
39,2011-06-30,108.3,108.3,108.3,108.3
40,2011-07-01,108.5,108.5,108.5,108.5
41,2011-07-04,109.6,109.6,109.6,109.6
42,2011-07-05,109.6,109.6,109.6,109.6
43,2011-07-06,110.5,110.5,110.5,110.5
44,2011-07-07,110.9,110.9,110.9,110.9
45,2011-07-08,112.0,112.0,112.0,112.0
46,2011-07-11,110.5,110.5,110.5,110.5
47,2011-07-12,109.4,109.4,109.4,109.4
48,2011-07-13,110.1,110.1,110.1,110.1
49,2011-07-14,108.2,108.2,108.2,108.2
50,2011-07-15,107.5,107.5,107.5,107.5
51,2011-07-18,107.5,107.5,107.5,107.5
52,2011-07-19,107.6,107.6,107.6,107.6
53,2011-07-20,108.7,108.7,108.7,108.7
54,2011-07-21,108.5,108.5,108.5,108.5
55,2011-07-22,109.2,109.2,109.2,109.2
56,2011-07-25,108.8,108.8,108.8,108.8
57,2011-07-26,108.5,108.5,108.5,108.5
58,2011-07-27,108.6,108.6,108.6,108.6
59,2011-07-28,107.1,107.1,107.1,107.1
60,2011-07-29,106.9,106.9,106.9,106.9
61,2011-08-01,107.9,107.9,107.9,107.9
62,2011-08-02,106.1,106.1,106.1,106.1
63,2011-08-03,103.3,103.3,103.3,103.3
64,2011-08-04,101.6,101.6,101.6,101.6
65,2011-08-05,97.59,97.59,97.59,97.59
66,2011-08-08,93.38,93.38,93.38,93.38
67,2011-08-09,89.74,89.74,89.74,89.74
68,2011-08-10,95.15,95.15,95.15,95.15
69,2011-08-11,94.4,94.4,94.4,94.4
70,2011-08-12,96.03,96.03,96.03,96.03
71,2011-08-15,97.01,97.01,97.01,97.01
72,2011-08-16,97.43,97.43,97.43,97.43
73,2011-08-17,98.06,98.06,98.06,98.06
74,2011-08-18,96.02,96.02,96.02,96.02
75,2011-08-19,92.45,92.45,92.45,92.45
76,2011-08-22,93.1,93.1,93.1,93.1
77,2011-08-23,93.79,93.79,93.79,93.79
78,2011-08-24,93.62,93.62,93.62,93.62
79,2011-08-25,96.03,96.03,96.03,96.03
80,2011-08-26,95.16,95.16,95.16,95.16
81,2011-08-29,95.16,95.16,95.16,95.16
82,2011-08-30,98.66,98.66,98.66,98.66
83,2011-08-31,99.78,99.78,99.78,99.78
84,2011-09-01,101.1,101.1,101.1,101.1
85,2011-09-02,99.24,99.24,99.24,99.24
86,2011-09-05,96.94,96.94,96.94,96.94
87,2011-09-06,96.61,96.61,96.61,96.61
88,2011-09-07,99.01,99.01,99.01,99.01
89,2011-09-08,100.4,100.4,100.4,100.4
90,2011-09-09,99.39,99.39,99.39,99.39
91,2011-09-12,95.74,95.74,95.74,95.74
92,2011-09-13,96.26,96.26,96.26,96.26
93,2011-09-14,96.82,96.82,96.82,96.82
94,2011-09-15,97.5,97.5,97.5,97.5
95,2011-09-16,98.88,98.88,98.88,98.88
96,2011-09-19,98.05,98.05,98.05,98.05
97,2011-09-20,98.05,98.05,98.05,98.05
98,2011-09-21,97.98,97.98,97.98,97.98
99,2011-09-22,93.34,93.34,93.34,93.34
100,2011-09-23,92.34,92.34,92.34,92.34
101,2011-09-26,92.83,92.83,92.83,92.83
102,2011-09-27,94.42,94.42,94.42,94.42
103,2011-09-28,94.74,94.74,94.74,94.74
104,2011-09-29,93.91,93.91,93.91,93.91
105,2011-09-30,93.51,93.51,93.51,93.51
106,2011-10-03,92.31,92.31,92.31,92.31
107,2011-10-04,90.29,90.29,90.29,90.29
108,2011-10-05,91.7,91.7,91.7,91.7
109,2011-10-06,93.15,93.15,93.15,93.15
110,2011-10-07,93.88,93.88,93.88,93.88
111,2011-10-10,92.99,92.99,92.99,92.99
112,2011-10-11,94.8,94.8,94.8,94.8
113,2011-10-12,94.52,94.52,94.52,94.52
114,2011-10-13,95.93,95.93,95.93,95.93
115,2011-10-14,95.86,95.86,95.86,95.86
116,2011-10-17,97.5,97.5,97.5,97.5
117,2011-10-18,94.89,94.89,94.89,94.89
118,2011-10-19,96.74,96.74,96.74,96.74
119,2011-10-20,95.73,95.73,95.73,95.73
120,2011-10-21,95.52,95.52,95.52,95.52
121,2011-10-24,97.61,97.61,97.61,97.61
122,2011-10-25,98.62,98.62,98.62,98.62
123,2011-10-26,97.37,97.37,97.37,97.37
124,2011-10-27,100.5,100.5,100.5,100.5
125,2011-10-28,102.2,102.2,102.2,102.2
126,2011-10-31,101.3,101.3,101.3,101.3
127,2011-11-01,98.9,98.9,98.9,98.9
128,2011-11-02,98.48,98.48,98.48,98.48
129,2011-11-03,98.72,98.72,98.72,98.72
130,2011-11-04,100.2,100.2,100.2,100.2
