,Date,Open,High,Low,Close
0,15/11/2010,169.7,169.7,169.7,169.7
1,16/11/2010,167.6,167.6,167.6,167.6
2,17/11/2010,166.5,166.5,166.5,166.5
3,18/11/2010,170.6,170.6,170.6,170.6
4,19/11/2010,167.7,167.7,167.7,167.7
5,20/11/2010,167.7,167.7,167.7,167.7
6,21/11/2010,167.7,167.7,167.7,167.7
7,22/11/2010,167.7,167.7,167.7,167.7
8,23/11/2010,165.7,165.7,165.7,165.7
9,24/11/2010,166.4,166.4,166.4,166.4
10,25/11/2010,166.6,166.6,166.6,166.6
11,26/11/2010,164.8,164.8,164.8,164.8
12,27/11/2010,164.8,164.8,164.8,164.8
13,28/11/2010,164.8,164.8,164.8,164.8
14,29/11/2010,164.8,164.8,164.8,164.8
15,30/11/2010,164.8,164.8,164.8,164.8
16,01/12/2010,164.8,164.8,164.8,164.8
17,02/12/2010,164.8,164.8,164.8,164.8
18,03/12/2010,164.8,164.8,164.8,164.8
19,04/12/2010,164.8,164.8,164.8,164.8
20,05/12/2010,164.8,164.8,164.8,164.8
21,06/12/2010,164.8,164.8,164.8,164.8
22,07/12/2010,164.8,164.8,164.8,164.8
23,08/12/2010,164.8,164.8,164.8,164.8
24,09/12/2010,164.8,164.8,164.8,164.8
25,10/12/2010,164.8,164.8,164.8,164.8
26,11/12/2010,164.8,164.8,164.8,164.8
27,12/12/2010,164.8,164.8,164.8,164.8
28,13/12/2010,164.8,164.8,164.8,164.8
29,14/12/2010,164.8,164.8,164.8,164.8
30,15/12/2010,164.8,164.8,164.8,164.8
31,16/12/2010,164.8,164.8,164.8,164.8
32,17/12/2010,164.8,164.8,164.8,164.8
33,18/12/2010,164.8,164.8,164.8,164.8
34,19/12/2010,164.8,164.8,164.8,164.8
35,20/12/2010,164.8,164.8,164.8,164.8
36,21/12/2010,164.8,164.8,164.8,164.8
37,22/12/2010,164.8,164.8,164.8,164.8
38,23/12/2010,164.8,164.8,164.8,164.8
39,24/12/2010,164.8,164.8,164.8,164.8
40,25/12/2010,164.8,164.8,164.8,164.8
41,26/12/2010,164.8,164.8,164.8,164.8
42,27/12/2010,164.8,164.8,164.8,164.8
43,28/12/2010,164.8,164.8,164.8,164.8
44,29/12/2010,164.8,164.8,164.8,164.8
45,30/12/2010,164.8,164.8,164.8,164.8
46,31/12/2010,164.8,164.8,164.8,164.8
47,01/01/2011,164.8,164.8,164.8,164.8
48,02/01/2011,164.8,164.8,164.8,164.8
49,03/01/2011,164.8,164.8,164.8,164.8
50,04/01/2011,164.8,164.8,164.8,164.8
51,05/01/2011,164.8,164.8,164.8,164.8
52,06/01/2011,164.8,164.8,164.8,164.8
53,07/01/2011,164.8,164.8,164.8,164.8
54,08/01/2011,164.8,164.8,164.8,164.8
55,09/01/2011,164.8,164.8,164.8,164.8
56,10/01/2011,164.8,164.8,164.8,164.8
57,11/01/2011,164.8,164.8,164.8,164.8
58,12/01/2011,164.8,164.8,164.8,164.8
59,13/01/2011,164.8,164.8,164.8,164.8
60,14/01/2011,164.8,164.8,164.8,164.8
61,15/01/2011,164.8,164.8,164.8,164.8
62,16/01/2011,164.8,164.8,164.8,164.8
63,17/01/2011,164.8,164.8,164.8,164.8
64,18/01/2011,164.8,164.8,164.8,164.8
65,19/01/2011,164.8,164.8,164.8,164.8
66,20/01/2011,164.8,164.8,164.8,164.8
67,21/01/2011,164.8,164.8,164.8,164.8
68,22/01/2011,164.8,164.8,164.8,164.8
69,23/01/2011,164.8,164.8,164.8,164.8
70,24/01/2011,164.8,164.8,164.8,164.8
71,25/01/2011,164.8,164.8,164.8,164.8
72,26/01/2011,176.7,176.7,176.7,176.7
73,27/01/2011,176.7,176.7,176.7,176.7
74,28/01/2011,176.7,176.7,176.7,176.7
75,29/01/2011,176.7,176.7,176.7,176.7
76,30/01/2011,176.7,176.7,176.7,176.7
77,31/01/2011,176.7,176.7,176.7,176.7
78,01/02/2011,176.2,176.2,176.2,176.2
79,02/02/2011,176.2,176.2,176.2,176.2
80,03/02/2011,176.2,176.2,176.2,176.2
81,04/02/2011,177,177,177,177
82,05/02/2011,177,177,177,177
83,06/02/2011,177,177,177,177
84,07/02/2011,177,177,177,177
85,08/02/2011,177,177,177,177
86,09/02/2011,177,177,177,177
87,10/02/2011,177,177,177,177
88,11/02/2011,177.5,177.5,177.5,177.5
89,12/02/2011,177.5,177.5,177.5,177.5
90,13/02/2011,177.5,177.5,177.5,177.5
91,14/02/2011,178.9,178.9,178.9,178.9
92,15/02/2011,179,179,179,179
93,16/02/2011,179.4,179.4,179.4,179.4
94,17/02/2011,179.8,179.8,179.8,179.8
95,18/02/2011,179.1,179.1,179.1,179.1
96,19/02/2011,179.1,179.1,179.1,179.1
97,20/02/2011,179.1,179.1,179.1,179.1
98,21/02/2011,179.3,179.3,179.3,179.3
99,22/02/2011,176,176,176,176
100,23/02/2011,176.3,176.3,176.3,176.3
101,24/02/2011,174.2,174.2,174.2,174.2
102,25/02/2011,174.9,174.9,174.9,174.9
103,26/02/2011,174.9,174.9,174.9,174.9
104,27/02/2011,174.9,174.9,174.9,174.9
105,28/02/2011,178.5,178.5,178.5,178.5
106,01/03/2011,178.9,178.9,178.9,178.9
107,02/03/2011,175,175,175,175
108,03/03/2011,177.2,177.2,177.2,177.2
109,04/03/2011,178.4,178.4,178.4,178.4
110,05/03/2011,178.4,178.4,178.4,178.4
111,06/03/2011,178.4,178.4,178.4,178.4
112,07/03/2011,178.5,178.5,178.5,178.5
113,08/03/2011,176.8,176.8,176.8,176.8
114,09/03/2011,177,177,177,177
115,10/03/2011,176.1,176.1,176.1,176.1
116,11/03/2011,176.1,176.1,176.1,176.1
117,12/03/2011,176.1,176.1,176.1,176.1
118,13/03/2011,176.1,176.1,176.1,176.1
119,14/03/2011,174,174,174,174
120,15/03/2011,167.4,167.4,167.4,167.4
121,16/03/2011,169.9,169.9,169.9,169.9
122,17/03/2011,169.7,169.7,169.7,169.7
123,18/03/2011,171.9,171.9,171.9,171.9
124,19/03/2011,171.9,171.9,171.9,171.9
125,20/03/2011,171.9,171.9,171.9,171.9
126,21/03/2011,172.2,172.2,172.2,172.2
127,22/03/2011,172.2,172.2,172.2,172.2
128,23/03/2011,172.9,172.9,172.9,172.9
129,24/03/2011,175.6,175.6,175.6,175.6
130,25/03/2011,175.6,175.6,175.6,175.6
131,26/03/2011,175.6,175.6,175.6,175.6
132,27/03/2011,175.6,175.6,175.6,175.6
133,28/03/2011,175.6,175.6,175.6,175.6
134,29/03/2011,175,175,175,175
135,30/03/2011,177.1,177.1,177.1,177.1
136,31/03/2011,178.1,178.1,178.1,178.1
137,01/04/2011,178.6,178.6,178.6,178.6
138,02/04/2011,178.6,178.6,178.6,178.6
139,03/04/2011,178.6,178.6,178.6,178.6
140,04/04/2011,178.7,178.7,178.7,178.7
141,05/04/2011,179.8,179.8,179.8,179.8
142,06/04/2011,181.3,181.3,181.3,181.3
143,07/04/2011,178.7,178.7,178.7,178.7
144,08/04/2011,179.7,179.7,179.7,179.7
145,09/04/2011,179.7,179.7,179.7,179.7
146,10/04/2011,179.7,179.7,179.7,179.7
147,11/04/2011,179.9,179.9,179.9,179.9
148,12/04/2011,179.9,179.9,179.9,179.9
149,13/04/2011,178.6,178.6,178.6,178.6
150,14/04/2011,178.3,178.3,178.3,178.3
151,15/04/2011,177.8,177.8,177.8,177.8
152,16/04/2011,177.8,177.8,177.8,177.8
153,17/04/2011,177.8,177.8,177.8,177.8
154,18/04/2011,176.5,176.5,176.5,176.5
155,19/04/2011,175.6,175.6,175.6,175.6
156,20/04/2011,178.9,178.9,178.9,178.9
157,21/04/2011,181.3,181.3,181.3,181.3
158,22/04/2011,181.3,181.3,181.3,181.3
159,23/04/2011,181.3,181.3,181.3,181.3
160,24/04/2011,181.3,181.3,181.3,181.3
161,25/04/2011,181.3,181.3,181.3,181.3
162,26/04/2011,181.3,181.3,181.3,181.3
163,27/04/2011,182.6,182.6,182.6,182.6
164,28/04/2011,182.4,182.4,182.4,182.4
165,29/04/2011,182.4,182.4,182.4,182.4
166,30/04/2011,182.4,182.4,182.4,182.4
167,01/05/2011,182.4,182.4,182.4,182.4
168,02/05/2011,182.4,182.4,182.4,182.4
169,03/05/2011,182.3,182.3,182.3,182.3
170,04/05/2011,179.7,179.7,179.7,179.7
171,05/05/2011,177.3,177.3,177.3,177.3
172,06/05/2011,176.5,176.5,176.5,176.5
173,07/05/2011,176.5,176.5,176.5,176.5
174,08/05/2011,176.5,176.5,176.5,176.5
175,09/05/2011,177.7,177.7,177.7,177.7
176,10/05/2011,179.8,179.8,179.8,179.8
177,11/05/2011,180.5,180.5,180.5,180.5
178,12/05/2011,178.7,178.7,178.7,178.7
179,13/05/2011,179.4,179.4,179.4,179.4
180,14/05/2011,179.4,179.4,179.4,179.4
181,15/05/2011,179.4,179.4,179.4,179.4
182,16/05/2011,176.2,176.2,176.2,176.2
183,17/05/2011,177.5,177.5,177.5,177.5
184,18/05/2011,177,177,177,177
185,19/05/2011,180.9,180.9,180.9,180.9
186,20/05/2011,178.8,178.8,178.8,178.8
187,21/05/2011,178.8,178.8,178.8,178.8
188,22/05/2011,178.8,178.8,178.8,178.8
189,23/05/2011,175.6,175.6,175.6,175.6
190,24/05/2011,175.9,175.9,175.9,175.9
191,25/05/2011,175.7,175.7,175.7,175.7
192,26/05/2011,176.7,176.7,176.7,176.7
193,27/05/2011,179.3,179.3,179.3,179.3
194,28/05/2011,179.3,179.3,179.3,179.3
195,29/05/2011,179.3,179.3,179.3,179.3
196,30/05/2011,179.3,179.3,179.3,179.3
197,31/05/2011,181.4,181.4,181.4,181.4
198,01/06/2011,181.4,181.4,181.4,181.4
199,02/06/2011,177.3,177.3,177.3,177.3
200,03/06/2011,176.3,176.3,176.3,176.3
201,04/06/2011,176.3,176.3,176.3,176.3
202,05/06/2011,176.3,176.3,176.3,176.3
203,06/06/2011,177.9,177.9,177.9,177.9
204,07/06/2011,177.1,177.1,177.1,177.1
205,08/06/2011,174.8,174.8,174.8,174.8
206,09/06/2011,176.7,176.7,176.7,176.7
207,10/06/2011,177.7,177.7,177.7,177.7
208,11/06/2011,177.7,177.7,177.7,177.7
209,12/06/2011,177.7,177.7,177.7,177.7
210,13/06/2011,174.3,174.3,174.3,174.3
211,14/06/2011,174.4,174.4,174.4,174.4
212,15/06/2011,174.7,174.7,174.7,174.7
213,16/06/2011,172.7,172.7,172.7,172.7
214,17/06/2011,173.6,173.6,173.6,173.6
215,18/06/2011,173.6,173.6,173.6,173.6
216,19/06/2011,173.6,173.6,173.6,173.6
217,20/06/2011,171,171,171,171
218,21/06/2011,172.8,172.8,172.8,172.8
219,22/06/2011,173.1,173.1,173.1,173.1
220,23/06/2011,172.1,172.1,172.1,172.1
221,24/06/2011,172.1,172.1,172.1,172.1
222,25/06/2011,172.1,172.1,172.1,172.1
223,26/06/2011,172.1,172.1,172.1,172.1
224,27/06/2011,172,172,172,172
225,28/06/2011,172.9,172.9,172.9,172.9
226,29/06/2011,176,176,176,176
227,30/06/2011,178.6,178.6,178.6,178.6
228,01/07/2011,181.2,181.2,181.2,181.2
229,02/07/2011,181.2,181.2,181.2,181.2
230,03/07/2011,181.2,181.2,181.2,181.2
231,04/07/2011,180.8,180.8,180.8,180.8
232,05/07/2011,181.3,181.3,181.3,181.3
233,06/07/2011,180.1,180.1,180.1,180.1
234,07/07/2011,181.2,181.2,181.2,181.2
235,08/07/2011,182.3,182.3,182.3,182.3
236,09/07/2011,182.3,182.3,182.3,182.3
237,10/07/2011,182.3,182.3,182.3,182.3
238,11/07/2011,179.3,179.3,179.3,179.3
239,12/07/2011,177.1,177.1,177.1,177.1
240,13/07/2011,176.8,176.8,176.8,176.8
241,14/07/2011,176.3,176.3,176.3,176.3
242,15/07/2011,175.9,175.9,175.9,175.9
243,16/07/2011,175.9,175.9,175.9,175.9
244,17/07/2011,175.9,175.9,175.9,175.9
245,18/07/2011,173.8,173.8,173.8,173.8
246,19/07/2011,173.8,173.8,173.8,173.8
247,20/07/2011,175.8,175.8,175.8,175.8
248,21/07/2011,175.4,175.4,175.4,175.4
249,22/07/2011,178.8,178.8,178.8,178.8
250,23/07/2011,178.8,178.8,178.8,178.8
251,24/07/2011,178.8,178.8,178.8,178.8
252,25/07/2011,177.9,177.9,177.9,177.9
253,26/07/2011,177.9,177.9,177.9,177.9
254,27/07/2011,177.6,177.6,177.6,177.6
255,28/07/2011,175.1,175.1,175.1,175.1
256,29/07/2011,176.5,176.5,176.5,176.5
257,30/07/2011,176.5,176.5,176.5,176.5
258,31/07/2011,176.5,176.5,176.5,176.5
259,01/08/2011,179,179,179,179
260,02/08/2011,172.3,172.3,172.3,172.3
261,03/08/2011,170.8,170.8,170.8,170.8
262,04/08/2011,168.1,168.1,168.1,168.1
263,05/08/2011,158.8,158.8,158.8,158.8
264,06/08/2011,158.8,158.8,158.8,158.8
265,07/08/2011,158.8,158.8,158.8,158.8
266,08/08/2011,155,155,155,155
267,09/08/2011,152.6,152.6,152.6,152.6
268,10/08/2011,159,159,159,159
269,11/08/2011,154.2,154.2,154.2,154.2
270,12/08/2011,159.3,159.3,159.3,159.3
271,13/08/2011,159.3,159.3,159.3,159.3
272,14/08/2011,159.3,159.3,159.3,159.3
273,15/08/2011,162.5,162.5,162.5,162.5
274,16/08/2011,160.9,160.9,160.9,160.9
275,17/08/2011,161.9,161.9,161.9,161.9
276,18/08/2011,159.1,159.1,159.1,159.1
277,19/08/2011,151.2,151.2,151.2,151.2
278,20/08/2011,151.2,151.2,151.2,151.2
279,21/08/2011,151.2,151.2,151.2,151.2
280,22/08/2011,155.9,155.9,155.9,155.9
281,23/08/2011,156.3,156.3,156.3,156.3
282,24/08/2011,155.7,155.7,155.7,155.7
283,25/08/2011,158.2,158.2,158.2,158.2
284,26/08/2011,154.6,154.6,154.6,154.6
285,27/08/2011,154.6,154.6,154.6,154.6
286,28/08/2011,154.6,154.6,154.6,154.6
287,29/08/2011,154.6,154.6,154.6,154.6
288,30/08/2011,158.6,158.6,158.6,158.6
289,31/08/2011,161.4,161.4,161.4,161.4
290,01/09/2011,163,163,163,163
291,02/09/2011,161,161,161,161
292,03/09/2011,161,161,161,161
293,04/09/2011,161,161,161,161
294,05/09/2011,156.4,156.4,156.4,156.4
295,06/09/2011,157.4,157.4,157.4,157.4
296,07/09/2011,159.8,159.8,159.8,159.8
297,08/09/2011,162.8,162.8,162.8,162.8
298,09/09/2011,160.4,160.4,160.4,160.4
299,10/09/2011,160.4,160.4,160.4,160.4
300,11/09/2011,160.4,160.4,160.4,160.4
301,12/09/2011,154,154,154,154
302,13/09/2011,154.2,154.2,154.2,154.2
303,14/09/2011,158.7,158.7,158.7,158.7
304,15/09/2011,161.7,161.7,161.7,161.7
305,16/09/2011,162.5,162.5,162.5,162.5
306,17/09/2011,162.5,162.5,162.5,162.5
307,18/09/2011,162.5,162.5,162.5,162.5
308,19/09/2011,159.3,159.3,159.3,159.3
309,20/09/2011,161,161,161,161
310,21/09/2011,161.3,161.3,161.3,161.3
311,22/09/2011,153.5,153.5,153.5,153.5
312,23/09/2011,150.5,150.5,150.5,150.5
313,24/09/2011,150.5,150.5,150.5,150.5
314,25/09/2011,150.5,150.5,150.5,150.5
315,26/09/2011,155.5,155.5,155.5,155.5
316,27/09/2011,157.8,157.8,157.8,157.8
317,28/09/2011,159.8,159.8,159.8,159.8
318,29/09/2011,157.4,157.4,157.4,157.4
319,30/09/2011,155.2,155.2,155.2,155.2
320,01/10/2011,155.2,155.2,155.2,155.2
321,02/10/2011,155.2,155.2,155.2,155.2
322,03/10/2011,153.3,153.3,153.3,153.3
323,04/10/2011,149.1,149.1,149.1,149.1
324,05/10/2011,152.5,152.5,152.5,152.5
325,06/10/2011,156.6,156.6,156.6,156.6
326,07/10/2011,158.7,158.7,158.7,158.7
327,08/10/2011,158.7,158.7,158.7,158.7
328,09/10/2011,158.7,158.7,158.7,158.7
329,10/10/2011,160.9,160.9,160.9,160.9
330,11/10/2011,161.2,161.2,161.2,161.2
331,12/10/2011,163.3,163.3,163.3,163.3
332,13/10/2011,162.7,162.7,162.7,162.7
333,14/10/2011,164.2,164.2,164.2,164.2
334,15/10/2011,164.2,164.2,164.2,164.2
335,16/10/2011,164.2,164.2,164.2,164.2
336,17/10/2011,165.2,165.2,165.2,165.2
337,18/10/2011,161.9,161.9,161.9,161.9
338,19/10/2011,164.6,164.6,164.6,164.6
339,20/10/2011,163.3,163.3,163.3,163.3
340,21/10/2011,163.2,163.2,163.2,163.2
341,22/10/2011,163.2,163.2,163.2,163.2
342,23/10/2011,163.2,163.2,163.2,163.2
343,24/10/2011,165,165,165,165
344,25/10/2011,167.2,167.2,167.2,167.2
345,26/10/2011,166.3,166.3,166.3,166.3
346,27/10/2011,171.1,171.1,171.1,171.1
347,28/10/2011,171.4,171.4,171.4,171.4
348,29/10/2011,171.4,171.4,171.4,171.4
349,30/10/2011,171.4,171.4,171.4,171.4
350,31/10/2011,170.5,170.5,170.5,170.5
351,01/11/2011,162.6,162.6,162.6,162.6
352,02/11/2011,162.9,162.9,162.9,162.9
353,03/11/2011,165.6,165.6,165.6,165.6
354,04/11/2011,167.7,167.7,167.7,167.7
355,05/11/2011,167.7,167.7,167.7,167.7
356,06/11/2011,167.7,167.7,167.7,167.7
357,07/11/2011,164.7,164.7,164.7,164.7
358,08/11/2011,168.1,168.1,168.1,168.1
359,09/11/2011,164.6,164.6,164.6,164.6
360,10/11/2011,165.4,165.4,165.4,165.4
361,11/11/2011,164.7,164.7,164.7,164.7
362,12/11/2011,164.7,164.7,164.7,164.7
363,13/11/2011,164.7,164.7,164.7,164.7
364,14/11/2011,166,166,166,166
365,15/11/2011,164,164,164,164
366,16/11/2011,165.1,165.1,165.1,165.1
367,17/11/2011,163.3,163.3,163.3,163.3
368,18/11/2011,162.6,162.6,162.6,162.6
369,19/11/2011,162.6,162.6,162.6,162.6
370,20/11/2011,162.6,162.6,162.6,162.6
371,21/11/2011,158.5,158.5,158.5,158.5
372,22/11/2011,158.8,158.8,158.8,158.8
373,23/11/2011,156.3,156.3,156.3,156.3
374,24/11/2011,156,156,156,156
375,25/11/2011,154.3,154.3,154.3,154.3
376,26/11/2011,154.3,154.3,154.3,154.3
377,27/11/2011,154.3,154.3,154.3,154.3
378,28/11/2011,159.3,159.3,159.3,159.3
379,29/11/2011,161,161,161,161
380,30/11/2011,163.4,163.4,163.4,163.4
381,01/12/2011,167.4,167.4,167.4,167.4
382,02/12/2011,167.9,167.9,167.9,167.9
383,03/12/2011,167.9,167.9,167.9,167.9
384,04/12/2011,167.9,167.9,167.9,167.9
385,05/12/2011,168.2,168.2,168.2,168.2
386,06/12/2011,169,169,169,169
387,07/12/2011,168.2,168.2,168.2,168.2
388,08/12/2011,167.7,167.7,167.7,167.7
389,09/12/2011,166.6,166.6,166.6,166.6
390,10/12/2011,166.6,166.6,166.6,166.6
391,11/12/2011,166.6,166.6,166.6,166.6
392,12/12/2011,165.4,165.4,165.4,165.4
393,13/12/2011,164.5,164.5,164.5,164.5
